*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-45   45-60
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D   TRWUD
 2014 175     1  19.90  31.80  24.20  4.809  0.000  4.809  0.586  0.000  0.586  0.000  0.000    4.81    0.59    0.00    0.59    0.00    0.00   0.494   0.063   0.019   0.007   0.004   0.000
 2014 176     2  21.70  33.80  25.20  5.356  0.000  5.356  0.540  0.000  0.540  0.000  0.000   10.16    1.13    0.00    1.13    0.00    0.00   0.448   0.063   0.019   0.007   0.004   0.000
 2014 177     3  21.00  34.40  26.50  5.231  0.000  5.231  0.499  0.000  0.499  0.000  0.000   15.40    1.62    0.00    1.62    0.00    0.00   0.407   0.062   0.019   0.007   0.004   0.000
 2014 178     4  20.70  33.50  24.10  5.002  0.000  5.002  0.663  0.000  0.663  0.000  0.000   20.40    2.29    0.00    2.29    0.00    0.00   0.572   0.062   0.019   0.007   0.004   0.000
 2014 179     5  25.30  33.60  23.80  6.403  0.000  6.403  0.813  0.000  0.813  0.000  0.000   26.80    3.10    0.00    3.10    0.00    0.00   0.722   0.062   0.019   0.007   0.004   0.000
 2014 180     6  21.70  34.30  25.40  5.542  0.000  5.542  0.787  0.000  0.787  0.000  0.000   32.34    3.89    0.00    3.89    0.00    0.00   0.697   0.061   0.019   0.007   0.004   0.000
 2014 181     7  24.00  33.50  24.90  6.075  0.000  6.075  0.764  0.000  0.764  0.000  0.000   38.42    4.65    0.00    4.65    0.00    0.00   0.674   0.061   0.019   0.007   0.004   0.000
 2014 182     8  19.20  35.00  25.30  4.906  0.000  4.906  0.840  0.000  0.840  0.000  0.000   43.32    5.49    0.00    5.49    0.00    0.00   0.750   0.061   0.019   0.007   0.004   0.000
 2014 183     9  16.30  31.80  25.00  4.135  0.000  4.135  0.909  0.000  0.909  0.000  0.000   47.46    6.40    0.00    6.40    0.00    0.00   0.819   0.060   0.019   0.007   0.004   0.000
 2014 184    10  19.50  34.50  25.80  5.062  0.000  5.062  0.833  0.000  0.833  0.000  0.000   52.52    7.23    0.00    7.23    0.00    0.00   0.744   0.060   0.019   0.007   0.004   0.000
 2014 185    11  21.20  31.70  22.90  5.196  0.000  5.196  1.129  0.000  1.129  0.000  0.000   57.72    8.36    0.00    8.36    0.00    0.00   1.033   0.067   0.019   0.007   0.004   0.000
 2014 186    12  20.30  31.70  24.50  5.442  0.000  5.442  3.559  0.000  3.559  0.000  0.000   63.16   11.92    0.00   11.92    0.00    0.00   1.827   0.676   0.467   0.329   0.261   0.000
 2014 187    13  16.00  30.50  24.80  4.123  0.000  4.123  1.164  0.000  1.164  0.000  0.000   67.28   13.09    0.00   13.09    0.00    0.00   1.061   0.075   0.018   0.007   0.003   0.000
 2014 188    14  13.90  30.90  22.60  3.499  0.000  3.499  1.066  0.000  1.066  0.000  0.000   70.78   14.15    0.00   14.15    0.00    0.00   0.963   0.074   0.018   0.007   0.003   0.000
 2014 189    15  17.60  31.40  24.20  4.453  0.000  4.453  0.976  0.000  0.976  0.000  0.000   75.23   15.13    0.00   15.13    0.00    0.00   0.874   0.074   0.018   0.007   0.003   0.000
 2014 190    16  17.00  31.40  24.50  4.266  0.000  4.266  0.895  0.000  0.895  0.000  0.000   79.50   16.02    0.00   16.02    0.00    0.00   0.794   0.074   0.018   0.007   0.003   0.000
 2014 191    17  24.00  34.60  25.50  6.205  0.018  6.187  0.844  0.018  0.827  0.000  0.000   85.70   16.87    0.02   16.85    0.00    0.00   0.725   0.073   0.018   0.007   0.003   0.002
 2014 192    18  20.20  33.70  26.50  5.170  0.032  5.138  0.795  0.032  0.763  0.000  0.000   90.87   17.66    0.05   17.61    0.00    0.00   0.662   0.073   0.018   0.007   0.003   0.003
 2014 193    19  18.60  33.90  26.20  4.722  0.047  4.675  0.747  0.047  0.700  0.000  0.000   95.59   18.41    0.10   18.31    0.00    0.00   0.600   0.072   0.018   0.007   0.003   0.005
 2014 194    20  17.30  32.80  26.10  4.308  0.097  4.210  0.758  0.097  0.661  0.000  0.000   99.90   19.17    0.19   18.97    0.00    0.00   0.561   0.072   0.018   0.007   0.003   0.010
 2014 195    21  18.60  33.20  25.30  4.615  0.171  4.442  0.794  0.171  0.622  0.000  0.000  104.52   19.96    0.36   19.60    0.00    0.00   0.523   0.071   0.018   0.007   0.003   0.017
 2014 196    22  25.00  35.70  24.60  6.489  0.352  6.133  0.931  0.352  0.579  0.000  0.000  111.01   20.89    0.72   20.18    0.00    0.00   0.481   0.070   0.018   0.007   0.003   0.035
 2014 197    23  18.00  33.70  25.50  4.451  0.320  4.126  0.855  0.320  0.535  0.000  0.000  115.46   21.75    1.04   20.71    0.00    0.00   0.438   0.068   0.018   0.007   0.003   0.032
 2014 198    24  15.40  32.00  25.40  3.719  0.314  3.401  0.804  0.314  0.490  0.000  0.000  119.18   22.55    1.35   21.20    0.00    0.00   0.396   0.067   0.018   0.007   0.003   0.031
