*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2014 185    11     0    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2014 186    12     1    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2014 187    13     2    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2014 188    14     3    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2014 189    15     4    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2014 190    16     5    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   2.21    0.00    0.00
 2014 191    17     6    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   2.16    0.00    0.00
 2014 192    18     7    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   2.08    0.00    0.00
 2014 193    19     8    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   1.96    0.00    0.00
 2014 194    20     9    1.1    0.0    1.1   0.00   3.66    0.0    0.6    0.5    3.7   3.66   1.90    0.00    0.00
 2014 195    21    10    1.3    0.0    1.3   0.00   3.07    0.1    0.9    0.4    3.1   3.07   1.12    0.00    0.00
 2014 196    22    11    1.7    0.0    1.7   0.00   3.36    0.5    1.3    0.4    3.4   3.36   1.17    0.00    0.00
 2014 197    23    12    2.0    0.0    2.0   0.00   3.46    0.9    1.6    0.4    3.5   3.46   1.15    0.00    0.00
 2014 198    24    13    2.4    0.0    2.4   0.00   3.49    1.2    1.9    0.4    3.5   3.49   1.15    0.00    0.00
 2014 199    25    14    2.7    0.0    2.7   0.00   3.53    1.6    2.2    0.4    3.5   3.53   1.14    0.00    0.01
 2014 200    26    15    3.0    0.0    3.0   0.00   3.23    1.9    2.6    0.4    3.2   3.23   1.19    0.00    0.01
 2014 201    27    16    3.5    0.0    3.5   0.00   3.23    2.5    3.1    0.4    3.2   3.23   1.19    0.00    0.01
 2014 202    28    17    4.3    0.0    4.3   0.00   3.32    3.3    3.9    0.4    3.3   3.32   1.19    0.00    0.01
 2014 203    29    18    4.9    0.0    4.9   0.00   3.58    3.9    4.5    0.4    3.6   3.58   1.12    0.00    0.01
 2014 204    30    19    6.0    0.0    6.0   0.00   3.79    5.0    5.5    0.5    3.8   3.79   1.17    0.00    0.01
 2014 205    31    20    6.7    0.0    6.7   0.00   3.73    5.9    6.3    0.5    3.7   3.73   1.18    0.00    0.02
 2014 206    32    21    7.5    0.0    7.5   0.00   3.62    6.6    7.1    0.5    3.6   3.62   1.10    0.00    0.02
 2014 207    33    22    8.5    0.0    8.5   0.00   3.54    7.6    8.1    0.5    3.5   3.54   1.11    0.00    0.02
 2014 208    34    23   10.2    0.0   10.2   0.00   3.48    9.3    9.7    0.5    3.5   3.48   1.13    0.00    0.02
 2014 209    35    24   11.4    0.0   11.4   0.00   3.42   10.6   10.9    0.6    3.4   3.42   1.12    0.00    0.02
 2014 210    36    25   12.5    0.0   12.5   0.00   3.37   11.7   11.8    0.7    3.4   3.37   1.11    0.00    0.03
 2014 211    37    26   14.6    0.0   14.6   0.00   3.31   13.8   13.6    1.0    3.3   3.31   1.14    0.00    0.03
 2014 212    38    27   16.2    0.0   16.2   0.00   3.25   15.5   14.9    1.2    3.3   3.25   1.13    0.00    0.03
 2014 213    39    28   17.9    0.0   17.9   0.00   3.20   17.2   16.2    1.6    3.2   3.20   1.13    0.00    0.04
 2014 214    40    29   18.5    0.0   18.5   0.00   3.15   17.9   16.7    1.8    3.2   3.15   1.09    0.00    0.04
 2014 215    41    30   19.9    0.0   19.9   0.00   3.10   19.3   17.7    2.2    3.1   3.10   1.12    0.00    0.04
 2014 216    42    31   21.9    0.0   21.9   0.00   3.06   21.3   19.0    2.9    3.1   3.06   1.13    0.00    0.05
 2014 217    43    32   23.9    0.0   23.9   0.00   3.01   23.4   20.2    3.7    3.0   3.01   1.13    0.00    0.05
 2014 218    44    33   25.7    0.0   25.7   0.00   2.96   25.3   21.2    4.5    3.0   2.96   1.12    0.00    0.05
 2014 219    45    34   28.0    0.0   28.0   0.00   2.92   27.6   22.5    5.6    2.9   2.92   1.13    0.00    0.06
 2014 220    46    35   29.4    0.0   29.4   0.00   2.87   29.0   23.1    6.3    2.9   2.87   1.11    0.00    0.06
 2014 221    47    36   30.5    0.0   30.5   0.00   2.83   30.1   23.6    6.9    2.8   2.83   1.10    0.00    0.07
 2014 222    48    37   33.0    0.0   33.0   0.00   2.79   32.7   24.6    8.3    2.8   2.79   1.13    0.00    0.07
 2014 223    49    38   35.3    0.0   35.3   0.00   2.75   35.1   25.6    9.7    2.7   2.75   1.13    0.00    0.08
 2014 224    50    39   36.5    0.0   36.5   0.00   2.70   36.3   25.9   10.5    2.7   2.70   1.10    0.00    0.08
 2014 225    51    40   38.5    0.0   38.5   0.00   2.67   38.4   26.5   12.0    2.7   2.67   1.12    0.00    0.09
 2014 226    52    41   40.2    0.0   40.2   0.00   2.63   40.1   26.9   13.4    2.6   2.63   1.11    0.00    0.09
 2014 227    53    42   41.5    0.0   41.5   0.00   2.59   41.5   27.0   14.5    2.6   2.59   1.10    0.00    0.10
 2014 228    54    43   42.1    0.0   42.1   0.00   2.55   42.1   27.0   15.2    2.6   2.55   1.09    0.00    0.11
 2014 229    55    44   44.5    0.0   44.5   0.00   2.52   44.6   27.4   17.1    2.5   2.52   1.12    0.00    0.11
 2014 230    56    45   45.5    0.0   45.5   0.00   2.48   45.6   27.4   18.2    2.5   2.48   1.10    0.00    0.12
 2014 231    57    46   47.2    0.0   47.2   0.00   2.45   47.4   27.5   19.7    2.4   2.45   1.11    0.00    0.12
