*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                    NO3 (ppm) by soil depth (cm):           NH4 (ppm) by soil depth (cm):
!                                                     0-5    5-15   15-30   30-45   45-60     0-5    5-15   15-30   30-45   45-60
@YEAR DOY   DAS  NAPC  NI#M    NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NH1D    NH2D    NH3D    NH4D    NH5D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDFC
 2014 174     0     0     0    37.0   31.9    5.0    3.80    3.80    3.80    3.80    3.80    0.60    0.60    0.60    0.60    0.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 2014 175     1     0     0    37.6   32.7    4.9    3.89    3.89    3.89    3.89    3.89    0.71    0.66    0.66    0.51    0.51    0.78    0.79    0.00    0.10    0.00    0.68    0.00    0.00    0.00
 2014 176     2     0     0    38.3   33.5    4.8    4.06    3.98    4.00    3.97    3.97    0.78    0.70    0.70    0.43    0.43    1.55    1.57    0.00    0.19    0.00    1.35    0.00    0.00    0.00
 2014 177     3     0     0    39.0   34.3    4.7    4.22    4.08    4.11    4.04    4.04    0.83    0.74    0.74    0.36    0.37    2.32    2.36    0.00    0.29    0.00    2.03    0.00    0.00    0.00
 2014 178     4     0     0    39.7   35.1    4.6    4.40    4.19    4.24    4.10    4.10    0.85    0.77    0.77    0.30    0.31    3.10    3.18    0.00    0.39    0.00    2.71    0.00    0.00    0.00
 2014 179     5     0     0    40.5   36.0    4.5    4.66    4.32    4.38    4.16    4.16    1.02    0.79    0.79    0.25    0.25    4.08    4.06    0.00    0.52    0.00    3.56    0.00    0.00    0.00
 2014 180     6     0     0    41.4   36.9    4.5    4.98    4.45    4.53    4.21    4.21    1.10    0.80    0.81    0.20    0.21    5.06    5.00    0.00    0.64    0.00    4.42    0.00    0.00    0.00
 2014 181     7     0     0    42.2   37.9    4.4    5.33    4.60    4.69    4.24    4.25    1.16    0.80    0.82    0.17    0.17    6.06    5.96    0.00    0.77    0.00    5.29    0.00    0.00    0.00
 2014 182     8     0     0    43.1   38.8    4.2    5.71    4.74    4.86    4.28    4.28    1.16    0.80    0.82    0.14    0.14    7.02    6.92    0.00    0.90    0.00    6.12    0.00    0.00    0.00
 2014 183     9     0     0    44.0   39.7    4.2    6.08    4.88    5.03    4.30    4.31    1.29    0.80    0.82    0.11    0.12    8.08    7.85    0.00    1.04    0.00    7.04    0.00    0.00    0.00
 2014 184    10     0     0    44.8   40.7    4.2    6.49    5.02    5.19    4.32    4.33    1.33    0.80    0.82    0.09    0.10    9.08    8.77    0.00    1.17    0.00    7.91    0.00    0.00    0.00
 2014 185    11     0     0    45.6   41.6    4.1    5.38    5.93    5.36    4.34    4.35    1.31    0.80    0.82    0.08    0.08   10.03    9.68    0.00    1.29    0.00    8.73    0.00    0.00    0.00
 2014 186    12     0     1    46.7   42.4    4.3    5.49    6.22    5.51    4.35    4.36    1.62    0.83    0.82    0.07    0.07   11.29   10.56    0.00    1.46    0.00    9.82    0.00    0.00    0.00
 2014 187    13     0     1    47.8   43.4    4.4    7.18    6.21    5.51    4.30    4.32    1.75    0.86    0.81    0.06    0.06   12.46   11.50    0.00    1.62    0.00   10.85    0.00    0.00    0.00
 2014 188    14     0     1    48.7   44.3    4.4    7.68    6.37    5.65    4.30    4.33    1.79    0.88    0.81    0.05    0.05   13.54   12.42    0.00    1.76    0.00   11.78    0.00    0.00    0.00
 2014 189    15     0     1    49.6   45.2    4.4    8.18    6.53    5.79    4.31    4.34    1.77    0.89    0.81    0.04    0.05   14.55   13.32    0.00    1.90    0.00   12.65    0.00    0.00    0.00
 2014 190    16     0     1    50.4   46.0    4.3    8.66    6.69    5.92    4.32    4.34    1.72    0.90    0.80    0.04    0.04   15.48   14.17    0.00    2.02    0.00   13.46    0.00    0.00    0.00
 2014 191    17     0     1    51.1   46.9    4.3    9.13    6.84    6.05    4.32    4.35    1.64    0.91    0.80    0.04    0.04   16.37   15.01    0.00    2.14    0.00   14.23    0.00    0.00    0.00
 2014 192    18     0     1    51.9   47.7    4.2    9.59    7.00    6.18    4.33    4.36    1.54    0.91    0.80    0.03    0.04   17.24   15.85    0.00    2.26    0.00   14.98    0.00    0.00    0.00
 2014 193    19     0     1    52.6   48.6    4.1   10.04    7.16    6.32    4.33    4.36    1.42    0.91    0.79    0.03    0.03   18.11   16.71    0.00    2.38    0.00   15.73    0.00    0.00    0.00
 2014 194    20     0     1    53.4   49.4    4.0   10.46    7.33    6.46    4.34    4.37    1.33    0.90    0.78    0.03    0.03   18.96   17.55    0.00    2.49    0.00   16.47    0.00    0.00    0.00
 2014 195    21     0     1    54.1   50.2    3.9   10.85    7.50    6.60    4.34    4.37    1.25    0.89    0.77    0.03    0.03   19.82   18.39    0.00    2.61    0.00   17.21    0.00    0.00    0.00
 2014 196    22     0     1    54.8   51.0    3.8   11.17    7.65    6.74    4.34    4.38    1.18    0.88    0.76    0.02    0.03   20.65   19.19    0.00    2.72    0.00   17.92    0.06    0.00    0.00
 2014 197    23     0     1    55.0   51.3    3.7   11.27    7.64    6.87    4.35    4.38    1.11    0.86    0.75    0.02    0.03   21.46   19.97    0.00    2.84    0.00   18.62    0.52    0.00    0.00
 2014 198    24     0     1    55.3   51.7    3.6   11.42    7.65    6.99    4.35    4.39    1.05    0.84    0.74    0.02    0.02   22.22   20.71    0.00    2.94    0.00   19.28    0.89    0.00    0.00
 2014 199    25     0     1    55.6   52.1    3.5    7.61    9.64    7.09    4.35    4.39    1.01    0.82    0.74    0.02    0.02   22.95   21.40    0.00    3.04    0.00   19.91    1.23    0.00    0.00
 2014 200    26     0     1    56.2   52.5    3.7    7.41    9.86    7.20    4.35    4.39    1.30    0.84    0.73    0.02    0.02   24.06   22.12    0.00    3.19    0.00   20.87    1.57    0.00    0.00
 2014 201    27     0     1    56.8   53.0    3.8    9.57    9.53    7.05    4.29    4.34    1.45    0.85    0.72    0.02    0.02   25.11   22.92    0.00    3.33    0.00   21.77    1.90    0.00    0.00
 2014 202    28     0     1    57.0   53.2    3.8    9.78    9.47    7.12    4.28    4.34    1.48    0.85    0.71    0.02    0.02   26.06   23.71    0.00    3.46    0.00   22.59    2.50    0.00    0.00
