@YEAR	DOY	DAS		SWTD	SWXD	ROFC   DRNC		PREC  IR#	C	IRRC	DTWT	MWTD	TDFD	TDFC	ROFD	SW1D	SW2D	SW3D	SW4D	SW5D
2014	174	0		78	32	0      0		0	0	0	0	0	0	0	0	0.13	0.13	0.13	0.13	0.13
2014	175	1		77	32	0      0		0	0	0	30	0	0	0	0	0.12	0.129	0.13	0.13	0.13
2014	176	2		77	31	0      0		0	0	0	60	0	0	0	0	0.111	0.129	0.13	0.13	0.13
2014	177	3		76	31	0      0		0	0	0	60	0	0	0	0	0.103	0.128	0.13	0.13	0.13
2014	178	4		80	35	0      0		4	0	0	60	0	0	0	0	0.18	0.127	0.129	0.13	0.13
2014	179	5		79	34	0      0		4	0	0	60	0	0	0	0	0.165	0.127	0.129	0.13	0.13
2014	180	6		79	34	0      0		5	0	0	60	0	0	0	0	0.169	0.126	0.129	0.13	0.13
2014	181	7		79	33	0      0		5	0	0	60	0	0	0	0	0.156	0.126	0.129	0.13	0.13
2014	182	8		81	35	0      0		8	0	0	60	0	0	0	0	0.201	0.125	0.129	0.13	0.13
2014	183	9		80	34	0      0		8	0	0	60	0	0	0	0	0.184	0.124	0.129	0.13	0.13
2014	184	10		79	33	0      0		8	0	0	60	0	0	0	0	0.169	0.124	0.129	0.13	0.13
2014	185	11		88	43	0      0		19	0	0	60	0	0	0	0	0.304	0.149	0.129	0.129	0.13
2014	186	12		85	39	0      0		19	0	0	60	0	0	0	0	0.253	0.15	0.126	0.127	0.128
2014	187	13		84	38	0      0		19	0	0	60	0	0	0	0	0.232	0.149	0.125	0.127	0.128
2014	188	14		83	37	0      0		19	0	0	60	0	0	0	0	0.213	0.148	0.125	0.127	0.128
2014	189	15		82	36	0      0		19	0	0	60	0	0	0	0	0.195	0.148	0.125	0.127	0.128
2014	190	16		81	35	0      0		19	0	0	60	0	0	0	0	0.179	0.147	0.125	0.127	0.128
2014	191	17		80	34	0      0		19	0	0	60	0	0	0	0	0.167	0.146	0.125	0.127	0.128
2014	192	18		79	34	0      0		19	0	0	60	0	0	0	0	0.153	0.145	0.125	0.127	0.128
2014	193	19		78	33	0      0		19	0	0	60	0	0	0	0	0.141	0.144	0.125	0.127	0.128
2014	194	20		78	32	0      0		19	0	0	60	0	0	0	0	0.136	0.143	0.125	0.127	0.128
2014	195	21		77	32	0      0		19	0	0	60	0	0	0	0	0.124	0.142	0.124	0.127	0.128
2014	196	22		77	31	0      0		20	0	0	60	0	0	0	0	0.118	0.139	0.124	0.127	0.128
2014	197	23		76	30	0      0		20	0	0	60	0	0	0	0	0.108	0.136	0.124	0.127	0.128
2014	198	24		75	29	0      0		20	0	0	60	0	0	0	0	0.101	0.133	0.124	0.127	0.128
2014	199	25		88	42	0      0		34	0	0	60	0	0	0	0	0.309	0.157	0.123	0.127	0.128
2014	200	26		84	38	0      0		34	0	0	60	0	0	0	0	0.25	0.155	0.12	0.125	0.126
2014	201	27		82	36	0      0		34	0	0	60	0	0	0	0	0.223	0.151	0.119	0.124	0.126
2014	202	28		80	34	0      0		34	0	0	60	0	0	0	0	0.199	0.147	0.119	0.124	0.126
2014	203	29		107	61	0      0		62	0	0	60	0	0	0	0	0.33	0.306	0.147	0.124	0.126
2014	204	30		102	57	0      0		62	0	0	60	0	0	0	0	0.264	0.276	0.163	0.122	0.125
2014	205	31		100	54	0      0		62	0	0	60	0	0	0	0	0.237	0.271	0.161	0.122	0.124
2014	206	32		98	53	0      0		62	0	0	60	0	0	0	0	0.214	0.266	0.16	0.122	0.124
2014	207	33		98	53	0      0		64	0	0	60	0	0	0	0	0.236	0.261	0.158	0.121	0.124
2014	208	34		96	50	0      0		64	0	0	60	0	0	0	0	0.208	0.254	0.155	0.121	0.124
2014	209	35		94	48	0      0		65	0	0	60	0	0	0	0	0.196	0.248	0.152	0.12	0.123
2014	210	36		92	46	0      0		65	0	0	60	0	0	0	0	0.177	0.243	0.15	0.12	0.123
2014	211	37		97	52	0      0		74	0	0	60	0	0	0	0	0.281	0.252	0.145	0.119	0.123
2014	212	38		96	51	0      0		77	0	0	60	0	0	0	0	0.279	0.256	0.14	0.117	0.121
2014	213	39		93	48	0      0		77	0	0	60	0	0	0	0	0.248	0.248	0.136	0.117	0.121
2014	214	40		111	66	0      0		97	0	0	60	0	0	0	0	0.343	0.32	0.179	0.116	0.12
2014	215	41		109	63	0      0		98	0	0	60	0	0	0	0	0.294	0.293	0.198	0.115	0.119
2014	216	42		104	59	0      0		98	0	0	60	0	0	0	0	0.257	0.27	0.198	0.114	0.118
2014	217	43		101	55	0      0		98	0	0	60	0	0	0	0	0.226	0.261	0.193	0.113	0.117
2014	218	44		98	52	0      0		98	0	0	60	0	0	0	0	0.199	0.252	0.188	0.113	0.117
2014	219	45		95	49	0      0		99	0	0	60	0	0	0	0	0.183	0.241	0.181	0.112	0.116
2014	220	46		93	47	0      0		100	0	0	60	0	0	0	0	0.181	0.233	0.176	0.112	0.115
2014	221	47		102	56	0      0		111	0	0	60	0	0	0	0	0.314	0.261	0.172	0.111	0.115
2014	222	48		97	51	0      0		111	0	0	60	0	0	0	0	0.265	0.255	0.163	0.11	0.114
2014	223	49		92	47	0      0		111	0	0	60	0	0	0	0	0.231	0.243	0.154	0.109	0.113
2014	224	50		93	48	0      0		115	0	0	60	0	0	0	0	0.266	0.242	0.15	0.109	0.113
2014	225	51		89	44	0      0		115	0	0	60	0	0	0	0	0.234	0.232	0.142	0.109	0.112
2014	226	52		86	40	0      0		115	0	0	60	0	0	0	0	0.206	0.222	0.135	0.108	0.112
2014	227	53		85	39	0      0		116	0	0	60	0	0	0	0	0.219	0.214	0.13	0.108	0.111
2014	228	54		98	53	0      0		132	0	0	60	0	0	0	0	0.346	0.283	0.135	0.108	0.111
2014	229	55		93	48	0      0		132	0	0	60	0	0	0	0	0.279	0.265	0.137	0.106	0.11
2014	230	56		92	46	0      0		133	0	0	60	0	0	0	0	0.274	0.261	0.131	0.106	0.109
2014	231	57		104	58	0      0		149	0	0	60	0	0	0	0	0.334	0.306	0.162	0.105	0.108
2014	232	58		143	98	0      0		195	0	0	60	0	0	0	0	0.326	0.326	0.327	0.195	0.107
2014	233	59		138	92	0      0		195	0	0	60	0	0	0	0	0.277	0.283	0.287	0.246	0.106
