*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D   VPDF   VPD
 2014 175     1    0.0   12.6   13.5   19.9   39.8   0.33   31.8   24.2   27.9   29.2   15.4   27.9   29.2  190.9  398.5   0.00   0.00
 2014 176     2    0.0   12.6   13.5   21.7   43.4   0.27   33.8   25.2   29.4   30.9   16.4   29.4   30.9  190.3  398.5   0.00   0.00
 2014 177     3    0.0   12.6   13.5   21.0   42.0   0.29   34.4   26.5   30.4   31.7   17.8   30.4   31.7  190.6  398.5   0.00   0.00
 2014 178     4    4.4   12.6   13.5   20.7   41.4   0.30   33.5   24.1   28.7   30.3   15.6   28.7   30.3  190.5  398.5   0.00   0.00
 2014 179     5    0.0   12.6   13.5   25.3   50.6   0.15   33.6   23.8   28.6   30.3   15.3   28.6   30.3  190.0  398.5   0.00   0.00
 2014 180     6    0.9   12.6   13.5   21.7   43.4   0.27   34.3   25.4   29.7   31.3   16.8   29.7   31.3  187.9  398.5   0.00   0.00
 2014 181     7    0.0   12.6   13.5   24.0   48.0   0.19   33.5   24.9   29.1   30.6   16.4   29.1   30.6  188.1  398.5   0.00   0.00
 2014 182     8    3.0   12.6   13.5   19.2   38.4   0.35   35.0   25.3   30.0   31.7   16.7   30.0   31.7  189.2  398.5   0.00   0.00
 2014 183     9    0.0   12.6   13.5   16.3   32.6   0.45   31.8   25.0   28.3   29.5   16.5   28.3   29.5  189.6  398.5   0.00   0.00
 2014 184    10    0.0   12.6   13.5   19.5   39.0   0.34   34.5   25.8   30.0   31.5   17.3   30.0   31.5  188.5  398.5   0.00   0.00
 2014 185    11   10.4   12.6   13.5   21.2   42.4   0.28   31.7   22.9   27.2   28.7   14.6   27.2   28.7  186.1  398.5   0.00   0.00
 2014 186    12    0.0   12.6   13.5   20.3   40.6   0.31   31.7   24.5   28.0   29.2   16.2   28.0   29.2  184.2  398.5   0.00   0.00
 2014 187    13    0.0   12.6   13.5   16.0   32.0   0.46   30.5   24.8   27.6   28.6   16.6   27.6   28.6  183.4  398.5   0.00   0.00
 2014 188    14    0.0   12.6   13.5   13.9   27.8   0.53   30.9   22.6   26.6   28.1   14.5   26.6   28.1  183.4  398.5   0.00   0.00
 2014 189    15    0.0   12.6   13.5   17.6   35.2   0.41   31.4   24.2   27.7   28.9   16.1   27.7   28.9  184.3  398.5   0.00   0.00
 2014 190    16    0.0   12.6   13.5   17.0   34.0   0.43   31.4   24.5   27.9   29.0   16.5   27.9   29.0  183.5  398.5   0.00   0.00
 2014 191    17    0.1   12.6   13.5   24.0   48.0   0.19   34.6   25.5   29.9   31.5   17.5   29.9   31.5  181.5  398.5   0.00   0.00
 2014 192    18    0.0   12.6   13.5   20.2   40.4   0.32   33.7   26.5   30.0   31.2   18.6   30.0   31.2  179.7  398.5   0.00   0.00
 2014 193    19    0.0   12.6   13.5   18.6   37.2   0.37   33.9   26.2   30.0   31.3   18.4   30.0   31.3  179.9  398.5   0.00   0.00
 2014 194    20    0.4   12.6   13.5   17.3   34.6   0.42   32.8   26.1   29.4   30.5   18.3   29.4   30.5  180.7  398.5   0.00   0.00
 2014 195    21    0.0   12.6   13.5   18.6   37.2   0.37   33.2   25.3   29.1   30.5   17.7   29.1   30.5  181.1  398.5   0.00   0.00
 2014 196    22    0.3   12.6   13.5   25.0   50.0   0.16   35.7   24.6   30.0   31.9   17.1   30.0   31.9  180.8  398.7   0.00   0.00
 2014 197    23    0.0   12.6   13.5   18.0   36.0   0.39   33.7   25.5   29.5   30.9   18.0   29.5   30.9  179.9  398.7   0.00   0.00
