*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2015 174     0   0.000    0.00       0    0.00
 2015 175     1   0.000    0.00       0    0.00
 2015 176     2   0.000    0.00       0    0.00
 2015 177     3   0.000    0.00       0    0.00
 2015 178     4   0.000    0.00       0    0.00
 2015 179     5   0.000    0.00       0    0.00
 2015 180     6   0.000    0.00       0    0.00
 2015 181     7   0.000    0.00       0    0.00
 2015 182     8   0.000    0.00       0    0.00
 2015 183     9   0.000    0.00       0    0.00
 2015 184    10   0.000    0.00       0    0.00
 2015 185    11   0.000    0.00       0    0.00
 2015 186    12   0.000    0.00       0    0.00
 2015 187    13   0.000    0.00       0    0.00
 2015 188    14   0.000    0.00       0    0.00
 2015 189    15   0.000    0.00       0    0.00
 2015 190    16   0.000    0.00       0    0.00
 2015 191    17   0.000    0.00       0    0.00
 2015 192    18   0.000    0.00       0    0.00
 2015 193    19   0.000    0.00       0    0.00
 2015 194    20   0.000    0.00       0    0.00
 2015 195    21   0.000    0.00       0    0.00
 2015 196    22   0.000    0.00       0    0.00
 2015 197    23   0.000    0.00       0    0.00
 2015 198    24   0.000    0.00       0    0.00
 2015 199    25   0.000    0.00       0    0.00
 2015 200    26   0.000    0.00       0    0.00
 2015 201    27   0.000    0.00       0    0.00
 2015 202    28   0.000    0.00       0    0.00
 2015 203    29   0.000    0.00       0    0.00
 2015 204    30   0.000    0.00       0    0.00
 2015 205    31   0.000    0.00       0    0.00
 2015 206    32   0.000    0.00       0    0.00
 2015 207    33   0.000    0.00       0    0.00
 2015 208    34   0.000    0.00       0    0.00
 2015 209    35   0.000    0.00       0    0.00
 2015 210    36   0.000    0.00       0    0.00
 2015 211    37   0.000    0.00       0    0.00
 2015 212    38   0.000    0.00       0    0.00
 2015 213    39   0.000    0.00       0    0.00
 2015 214    40   0.000    0.00       0    0.00
 2015 215    41   0.000    0.00       0    0.00
 2015 216    42   0.000    0.00       0    0.00
 2015 217    43   0.000    0.00       0    0.00
 2015 218    44   0.000    0.00       0    0.00
 2015 219    45   0.000    0.00       0    0.00
 2015 220    46   0.000    0.00       0    0.00
 2015 221    47   0.000    0.00       0    0.00
 2015 222    48   0.000    0.00       0    0.00
 2015 223    49   0.000    0.00       0    0.00
 2015 224    50   0.000    0.00       0    0.00
 2015 225    51   0.000    0.00       0    0.00
 2015 226    52   0.000    0.00       0    0.00
 2015 227    53   0.000    0.00       0    0.00
 2015 228    54   0.000    0.00       0    0.00
 2015 229    55   0.000    0.00       0    0.00
 2015 230    56   0.000    0.00       0    0.00
 2015 231    57   0.000    0.00       0    0.00
 2015 232    58   0.000    0.00       0    0.00
 2015 233    59   0.000    0.00       0    0.00
 2015 234    60   0.000    0.00       0    0.00
 2015 235    61   0.000    0.00       0    0.00
 2015 236    62   0.000    0.00       0    0.00
 2015 237    63   0.000    0.00       0    0.00
 2015 238    64   0.000    0.00       0    0.00
 2015 239    65   0.000    0.00       0    0.00
 2015 240    66   0.000    0.00       0    0.00
 2015 241    67   0.000    0.00       0    0.00
 2015 242    68   0.000    0.00       0    0.00
 2015 243    69   0.000    0.00       0    0.00
 2015 244    70   0.000    0.00       0    0.00
 2015 245    71   0.000    0.00       0    0.00
 2015 246    72   0.000    0.00       0    0.00
 2015 247    73   0.000    0.00       0    0.00
 2015 248    74   0.000    0.00       0    0.00
 2015 249    75   0.000    0.00       0    0.00
 2015 250    76   0.000    0.00       0    0.00
 2015 251    77   0.000    0.00       0    0.00
 2015 252    78   0.000    0.00       0    0.00
 2015 253    79   0.000    0.00       0    0.00
 2015 254    80   0.000    0.00       0    0.00
 2015 255    81   0.000    0.00       0    0.00
 2015 256    82   0.000    0.00       0    0.00
 2015 257    83   0.000    0.00       0    0.00
 2015 258    84   0.000    0.00       0    0.00
 2015 259    85   0.000    0.00       0    0.00
 2015 260    86   0.000    0.00       0    0.00
 2015 261    87   0.000    0.00       0    0.00
 2015 262    88   0.000    0.00       0    0.00
 2015 263    89   0.000    0.00       0    0.00
 2015 264    90   0.000    0.00       0    0.00
 2015 265    91   0.000    0.00       0    0.00
 2015 266    92   0.000    0.00       0    0.00
 2015 267    93   0.000    0.00       0    0.00
 2015 268    94   0.000    0.00       0    0.00
 2015 269    95   0.000    0.00       0    0.00
 2015 270    96   0.000    0.00       0    0.00
 2015 271    97   0.000    0.00       0    0.00
 2015 272    98   0.000    0.00       0    0.00
 2015 273    99   0.000    0.00       0    0.00
 2015 274   100   0.000    0.00       0    0.00
