*SOM N DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                                                                                                                                                                                                                                                                                                                Cumul.
!               <---- SOM N in top layers ----> <---------------- Total Soil Organic Nitrogen ----------------> <-------- Active Soil Organic Nitrogen (SOM1) --------> <---- Intermediate Soil Organic N (SOM2) -----> <------- Passive Soil Organic N (SOM3) -------> <----------------- Litter Nitrogen -------------------> <------------- Metabolic Litter Nitrogen -------------> <------------ Structural Litter Nitrogen ------------->  Res. N
!               20cm-kg  20cm-% 40cm-kg  40cm-%   Total Surface    Soil     0-5    5-15   15-30   30-45   45-60 Surface    Soil     0-5    5-15   15-30   30-45   45-60    Soil     0-5    5-15   15-30   30-45   45-60    Soil     0-5    5-15   15-30   30-45   45-60 Surface    Soil     0-5    5-15   15-30   30-45   45-60 Surface    Soil     0-5    5-15   15-30   30-45   45-60 Surface    Soil     0-5    5-15   15-30   30-45   45-60 (kg/ha)
@YEAR DOY   DAS  SNS20D  SN%20D  SNS40D  SN%40D    SOND    SN0D    SNTD    SN1D    SN2D    SN3D    SN4D   SN5+D   S1N0D   S1NTD   S1N1D   S1N2D   S1N3D   S1N4D  S1N5+D   S2NTD   S2N1D   S2N2D   S2N3D   S2N4D  S2N5+D   S3NTD   S3N1D   S3N2D   S3N3D   S3N4D  S3N5+D    LN0D    LNTD    LN1D    LN2D    LN3D    LN4D   LN5+D   MEN0D   MENTD   MEN1D   MEN2D   MEN3D   MEN4D  MEN5+D   STN0D   STNTD   STN1D   STN2D   STN3D   STN4D  STN5+D   RESNC
 2015 174     0    2225   0.079    1902   0.068    5706       0    5706     556    1114    1674    1180    1182       0     126      21      41      62       1       1    1407     231     462     695       9       9    4169     304     609     915    1170    1171    0.00    4.51    1.06    1.46    1.17    0.55    0.26    0.00    4.12    0.97    1.33    1.07    0.50    0.24    0.00    0.39    0.09    0.13    0.10    0.05    0.02       0
 2015 175     1    2225   0.079    1902   0.068    5705       0    5705     556    1114    1674    1180    1182       0     125      21      41      62       1       1    1407     231     462     695       9       9    4169     304     609     915    1170    1171    0.00    4.41    1.03    1.43    1.15    0.54    0.26    0.00    4.02    0.94    1.30    1.05    0.49    0.23    0.00    0.39    0.09    0.13    0.10    0.05    0.02       0
 2015 176     2    2223   0.079    1901   0.068    5704       0    5704     555    1113    1673    1180    1182       0     124      20      41      62       1       1    1406     231     462     695       9       9    4169     304     609     915    1170    1171    0.00    4.22    0.97    1.34    1.13    0.53    0.25    0.00    3.83    0.88    1.22    1.02    0.48    0.23    0.00    0.39    0.09    0.13    0.10    0.05    0.02       0
 2015 177     3    2222   0.079    1901   0.068    5702       0    5702     555    1112    1673    1180    1182       0     123      20      40      61       1       1    1406     230     462     695       9       9    4169     304     609     915    1170    1171    0.00    4.04    0.90    1.26    1.11    0.52    0.25    0.00    3.65    0.81    1.13    1.00    0.47    0.22    0.00    0.39    0.09    0.13    0.10    0.05    0.02       0
 2015 178     4    2221   0.079    1901   0.068    5701       0    5701     555    1111    1673    1180    1182       0     122      20      39      61       1       1    1406     230     462     695       9       9    4169     304     609     915    1170    1171    0.00    3.87    0.85    1.18    1.09    0.51    0.24    0.00    3.48    0.76    1.06    0.98    0.47    0.22    0.00    0.39    0.09    0.13    0.10    0.05    0.02       0
 2015 179     5    2220   0.079    1901   0.068    5699       0    5699     554    1111    1672    1180    1182       0     121      19      39      61       1       1    1406     230     462     695       9       9    4169     304     609     915    1170    1171    0.00    3.70    0.79    1.11    1.07    0.50    0.24    0.00    3.32    0.70    0.98    0.97    0.46    0.22    0.00    0.39    0.09    0.12    0.10    0.05    0.02       0
 2015 180     6    2219   0.079    1900   0.068    5698       0    5698     554    1110    1672    1180    1182       0     120      19      38      61       1       1    1405     230     462     695       9       9    4169     304     609     915    1170    1171    0.00    3.56    0.74    1.04    1.05    0.50    0.23    0.00    3.17    0.65    0.91    0.95    0.45    0.21    0.00    0.39    0.09    0.12    0.10    0.05    0.02       0
 2015 181     7    2218   0.079    1900   0.068    5696       0    5696     553    1109    1672    1180    1182       0     119      19      38      60       1       1    1405     230     462     695       9       9    4169     304     609     915    1170    1171    0.00    3.43    0.70    0.97    1.03    0.49    0.23    0.00    3.04    0.61    0.85    0.93    0.44    0.21    0.00    0.38    0.09    0.12    0.10    0.05    0.02       0
 2015 182     8    2217   0.079    1900   0.068    5695       0    5695     553    1108    1671    1180    1182       0     118      19      37      60       1       1    1405     230     461     695       9       9    4169     304     609     915    1170    1171    0.00    3.30    0.67    0.91    1.02    0.48    0.23    0.00    2.92    0.58    0.79    0.92    0.43    0.20    0.00    0.38    0.09    0.12    0.10    0.05    0.02       0
 2015 183     9    2216   0.079    1900   0.068    5693       0    5693     553    1108    1671    1180    1182       0     117      18      37      60       1       1    1405     230     461     695       9       9    4169     304     609     915    1170    1171    0.00    3.19    0.63    0.86    1.00    0.47    0.22    0.00    2.80    0.54    0.74    0.90    0.42    0.20    0.00    0.38    0.09    0.12    0.10    0.05    0.02       0
