*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                    NO3 (ppm) by soil depth (cm):           NH4 (ppm) by soil depth (cm):
!                                                     0-5    5-15   15-30   30-45   45-60     0-5    5-15   15-30   30-45   45-60
@YEAR DOY   DAS  NAPC  NI#M    NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NH1D    NH2D    NH3D    NH4D    NH5D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDFC
 2015 174     0     0     0    52.1   47.0    5.0    5.60    5.60    5.60    5.60    5.60    0.60    0.60    0.60    0.60    0.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 2015 175     1     0     0    52.9   48.1    4.8    2.18    7.51    5.73    5.73    5.72    0.72    0.65    0.65    0.47    0.48    0.99    1.11    0.00    0.14    0.00    0.85    0.00    0.00    0.00
 2015 176     2     0     0    54.5   49.2    5.3    2.20    7.76    5.87    5.83    5.82    1.22    1.03    0.69    0.38    0.38    2.87    2.16    0.00    0.41    0.00    2.46    0.00    0.00    0.00
 2015 177     3     0     1    56.2   50.4    5.7    3.82    7.86    5.88    5.81    5.82    1.58    1.31    0.71    0.30    0.31    4.78    3.42    0.00    0.68    0.00    4.10    0.00    0.00    0.00
 2015 178     4     0     1    57.7   51.8    5.9    3.58    8.55    6.02    5.87    5.88    1.74    1.50    0.73    0.24    0.25    6.56    4.77    0.00    0.94    0.00    5.62    0.00    0.00    0.00
 2015 179     5     0     1    59.3   53.1    6.1    5.25    8.80    6.02    5.82    5.85    1.99    1.69    0.74    0.20    0.20    8.45    6.13    0.00    1.22    0.00    7.24    0.00    0.00    0.00
 2015 180     6     0     1    60.7   54.6    6.2    7.21    9.00    6.02    5.76    5.81    2.02    1.79    0.74    0.16    0.17   10.17    7.57    0.00    1.47    0.00    8.70    0.00    0.00    0.00
 2015 181     7     0     1    62.1   56.0    6.1    7.86    9.42    6.15    5.79    5.84    1.98    1.86    0.74    0.13    0.14   11.82    9.04    0.00    1.72    0.00   10.11    0.00    0.00    0.00
 2015 182     8     0     1    63.5   57.5    6.0    8.51    9.86    6.29    5.81    5.87    1.89    1.89    0.73    0.11    0.12   13.40   10.50    0.00    1.95    0.00   11.45    0.00    0.00    0.00
 2015 183     9     0     1    64.9   58.9    5.9    3.79    9.45    8.78    5.83    5.89    1.87    1.91    0.73    0.09    0.10   15.01   11.95    0.00    2.19    0.00   12.82    0.00    0.00    0.00
 2015 184    10     0     1    66.5   60.0    6.5    4.33    8.55    9.75    5.81    5.87    2.08    2.07    0.87    0.08    0.08   16.97   13.03    0.00    2.48    0.00   14.49    0.00    0.00    0.00
 2015 185    11     0     1    68.5   61.5    7.0    6.10    8.66    9.90    5.74    5.82    2.14    2.15    1.05    0.07    0.07   19.27   14.48    0.00    2.83    0.00   16.45    0.00    0.00    0.00
 2015 186    12     0     1    70.3   63.1    7.2    4.80    8.23   11.54    5.66    5.76    2.08    2.15    1.18    0.06    0.06   21.43   16.11    0.00    3.15    0.00   18.28    0.00    0.00    0.00
 2015 187    13     0     1    72.0   64.2    7.8    6.14    7.77   11.78    5.88    5.69    2.17    2.22    1.40    0.05    0.05   23.88   17.52    0.00    3.55    0.00   20.32    0.35    0.00    0.00
 2015 188    14     0     1    73.6   65.5    8.1    5.80    7.96   11.99    6.35    5.63    2.10    2.20    1.58    0.04    0.05   26.43   19.29    0.00    3.97    0.00   22.46    0.90    0.00    0.00
 2015 189    15     0     1    75.3   66.9    8.4    6.64    8.06   12.02    6.70    5.56    2.16    2.20    1.74    0.04    0.04   29.11   21.09    0.00    4.42    0.00   24.69    1.38    0.00    0.00
 2015 190    16     0     1    77.0   68.5    8.6    5.38    7.84   12.14    7.95    5.51    2.17    2.18    1.83    0.03    0.04   31.87   23.15    0.00    4.88    0.00   26.99    1.96    0.00    0.00
 2015 191    17     0     1    78.6   69.8    8.8    6.29    7.62   11.87    8.73    5.46    2.22    2.21    1.92    0.03    0.03   34.41   24.94    0.00    5.31    0.00   29.10    2.51    0.00    0.00
 2015 192    18     0     1    80.2   71.3    8.8    8.17    7.87   11.75    8.85    5.40    2.15    2.18    1.97    0.03    0.03   37.03   27.00    0.00    5.74    0.00   31.28    3.11    0.00    0.00
 2015 193    19     0     1    81.4   72.8    8.6    4.51    6.43   11.62   11.92    5.33    2.00    2.10    1.97    0.03    0.03   39.45   29.15    0.00    6.15    0.00   33.30    3.92    0.00    0.00
 2015 194    20     0     1    82.0   73.1    8.9    4.58    5.91   10.25   11.50    7.61    2.09    2.15    2.04    0.03    0.03   41.55   30.47    0.00    6.50    0.00   35.05    5.05    0.00    0.00
 2015 195    21     0     1    83.6   74.7    9.0    6.08    6.26   10.15   11.44    7.77    2.08    2.16    2.08    0.03    0.03   43.89   32.31    0.00    6.86    0.00   37.03    5.37    0.00    0.00
 2015 196    22     0     1    83.1   74.4    8.6    7.44    6.45   10.01   11.01    7.65    1.93    2.05    2.03    0.04    0.03   46.11   34.23    0.00    7.21    0.00   38.91    7.84    0.00    0.00
 2015 197    23     0     1    83.7   75.3    8.4    7.79    6.74   10.26   10.87    7.62    1.80    1.99    2.01    0.04    0.03   48.23   36.10    0.00    7.54    0.00   40.69    9.01    0.00    0.00
 2015 198    24     0     1    83.5   75.4    8.1    8.02    6.92   10.39   10.66    7.55    1.64    1.92    1.97    0.04    0.03   50.22   37.89    0.00    7.85    0.00   42.36   10.86    0.00    0.00
 2015 199    25     0     1    83.5   75.6    7.8    8.26    7.13   10.56   10.47    7.48    1.48    1.85    1.93    0.04    0.03   52.14   39.64    0.00    8.16    0.00   43.98   12.50    0.00    0.00
 2015 200    26     0     1    82.5   75.0    7.5    8.35    7.22   10.59   10.17    7.36    1.33    1.76    1.87    0.04    0.03   54.02   41.38    0.00    8.47    0.00   45.56   15.05    0.00    0.00
 2015 201    27     0     1    66.5   59.4    7.1    0.82    4.25    5.04   10.23    9.89    1.22    1.67    1.81    0.05    0.03   55.83   43.04    0.00    8.76    0.00   47.07   17.34   15.20    0.00
 2015 202    28     0     1    62.5   54.8    7.7    1.09    3.90    4.79    8.91    9.40    1.45    1.79    1.92    0.05    0.03   57.73   44.03    0.00    8.97    0.00   48.76   18.34   19.90    0.00
 2015 203    29     0     1    57.8   49.8    8.0    1.62    3.84    4.65    7.66    8.31    1.61    1.83    1.97    0.05    0.04   59.79   45.37    0.00    9.20    0.00   50.59   20.14   24.58    0.00
 2015 204    30     0     1    56.1   48.1    8.0    2.29    3.95    4.73    7.06    7.70    1.65    1.81    1.96    0.06    0.04   61.95   46.98    0.00    9.43    0.00   52.51   22.71   25.67    0.00
 2015 205    31     0     1    54.7   46.9    7.8    2.95    3.99    4.79    6.61    7.31    1.61    1.75    1.90    0.06    0.05   63.93   48.56    0.00    9.65    0.00   54.27   25.84   25.67    0.00
 2015 206    32     0     1    53.6   46.0    7.6    3.51    4.05    4.86    6.23    6.97    1.55    1.70    1.85    0.06    0.05   65.73   50.07    0.00    9.86    0.00   55.88   28.53   25.67    0.00
 2015 207    33     0     1    52.4   45.1    7.3    3.67    4.13    4.94    5.91    6.66    1.47    1.63    1.79    0.06    0.05   67.50   51.60    0.00   10.05    0.00   57.45   31.28   25.67    0.00
 2015 208    34     0     1    52.6   45.4    7.2    3.84    4.36    5.16    5.76    6.51    1.41    1.59    1.77    0.06    0.05   69.23   53.12    0.00   10.25    0.00   58.98   32.67   25.67    0.00
 2015 209    35     0     1    53.2   46.0    7.2    4.05    4.60    5.42    5.67    6.42    1.51    1.57    1.75    0.06    0.06   70.98   54.58    0.00   10.44    0.00   60.54   33.61   25.67    0.00
 2015 210    36     0     1    52.0   45.1    7.0    4.19    4.63    5.45    5.39    6.14    1.52    1.51    1.68    0.06    0.06   72.60   55.96    0.00   10.63    0.00   61.97   36.22   25.67    0.00
 2015 211    37     0     1    50.4   43.7    6.7    4.28    4.60    5.43    5.09    5.82    1.47    1.44    1.61    0.06    0.06   74.10   57.28    0.00   10.80    0.00   63.30   39.15   25.67    0.00
 2015 212    38     0     1    48.7   42.4    6.4    4.34    4.55    5.38    4.79    5.51    1.38    1.37    1.54    0.06    0.06   75.50   58.55    0.00   10.96    0.00   64.54   42.07   25.67    0.00
 2015 213    39     0     1    46.5   40.5    6.0    4.34    4.44    5.26    4.46    5.14    1.25    1.29    1.46    0.06    0.06   76.82   59.78    0.00   11.11    0.00   65.71   45.50   25.67    0.00
 2015 214    40     0     1    44.2   38.6    5.6    2.27    5.36    5.14    4.13    4.78    1.13    1.20    1.38    0.06    0.06   78.11   61.02    0.00   11.26    0.00   66.86   48.88   25.67    0.00
 2015 215    41     0     1    43.5   37.7    5.7    2.19    5.35    5.18    3.93    4.55    1.30    1.28    1.33    0.06    0.06   79.75   62.18    0.00   11.44    0.00   68.32   51.10   25.67    0.00
 2015 216    42     0     1    33.2   27.4    5.8    0.80    1.51    3.36    4.77    3.65    1.42    1.33    1.26    0.06    0.06   81.41   63.41    0.00   11.61    0.00   69.79   53.98   34.57    0.00
 2015 217    43     0     1    30.9   24.6    6.3    0.78    1.44    2.94    4.08    3.49    1.53    1.44    1.40    0.07    0.06   83.12   64.19    0.00   11.77    0.00   71.35   56.00   36.34    0.00
 2015 218    44     0     1    28.3   21.7    6.7    0.89    1.43    2.65    3.37    3.05    1.60    1.51    1.49    0.07    0.07   84.86   65.13    0.00   11.92    0.00   72.94   58.08   38.45    0.00
 2015 219    45     0     1    26.3   19.6    6.7    0.64    1.20    2.42    3.03    2.88    1.60    1.52    1.52    0.07    0.07   86.78   66.33    0.00   12.09    0.00   74.69   60.99   39.29    0.00
 2015 220    46     0     1    25.6   18.4    7.2    0.76    1.23    2.29    2.69    2.71    1.72    1.63    1.65    0.07    0.07   88.32   67.19    0.00   12.22    0.00   76.10   61.12   41.25    0.00
 2015 221    47     0     1    24.4   17.2    7.1    0.76    1.28    2.22    2.41    2.47    1.68    1.60    1.63    0.08    0.07   90.07   68.35    0.01   12.37    0.00   77.69   63.68   41.55    0.00
 2015 222    48     0     1    23.1   15.9    7.2    0.49    1.00    2.02    2.30    2.43    1.69    1.60    1.63    0.08    0.07   91.75   69.44    0.02   12.52    0.00   79.24   65.68   42.38    0.00
 2015 223    49     0     1    21.1   13.8    7.3    0.62    1.00    1.78    1.88    2.04    1.70    1.62    1.66    0.08    0.07   93.26   70.31    0.06   12.65    0.00   80.62   67.45   43.96    0.00
 2015 224    50     0     1    19.2   12.3    6.9    0.53    0.90    1.64    1.65    1.80    1.60    1.53    1.58    0.08    0.07   95.02   71.48    0.07   12.79    0.00   82.23   70.47   44.37    0.00
 2015 225    51     0     1    18.5   11.4    7.1    0.66    0.94    1.57    1.43    1.58    1.65    1.58    1.62    0.08    0.07   96.62   72.44    0.09   12.93    0.00   83.70   71.67   45.35    0.00
 2015 226    52     0     1    17.3   10.6    6.7    0.66    1.00    1.56    1.25    1.35    1.55    1.49    1.54    0.08    0.07   98.49   73.70    0.09   13.08    0.00   85.41   74.43   45.47    0.00
 2015 227    53     0     1    18.6   11.5    7.1    0.76    1.15    1.77    1.29    1.38    1.67    1.59    1.63    0.08    0.07  100.13   74.79    0.11   13.22    0.00   86.91   74.43   45.64    0.00
 2015 228    54     0     1    18.7   11.6    7.1    0.96    1.29    1.87    1.21    1.27    1.66    1.58    1.63    0.08    0.07  101.83   76.02    0.11   13.37    0.00   88.47   75.60   45.91    0.00
 2015 229    55     0     1    18.5   11.6    6.9    0.91    1.41    1.98    1.15    1.16    1.59    1.52    1.57    0.08    0.07  103.56   77.35    0.11   13.52    0.00   90.05   77.43   45.92    0.00
 2015 230    56     0     1    19.9   12.8    7.2    0.92    1.57    2.26    1.25    1.20    1.69    1.59    1.63    0.08    0.07  105.20   78.54    0.11   13.66    0.00   91.54   77.43   45.98    0.00
 2015 231    57     0     1    20.2   13.1    7.2    0.95    1.64    2.38    1.26    1.17    1.71    1.59    1.63    0.08    0.07  106.78   79.68    0.11   13.80    0.00   92.97   78.49   46.05    0.00
 2015 232    58     0     1    21.5   14.1    7.4    1.14    1.82    2.60    1.33    1.19    1.78    1.63    1.67    0.08    0.07  108.40   80.95    0.11   13.95    0.00   94.45   78.49   46.26    0.00
 2015 233    59     0     1    22.7   15.3    7.4    0.81    1.64    2.85    1.74    1.35    1.79    1.64    1.68    0.08    0.07  110.05   82.41    0.11   14.11    0.00   95.95   78.49   46.49    0.00
 2015 234    60     0     1    23.2   15.5    7.7    0.97    1.65    2.76    1.79    1.41    1.86    1.71    1.73    0.08    0.07  111.44   83.42    0.12   14.24    0.00   97.21   78.49   47.33    0.00
 2015 235    61     0     1    24.5   16.8    7.7    1.36    1.91    3.01    1.82    1.44    1.86    1.72    1.75    0.08    0.07  113.05   84.83    0.12   14.39    0.00   98.66   78.49   47.46    0.00
