*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
! TAV  =    27.7
! TAMP =     5.2
!               Temperature (oC) by soil depth (cm):
!               Surface     0-5    5-15   15-30   30-45   45-60
@YEAR DOY   DAS    TS0D    TS1D    TS2D    TS3D    TS4D    TS5D    
 2015 175     1    33.5    33.4    33.1    32.7    32.3    31.9
 2015 176     2    33.3    33.3    33.1    32.8    32.5    32.1
 2015 177     3    33.1    33.0    32.9    32.6    32.2    31.9
 2015 178     4    33.0    33.0    32.8    32.5    32.2    31.9
 2015 179     5    32.7    32.7    32.5    32.2    31.9    31.7
 2015 180     6    32.9    32.9    32.7    32.4    32.1    31.8
 2015 181     7    32.9    32.8    32.7    32.4    32.1    31.8
 2015 182     8    33.1    33.0    32.8    32.5    32.2    31.9
 2015 183     9    32.0    31.9    31.8    31.5    31.2    31.0
 2015 184    10    31.4    31.3    31.2    31.1    30.9    30.7
 2015 185    11    31.3    31.2    31.1    30.9    30.7    30.5
 2015 186    12    31.3    31.2    31.1    30.9    30.7    30.5
 2015 187    13    31.1    31.1    31.0    30.8    30.7    30.5
 2015 188    14    32.1    32.0    31.9    31.7    31.5    31.3
 2015 189    15    32.6    32.5    32.4    32.2    32.0    31.7
 2015 190    16    32.5    32.5    32.4    32.1    31.9    31.7
 2015 191    17    32.2    32.1    32.0    31.8    31.6    31.4
 2015 192    18    32.1    32.0    31.9    31.7    31.5    31.3
 2015 193    19    31.2    31.1    31.0    30.9    30.7    30.5
 2015 194    20    30.5    30.5    30.4    30.3    30.1    30.0
 2015 195    21    30.5    30.5    30.4    30.3    30.1    30.0
 2015 196    22    30.4    30.3    30.3    30.1    30.0    29.9
