*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-45   45-60
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    
 2015 174     0    78    32      0      0      0     0     0     0    0.00   0.0   0.0   0.00   0.130   0.130   0.130   0.130   0.130
 2015 175     1    99    54      0      0     23     0     0    30    0.00   0.0   0.0   0.00   0.336   0.242   0.130   0.130   0.130
 2015 176     2    95    50      0      0     23     0     0    60    0.00   0.0   0.0   0.00   0.264   0.247   0.127   0.128   0.128
 2015 177     3    94    48      0      0     23     0     0    60    0.00   0.0   0.0   0.00   0.242   0.246   0.127   0.128   0.128
 2015 178     4    97    52      0      0     30     0     0    60    0.00   0.0   0.0   0.00   0.295   0.263   0.124   0.126   0.126
 2015 179     5    93    48      0      0     30     0     0    60    0.00   0.0   0.0   0.00   0.250   0.255   0.121   0.123   0.125
 2015 180     6    92    47      0      0     30     0     0    60    0.00   0.0   0.0   0.00   0.229   0.254   0.120   0.123   0.125
 2015 181     7    91    45      0      0     30     0     0    60    0.00   0.0   0.0   0.00   0.210   0.253   0.120   0.123   0.125
 2015 182     8    92    46      0      0     32     0     0    60    0.00   0.0   0.0   0.00   0.228   0.251   0.120   0.123   0.125
 2015 183     9   116    70      0      0     58     0     0    60    0.00   0.0   0.0   0.00   0.340   0.339   0.184   0.122   0.124
 2015 184    10   112    66      0      0     58     0     0    60    0.00   0.0   0.0   0.00   0.271   0.291   0.216   0.121   0.123
 2015 185    11   107    61      0      0     58     0     0    60    0.00   0.0   0.0   0.00   0.235   0.270   0.214   0.119   0.121
 2015 186    12   123    77      0      0     79     0     0    60    0.00   0.0   0.0   0.00   0.316   0.320   0.264   0.117   0.119
 2015 187    13   117    72      0      0     79     0     0    60    0.00   0.0   0.0   0.00   0.253   0.280   0.272   0.122   0.118
 2015 188    14   124    79      0      0     91     0     0    60    0.00   0.0   0.0   0.00   0.313   0.292   0.280   0.132   0.116
 2015 189    15   123    77      0      0     95     0     0    60    0.00   0.0   0.0   0.00   0.292   0.282   0.279   0.140   0.115
 2015 190    16   134    89      0      0    111     0     0    60    0.00   0.0   0.0   0.00   0.319   0.318   0.294   0.169   0.114
 2015 191    17   130    85      0      0    113     0     0    60    0.00   0.0   0.0   0.00   0.271   0.287   0.286   0.188   0.112
 2015 192    18   124    79      0      0    113     0     0    60    0.00   0.0   0.0   0.00   0.230   0.265   0.273   0.191   0.111
 2015 193    19   157   112      0      0    148     0     0    60    0.00   0.0   0.0   0.00   0.344   0.341   0.329   0.267   0.111
 2015 194    20   152   106      0      0    148     0     0    60    0.00   0.0   0.0   0.00   0.269   0.289   0.291   0.275   0.162
 2015 195    21   146   100      0      0    148     0     0    60    0.00   0.0   0.0   0.00   0.234   0.268   0.275   0.274   0.165
 2015 196    22   143    98      0      0    148     0     0    60    0.00   0.0   0.0   0.00   0.209   0.262   0.272   0.273   0.165
 2015 197    23   140    95      0      0    148     0     0    60    0.00   0.0   0.0   0.00   0.185   0.256   0.269   0.271   0.164
 2015 198    24   138    92      0      0    148     0     0    60    0.00   0.0   0.0   0.00   0.164   0.251   0.266   0.269   0.163
 2015 199    25   135    89      0      0    148     0     0    60    0.00   0.0   0.0   0.00   0.143   0.244   0.261   0.266   0.162
 2015 200    26   132    86      0      0    148     0     0    60    0.00   0.0   0.0   0.00   0.124   0.237   0.257   0.263   0.161
 2015 201    27   206   160      0     33    257     0     0    54    0.00   0.0   0.0   0.00   0.347   0.340   0.342   0.343   0.345
 2015 202    28   190   145      0     45    257     0     0    55    0.00   0.0   0.0   0.00   0.295   0.303   0.312   0.324   0.332
 2015 203    29   172   126      0     58    257     0     0    58    0.00   0.0   0.0   0.00   0.262   0.277   0.285   0.292   0.297
 2015 204    30   163   118      0     61    257     0     0    60    0.00   0.0   0.0   0.00   0.237   0.264   0.273   0.278   0.282
 2015 205    31   158   113      0     61    257     0     0    60    0.00   0.0   0.0   0.00   0.217   0.252   0.264   0.272   0.278
 2015 206    32   155   109      0     61    258     0     0    60    0.00   0.0   0.0   0.00   0.205   0.245   0.259   0.268   0.275
 2015 207    33   153   108      0     61    258     0     0    60    0.00   0.0   0.0   0.00   0.199   0.240   0.256   0.266   0.274
 2015 208    34   156   110      0     61    263     0     0    60    0.00   0.0   0.0   0.00   0.269   0.239   0.253   0.264   0.272
 2015 209    35   152   107      0     61    264     0     0    60    0.00   0.0   0.0   0.00   0.252   0.233   0.248   0.260   0.269
 2015 210    36   148   102      0     61    264     0     0    60    0.00   0.0   0.0   0.00   0.222   0.225   0.242   0.255   0.266
 2015 211    37   144    98      0     61    264     0     0    60    0.00   0.0   0.0   0.00   0.196   0.217   0.235   0.250   0.262
 2015 212    38   139    93      0     61    264     0     0    60    0.00   0.0   0.0   0.00   0.170   0.208   0.228   0.244   0.257
 2015 213    39   134    88      0     61    264     0     0    60    0.00   0.0   0.0   0.00   0.147   0.198   0.220   0.239   0.253
 2015 214    40   148   103      0     61    282     0     0    60    0.00   0.0   0.0   0.00   0.331   0.269   0.215   0.234   0.249
 2015 215    41   143    98      0     61    282     0     0    60    0.00   0.0   0.0   0.00   0.288   0.271   0.208   0.228   0.244
 2015 216    42   204   159      2    104    392     0     0    54    0.00   0.0   0.0   2.22   0.344   0.338   0.340   0.341   0.342
 2015 217    43   195   150      2    117    399     0     0    55    0.00   0.0   0.0   0.00   0.344   0.321   0.317   0.326   0.331
 2015 218    44   174   128      2    133    399     0     0    59    0.00   0.0   0.0   0.00   0.290   0.286   0.286   0.291   0.294
 2015 219    45   194   149      2    139    427     0     0    58    0.00   0.0   0.0   0.00   0.352   0.343   0.330   0.314   0.306
 2015 220    46   174   128      2    155    427     0     0    60    0.00   0.0   0.0   0.00   0.295   0.296   0.292   0.287   0.285
 2015 221    47   178   132      2    158    438     0     0    59    0.00   0.0   0.0   0.00   0.343   0.309   0.292   0.289   0.286
 2015 222    48   196   151      2    165    467     0     0    58    0.00   0.0   0.0   0.00   0.344   0.338   0.339   0.323   0.307
 2015 223    49   173   128      2    182    467     0     0    60    0.00   0.0   0.0   0.00   0.289   0.292   0.293   0.289   0.284
 2015 224    50   190   144      2    186    492     0     0    58    0.00   0.0   0.0   0.00   0.345   0.339   0.321   0.308   0.297
 2015 225    51   171   125      2    199    492     0     0    60    0.00   0.0   0.0   0.00   0.290   0.292   0.285   0.283   0.280
 2015 226    52   181   135      2    201    505     0     0    59    0.00   0.0   0.0   0.00   0.353   0.321   0.297   0.292   0.286
 2015 227    53   175   130      2    204    506     0     0    59    0.00   0.0   0.0   0.00   0.310   0.298   0.289   0.290   0.287
 2015 228    54   166   120      2    208    506     0     0    60    0.00   0.0   0.0   0.00   0.278   0.277   0.274   0.277   0.277
 2015 229    55   174   129      2    208    517     0     0    60    0.00   0.0   0.0   0.00   0.348   0.304   0.284   0.281   0.278
 2015 230    56   175   130      2    209    523     0     0    60    0.00   0.0   0.0   0.00   0.345   0.303   0.286   0.284   0.280
 2015 231    57   174   129      2    211    526     0     0    60    0.00   0.0   0.0   0.00   0.333   0.297   0.285   0.285   0.282
 2015 232    58   167   121      2    214    526     0     0    60    0.00   0.0   0.0   0.00   0.290   0.279   0.274   0.277   0.278
 2015 233    59   189   143      2    218    555     0     0    59    0.00   0.0   0.0   0.00   0.347   0.340   0.321   0.304   0.292
 2015 234    60   171   125      2    230    555     0     0    60    0.00   0.0   0.0   0.00   0.292   0.293   0.285   0.283   0.279
 2015 235    61   164   118      2    232    555     0     0    60    0.00   0.0   0.0   0.00   0.270   0.274   0.271   0.275   0.275
 2015 236    62   161   116      2    232    555     0     0    60    0.00   0.0   0.0   0.00   0.262   0.268   0.265   0.272   0.272
 2015 237    63   157   111      2    232    555     0     0    60    0.00   0.0   0.0   0.00   0.240   0.260   0.257   0.268   0.268
 2015 238    64   208   162      2    262    637     0     0    54    0.00   0.0   0.0   0.00   0.355   0.345   0.345   0.345   0.346
 2015 239    65   178   133      2    286    637     0     0    58    0.00   0.0   0.0   0.00   0.294   0.295   0.294   0.300   0.301
 2015 240    66   174   128      2    290    640     0     0    59    0.00   0.0   0.0   0.00   0.305   0.286   0.283   0.290   0.293
 2015 241    67   205   159      2    305    690     0     0    54    0.00   0.0   0.0   0.00   0.346   0.339   0.339   0.342   0.343
 2015 242    68   189   143      2    317    690     0     0    56    0.00   0.0   0.0   0.00   0.299   0.302   0.306   0.321   0.329
 2015 243    69   179   133      2    325    692     0     0    57    0.00   0.0   0.0   0.00   0.299   0.287   0.287   0.301   0.311
