*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                    NO3 (ppm) by soil depth (cm):                   NH4 (ppm) by soil depth (cm):
!                                                     0-5    5-15   15-30   30-60   60-90  90-120     0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS  NAPC  NI#M    NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDFC
 2013 155     0     0     0    10.2    0.0   10.2    0.00    0.00    0.00    0.00    0.00    0.00    0.60    0.60    0.60    0.60    0.60    0.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 2013 156     1     0     0    10.4    1.8    8.6    0.11    0.10    0.10    0.10    0.10    0.11    0.67    0.51    0.51    0.50    0.50    0.50    0.22    1.77    0.00    0.03    0.00    0.19    0.00    0.00    0.00
 2013 157     2     0     0    10.8    3.2    7.6    0.10    0.19    0.21    0.19    0.19    0.19    1.04    0.48    0.44    0.41    0.41    0.41    0.73    3.21    0.00    0.11    0.00    0.62    0.00    0.00    0.00
 2013 158     3     0     0    12.1    4.4    7.7    0.30    0.21    0.29    0.25    0.26    0.26    1.29    0.83    0.55    0.35    0.34    0.34    2.17    4.42    0.00    0.31    0.00    1.86    0.00    0.00    0.00
 2013 159     4    52     2    65.4    5.7   59.7    0.53    0.36    0.38    0.31    0.31    0.32   74.71    1.12    0.66    0.29    0.29    0.29    3.70    5.68    0.00    0.53    0.00    3.17    0.00    0.00    0.00
 2013 160     5    52     2    66.3   15.5   50.8   12.93    0.54    0.48    0.35    0.36    0.36   62.34    1.32    0.74    0.24    0.24    0.24    5.10   15.56    0.00    0.96    0.00    4.13    0.00    0.00    0.00
 2013 161     6    52     2    67.3   23.9   43.3   23.25    0.75    0.60    0.39    0.40    0.40   52.01    1.47    0.81    0.20    0.20    0.20    6.43   23.97    0.00    1.36    0.00    5.08    0.00    0.00    0.00
 2013 162     7    52     2    68.2   30.9   37.3   31.62    0.98    0.73    0.43    0.43    0.43   43.63    1.59    0.86    0.17    0.17    0.17    7.69   30.95    0.00    1.71    0.00    5.98    0.00    0.00    0.00
 2013 163     8    52     2    69.1   37.2   31.9   38.69    1.39    0.88    0.45    0.46    0.46   36.28    1.68    0.91    0.14    0.14    0.14    8.94   37.22    0.00    2.04    0.00    6.89    0.00    0.00    0.00
 2013 164     9    52     2    69.9   42.5   27.4   38.39    4.74    1.13    0.48    0.48    0.49   30.13    1.74    0.94    0.12    0.12    0.12   10.26   42.62    0.00    2.47    0.00    7.79    0.00    0.00    0.00
 2013 165    10    52     2    70.8   45.0   25.8   40.78    4.94    1.25    0.49    0.50    0.50   28.07    1.76    0.98    0.10    0.10    0.10   11.59   45.08    0.00    2.94    0.00    8.65    0.00    0.00    0.00
 2013 166    11    52     2    71.6   49.1   22.4   44.38    5.73    1.38    0.51    0.51    0.52   23.58    1.75    0.99    0.09    0.09    0.08   12.81   49.23    0.00    3.37    0.00    9.44    0.00    0.00    0.00
 2013 167    12    52     2    72.4   52.8   19.6   28.23   12.28    4.00    0.54    0.53    0.53   19.77    1.74    1.01    0.07    0.07    0.07   14.06   52.89    0.00    3.82    0.00   10.24    0.00    0.00    0.00
 2013 168    13    52     2    73.5   54.4   19.1   31.73   11.28    4.19    0.56    0.54    0.54   18.52    1.86    1.16    0.06    0.06    0.06   15.69   54.53    0.00    4.33    0.00   11.36    0.00    0.00    0.00
 2013 169    14    52     2    74.6   57.5   17.1   32.90   12.38    4.48    0.56    0.54    0.55   15.66    1.80    1.28    0.05    0.05    0.05   17.31   57.63    0.00    4.84    0.00   12.47    0.00    0.00    0.00
 2013 170    15    52     2    75.7   59.3   16.4   35.82   12.04    4.54    0.57    0.55    0.55   14.72    1.74    1.37    0.05    0.04    0.04   18.98   59.41    0.00    5.39    0.00   13.60    0.00    0.00    0.00
 2013 171    16    52     2    76.8   62.1   14.7   36.15   13.39    4.79    0.57    0.55    0.56   12.41    1.69    1.43    0.04    0.04    0.04   20.57   62.15    0.00    5.91    0.00   14.66    0.00    0.00    0.00
 2013 172    17    52     2    77.9   63.7   14.1   26.51   16.15    6.58    0.75    0.56    0.56   11.64    1.63    1.47    0.03    0.03    0.03   22.19   63.84    0.00    6.46    0.00   15.73    0.00    0.00    0.00
 2013 173    18    52     2    78.9   65.6   13.3   21.75   15.96    8.26    1.21    0.56    0.56    9.83    1.74    1.62    0.03    0.03    0.03   23.82   65.74    0.00    7.05    0.00   16.78    0.00    0.00    0.00
 2013 174    19    52     2    79.9   66.6   13.3   24.97   14.85    7.97    1.41    0.56    0.57    9.34    1.84    1.75    0.02    0.02    0.02   25.36   66.70    0.00    7.61    0.00   17.75    0.00    0.00    0.00
 2013 175    20    52     2    80.9   68.6   12.4   22.83   16.09    8.49    1.56    0.56    0.57    7.90    1.75    1.87    0.02    0.02    0.02   27.05   68.69    0.00    8.22    0.00   18.83    0.00    0.00    0.00
 2013 176    21    52     2    82.0   69.6   12.5   25.86   15.18    8.40    1.63    0.56    0.57    7.55    1.85    1.98    0.02    0.02    0.02   28.76   69.66    0.00    8.86    0.00   19.90    0.00    0.00    0.00
 2013 177    22    52     2    83.1   71.8   11.3   27.25   15.68    8.69    1.61    0.56    0.57    6.40    1.75    1.87    0.02    0.02    0.02   30.45   71.93    0.00    9.48    0.00   20.97    0.03    0.00    0.00
 2013 178    23    52     2    84.0   73.3   10.7   30.52   15.13    8.72    1.59    0.56    0.57    6.12    1.66    1.78    0.02    0.01    0.01   32.20   73.56    0.00   10.13    0.00   22.07    0.17    0.00    0.00
 2013 179    24    52     2    84.9   75.2    9.7   33.58   14.96    8.73    1.57    0.56    0.57    5.17    1.56    1.68    0.02    0.01    0.01   33.81   75.58    0.00   10.73    0.00   23.08    0.34    0.00    0.00
 2013 180    25    52     2    85.6   76.7    8.9   34.60   15.10    9.00    1.58    0.56    0.57    4.44    1.50    1.61    0.02    0.01    0.01   35.37   77.31    0.00   11.31    0.00   24.06    0.55    0.00    0.00
 2013 181    26    52     2    86.4   78.1    8.3   33.39   16.30    9.26    1.58    0.56    0.57    3.83    1.44    1.55    0.02    0.01    0.01   36.86   78.89    0.00   11.86    0.00   25.00    0.71    0.00    0.00
 2013 182    27    52     2    87.1   79.4    7.8   33.23   16.87    9.49    1.58    0.56    0.58    3.38    1.40    1.50    0.02    0.01    0.01   38.41   80.32    0.00   12.45    0.00   25.96    0.93    0.00    0.00
