*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:32
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
! TAV  =    27.7
! TAMP =     5.2
!               Temperature (oC) by soil depth (cm):
!               Surface     0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS    TS0D    TS1D    TS2D    TS3D    TS4D    TS5D    TS6D    
 2014 128     1    26.5    26.4    26.3    26.2    26.3    26.7    27.1
 2014 129     2    26.2    26.2    26.1    26.0    26.1    26.5    26.9
 2014 130     3    25.7    25.7    25.7    25.7    25.8    26.2    26.6
 2014 131     4    25.4    25.4    25.4    25.5    25.6    26.0    26.4
 2014 132     5    25.2    25.2    25.3    25.3    25.4    25.7    26.1
 2014 133     6    25.3    25.3    25.3    25.4    25.5    25.8    26.2
 2014 134     7    25.6    25.6    25.6    25.6    25.7    26.0    26.4
 2014 135     8    26.2    26.2    26.1    26.0    26.0    26.1    26.4
 2014 136     9    26.5    26.5    26.4    26.3    26.2    26.3    26.6
 2014 137    10    26.6    26.5    26.4    26.3    26.2    26.4    26.6
 2014 138    11    26.4    26.4    26.3    26.3    26.2    26.2    26.3
 2014 139    12    26.5    26.5    26.4    26.4    26.3    26.2    26.3
 2014 140    13    26.3    26.3    26.3    26.2    26.1    26.1    26.2
 2014 141    14    26.1    26.0    26.0    26.0    25.9    26.0    26.1
 2014 142    15    25.5    25.5    25.5    25.5    25.6    25.6    25.7
 2014 143    16    25.2    25.2    25.2    25.3    25.3    25.4    25.5
 2014 144    17    24.1    24.2    24.2    24.3    24.5    24.7    24.9
 2014 145    18    23.3    23.3    23.4    23.6    23.8    24.1    24.4
 2014 146    19    22.9    22.9    23.0    23.2    23.5    23.8    24.2
 2014 147    20    23.6    23.6    23.7    23.8    24.0    24.2    24.5
 2014 148    21    24.0    24.1    24.1    24.2    24.3    24.5    24.7
 2014 149    22    24.7    24.7    24.8    24.8    24.9    25.0    25.2
 2014 150    23    25.9    25.9    25.9    25.9    25.9    25.9    25.9
 2014 151    24    27.0    27.0    26.9    26.9    26.8    26.7    26.6
 2014 152    25    26.9    26.9    26.9    26.8    26.7    26.6    26.6
 2014 153    26    27.0    27.0    27.0    26.9    26.8    26.7    26.6
