*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:32
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    
 2014 127     0   292     0      0      0      0     0     0     0    0.00   0.0   0.0   0.00   0.243   0.243   0.243   0.243   0.243   0.243
 2014 128     1   295     3      0      0      4     0     0    60    0.00   0.0   0.0   0.00   0.308   0.242   0.243   0.243   0.243   0.243
 2014 129     2   299     7      0      0     10     0     0   120    0.00   0.0   0.0   0.00   0.369   0.255   0.243   0.243   0.243   0.243
 2014 130     3   303    11      0      0     18     0     0   120    0.00   0.0   0.0   0.00   0.379   0.308   0.239   0.241   0.242   0.242
 2014 131     4   308    16      0      0     28     0     0   120    0.00   0.0   0.0   0.00   0.367   0.371   0.245   0.238   0.240   0.240
 2014 132     5   305    14      0      0     32     0     0   120    0.00   0.0   0.0   0.00   0.365   0.365   0.247   0.236   0.238   0.239
 2014 133     6   303    12      0      0     36     0     0   120    0.00   0.0   0.0   0.00   0.365   0.363   0.246   0.233   0.236   0.237
 2014 134     7   308    17      0      0     46     0     0   120    0.00   0.0   0.0   0.00   0.368   0.388   0.273   0.230   0.234   0.236
 2014 135     8   303    12      0      0     47     0     0   120    0.00   0.0   0.0   0.00   0.342   0.366   0.275   0.228   0.232   0.234
 2014 136     9   304    12      0      0     54     0     0   120    0.00   0.0   0.0   0.00   0.367   0.369   0.280   0.225   0.230   0.233
 2014 137    10   320    28      0      0     75     0     0   120    0.00   0.0   0.0   0.00   0.372   0.389   0.373   0.227   0.229   0.232
 2014 138    11   326    34      0      0     87     0     0   120    0.00   0.0   0.0   0.00   0.373   0.389   0.389   0.242   0.227   0.230
 2014 139    12   324    32      0      0     91     0     0   120    0.00   0.0   0.0   0.00   0.371   0.375   0.378   0.249   0.226   0.229
 2014 140    13   319    28      0      0     91     0     0   120    0.00   0.0   0.0   0.00   0.343   0.365   0.369   0.249   0.224   0.228
 2014 141    14   337    45      0      0    115     0     0   120    0.00   0.0   0.0   0.00   0.374   0.389   0.395   0.285   0.223   0.227
 2014 142    15   340    48      0      0    121     0     0   120    0.00   0.0   0.0   0.00   0.385   0.391   0.387   0.297   0.222   0.226
 2014 143    16   346    54      0      0    133     0     0   120    0.00   0.0   0.0   0.00   0.374   0.390   0.395   0.319   0.220   0.225
 2014 144    17   352    60      0      0    142     0     0   120    0.00   0.0   0.0   0.00   0.383   0.393   0.395   0.336   0.219   0.224
 2014 145    18   349    58      0      0    142     0     0   120    0.00   0.0   0.0   0.00   0.363   0.376   0.379   0.346   0.219   0.224
 2014 146    19   361    69      0      0    159     0     0   120    0.00   0.0   0.0   0.00   0.375   0.390   0.395   0.372   0.218   0.223
 2014 147    20   368    77      0      0    173     0     0   120    0.00   0.0   0.0   0.00   0.374   0.389   0.395   0.382   0.236   0.221
 2014 148    21   364    72      0      0    175     0     0   120    0.00   0.0   0.0   0.00   0.352   0.370   0.378   0.376   0.245   0.220
 2014 149    22   365    74      0      0    182     0     0   120    0.00   0.0   0.0   0.00   0.375   0.379   0.375   0.373   0.249   0.219
 2014 150    23   369    78      0      0    193     0     0   120    0.00   0.0   0.0   0.00   0.372   0.389   0.384   0.374   0.255   0.218
 2014 151    24   363    72      0      0    193     0     0   120    0.00   0.0   0.0   0.00   0.339   0.367   0.370   0.370   0.260   0.217
 2014 152    25   367    75      0      0    198     0     0   120    0.00   0.0   0.0   0.00   0.375   0.376   0.375   0.370   0.260   0.217
 2014 153    26   361    69      0      0    198     0     0   120    0.00   0.0   0.0   0.00   0.345   0.364   0.368   0.366   0.258   0.216
 2014 154    27   359    68      0      0    198     0     0   120    0.00   0.0   0.0   0.00   0.319   0.363   0.368   0.366   0.258   0.216
 2014 155    28   358    66      0      0    198     0     0   120    0.00   0.0   0.0   0.00   0.295   0.361   0.368   0.366   0.258   0.216
 2014 156    29   365    73      0      0    206     0     0   120    0.00   0.0   0.0   0.00   0.379   0.377   0.373   0.366   0.258   0.216
 2014 157    30   362    70      0      0    209     0     0   120    0.00   0.0   0.0   0.00   0.372   0.371   0.370   0.364   0.257   0.215
 2014 158    31   360    69      0      0    209     0     0   120    0.00   0.0   0.0   0.00   0.343   0.369   0.370   0.364   0.257   0.215
 2014 159    32   361    69      0      0    213     0     0   120    0.00   0.0   0.0   0.00   0.380   0.370   0.370   0.362   0.256   0.214
 2014 160    33   373    81      0      0    230     0     0   120    0.00   0.0   0.0   0.00   0.377   0.391   0.396   0.375   0.263   0.213
 2014 161    34   371    80      0      0    234     0     0   120    0.00   0.0   0.0   0.00   0.379   0.379   0.383   0.375   0.270   0.212
 2014 162    35   379    87      0      0    247     0     0   120    0.00   0.0   0.0   0.00   0.378   0.391   0.395   0.379   0.282   0.211
 2014 163    36   380    88      0      0    253     0     0   120    0.00   0.0   0.0   0.00   0.378   0.388   0.386   0.378   0.293   0.211
 2014 164    37   391    99      0      0    270     0     0   120    0.00   0.0   0.0   0.00   0.375   0.390   0.395   0.387   0.317   0.210
 2014 165    38   388    97      0      0    273     0     0   120    0.00   0.0   0.0   0.00   0.373   0.375   0.381   0.379   0.330   0.209
 2014 166    39   385    93      0      0    275     0     0   120    0.00   0.0   0.0   0.00   0.362   0.367   0.372   0.373   0.333   0.208
 2014 167    40   379    87      0      0    275     0     0   120    0.00   0.0   0.0   0.00   0.333   0.356   0.365   0.369   0.331   0.207
 2014 168    41   379    87      0      0    276     0     0   120    0.00   0.0   0.0   0.00   0.334   0.354   0.365   0.369   0.331   0.207
 2014 169    42   383    91      0      0    282     0     0   120    0.00   0.0   0.0   0.00   0.377   0.373   0.366   0.369   0.331   0.207
 2014 170    43   379    88      0      0    282     0     0   120    0.00   0.0   0.0   0.00   0.355   0.366   0.363   0.366   0.329   0.206
 2014 171    44   380    88      0      0    288     0     0   120    0.00   0.0   0.0   0.00   0.379   0.373   0.368   0.363   0.327   0.205
 2014 172    45   386    94      0      0    300     0     0   120    0.00   0.0   0.0   0.00   0.377   0.391   0.384   0.372   0.325   0.204
 2014 173    46   387    96      0      0    306     0     0   120    0.00   0.0   0.0   0.00   0.380   0.389   0.383   0.374   0.329   0.203
 2014 174    47   393   101      0      0    316     0     0   120    0.00   0.0   0.0   0.00   0.384   0.393   0.391   0.377   0.339   0.203
 2014 175    48   392   100      0      0    318     0     0   120    0.00   0.0   0.0   0.00   0.382   0.380   0.382   0.376   0.346   0.202
 2014 176    49   395   103      0      0    326     0     0   120    0.00   0.0   0.0   0.00   0.383   0.393   0.383   0.376   0.352   0.202
 2014 177    50   395   103      0      0    331     0     0   120    0.00   0.0   0.0   0.00   0.382   0.386   0.381   0.375   0.358   0.201
 2014 178    51   397   105      0      0    337     0     0   120    0.00   0.0   0.0   0.00   0.382   0.389   0.381   0.375   0.363   0.200
 2014 179    52   395   104      0      0    341     0     0   120    0.00   0.0   0.0   0.00   0.379   0.379   0.377   0.373   0.367   0.199
 2014 180    53   398   106      0      0    348     0     0   120    0.00   0.0   0.0   0.00   0.377   0.390   0.380   0.374   0.370   0.199
 2014 181    54   394   103      0      0    350     0     0   120    0.00   0.0   0.0   0.00   0.366   0.374   0.374   0.372   0.372   0.198
 2014 182    55   403   111      0      0    364     0     0   120    0.00   0.0   0.0   0.00   0.381   0.392   0.391   0.377   0.374   0.202
 2014 183    56   402   110      0      0    368     0     0   120    0.00   0.0   0.0   0.00   0.378   0.383   0.383   0.376   0.375   0.208
 2014 184    57   408   117      0      0    379     0     0   120    0.00   0.0   0.0   0.00   0.379   0.391   0.392   0.378   0.377   0.216
 2014 185    58   410   119      0      0    386     0     0   120    0.00   0.0   0.0   0.00   0.382   0.392   0.387   0.378   0.377   0.224
 2014 186    59   423   132      0      0    404     0     0   120    0.00   0.0   0.0   0.00   0.383   0.393   0.397   0.390   0.385   0.244
 2014 187    60   425   134      0      0    409     0     0   120    0.00   0.0   0.0   0.00   0.389   0.391   0.388   0.383   0.384   0.261
 2014 188    61   450   158      0      0    438     0     0   120    0.00   0.0   0.0   0.00   0.386   0.394   0.397   0.399   0.400   0.305
 2014 189    62   459   167      0      0    452     0     0   120    0.00   0.0   0.0   0.00   0.383   0.393   0.396   0.396   0.397   0.344
 2014 190    63   459   167      0      0    456     0     0   120    0.00   0.0   0.0   0.00   0.384   0.385   0.386   0.385   0.390   0.370
 2014 191    64   462   171      0      3    467     0     0   117    0.00   0.0   0.0   0.00   0.387   0.394   0.395   0.383   0.386   0.379
 2014 192    65   463   172      0      8    477     0     0   116    0.00   0.0   0.0   0.00   0.385   0.393   0.397   0.384   0.384   0.382
 2014 193    66   457   165      0     12    479     0     0   117    0.00   0.0   0.0   0.00   0.378   0.379   0.383   0.379   0.381   0.381
 2014 194    67   458   167      0     16    489     0     0   117    0.00   0.0   0.0   0.00   0.385   0.393   0.389   0.379   0.380   0.380
 2014 195    68   447   155      0     23    489     0     0   119    0.00   0.0   0.0   0.00   0.355   0.372   0.374   0.372   0.374   0.374
 2014 196    69   457   165      0     24    503     0     0   119    0.00   0.0   0.0   0.00   0.392   0.396   0.393   0.378   0.376   0.375
 2014 197    70   455   163      0     26    508     0     0   119    0.00   0.0   0.0   0.00   0.383   0.388   0.385   0.377   0.377   0.376
 2014 198    71   460   168      0     29    520     0     0   118    0.00   0.0   0.0   0.00   0.388   0.394   0.397   0.381   0.379   0.378
 2014 199    72   461   170      0     32    529     0     0   117    0.00   0.0   0.0   0.00   0.389   0.395   0.397   0.382   0.381   0.380
 2014 200    73   467   176      0     37    543     0     0   115    0.00   0.0   0.0   0.00   0.391   0.395   0.398   0.390   0.387   0.384
 2014 201    74   468   177      0     44    555     0     0   114    0.00   0.0   0.0   0.00   0.388   0.394   0.397   0.390   0.389   0.387
