*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D   TRWUD
 2008 110     1  21.20  35.60  24.80  6.268  0.000  6.268  1.218  0.000  1.218  0.000  0.000    6.27    1.22    0.00    1.22    0.00    0.00   1.016   0.132   0.040   0.018   0.008   0.004   0.000
 2008 111     2  23.70  36.50  25.40  7.336  0.000  7.336  1.121  0.000  1.121  0.000  0.000   13.60    2.34    0.00    2.34    0.00    0.00   0.919   0.131   0.040   0.018   0.008   0.004   0.000
 2008 112     3  23.80  33.10  24.40  6.585  0.000  6.585  1.384  0.000  1.384  0.000  0.000   20.19    3.72    0.00    3.72    0.00    0.00   1.152   0.158   0.044   0.018   0.008   0.004   0.000
 2008 113     4  23.70  33.50  25.40  6.851  0.000  6.851  6.638  0.000  6.638  0.000  0.000   27.04   10.36    0.00   10.36    0.00    0.00   1.845   1.425   1.132   0.966   0.717   0.554   0.000
 2008 114     5  15.00  31.50  24.50  4.156  0.000  4.156  4.156  0.000  4.156  0.000  0.000   31.20   14.52    0.00   14.52    0.00    0.00   1.068   0.891   0.730   0.641   0.466   0.361   0.000
 2008 115     6  21.50  34.70  25.20  6.160  0.000  6.160  1.275  0.000  1.275  0.000  0.000   37.35   15.79    0.00   15.79    0.00    0.00   1.044   0.155   0.046   0.019   0.008   0.004   0.000
 2008 116     7  13.90  31.50  24.90  3.822  0.010  3.812  1.185  0.010  1.175  0.000  0.000   41.18   16.98    0.01   16.97    0.00    0.00   0.944   0.154   0.046   0.019   0.008   0.004   0.001
 2008 117     8  24.80  32.20  24.10  6.790  0.031  6.759  6.407  0.031  6.376  0.000  0.000   47.97   23.38    0.04   23.34    0.00    0.00   1.672   1.373   1.120   0.968   0.700   0.543   0.003
 2008 118     9  13.50  32.80  25.10  3.851  0.026  3.825  3.851  0.026  3.825  0.000  0.000   51.82   27.23    0.07   27.17    0.00    0.00   1.119   0.818   0.650   0.552   0.386   0.300   0.003
 2008 119    10  14.10  34.20  24.90  4.086  0.038  4.047  4.086  0.038  4.047  0.000  0.000   55.90   31.32    0.11   31.22    0.00    0.00   1.121   0.852   0.703   0.632   0.416   0.324   0.004
