*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2008 109     0   0.000    0.00       0    0.00
 2008 110     1   0.000    0.00       0    0.00
 2008 111     2   0.000    0.00       0    0.00
 2008 112     3   0.000    0.00       0    0.00
 2008 113     4   0.000    0.00       0    0.00
 2008 114     5   0.000    0.00       0    0.00
 2008 115     6   0.000    0.00       0    0.00
 2008 116     7   0.000    0.00       0    0.00
 2008 117     8   0.000    0.00       0    0.00
 2008 118     9   0.000    0.00       0    0.00
 2008 119    10   0.000    0.00       0    0.00
 2008 120    11   0.000    0.00       0    0.00
 2008 121    12   0.000    0.00       0    0.00
 2008 122    13   0.000    0.00       0    0.00
 2008 123    14   0.000    0.00       0    0.00
 2008 124    15   0.000    0.00       0    0.00
 2008 125    16   0.000    0.00       0    0.00
 2008 126    17   0.000    0.00       0    0.00
 2008 127    18   0.000    0.00       0    0.00
 2008 128    19   0.000    0.00       0    0.00
 2008 129    20   0.000    0.00       0    0.00
 2008 130    21   0.000    0.00       0    0.00
 2008 131    22   0.000    0.00       0    0.00
 2008 132    23   0.000    0.00       0    0.00
 2008 133    24   0.000    0.00       0    0.00
 2008 134    25   0.000    0.00       0    0.00
 2008 135    26   0.000    0.00       0    0.00
 2008 136    27   0.000    0.00       0    0.00
 2008 137    28   0.000    0.00       0    0.00
 2008 138    29   0.000    0.00       0    0.00
 2008 139    30   0.000    0.00       0    0.00
 2008 140    31   0.000    0.00       0    0.00
 2008 141    32   0.000    0.00       0    0.00
 2008 142    33   0.000    0.00       0    0.00
 2008 143    34   0.000    0.00       0    0.00
 2008 144    35   0.000    0.00       0    0.00
 2008 145    36   0.000    0.00       0    0.00
 2008 146    37   0.000    0.00       0    0.00
 2008 147    38   0.000    0.00       0    0.00
 2008 148    39   0.000    0.00       0    0.00
 2008 149    40   0.000    0.00       0    0.00
 2008 150    41   0.000    0.00       0    0.00
 2008 151    42   0.000    0.00       0    0.00
 2008 152    43   0.000    0.00       0    0.00
 2008 153    44   0.000    0.00       0    0.00
 2008 154    45   0.000    0.00       0    0.00
 2008 155    46   0.000    0.00       0    0.00
 2008 156    47   0.000    0.00       0    0.00
 2008 157    48   0.000    0.00       0    0.00
 2008 158    49   0.000    0.00       0    0.00
 2008 159    50   0.000    0.00       0    0.00
 2008 160    51   0.000    0.00       0    0.00
 2008 161    52   0.000    0.00       0    0.00
 2008 162    53   0.000    0.00       0    0.00
 2008 163    54   0.000    0.00       0    0.00
 2008 164    55   0.000    0.00       0    0.00
 2008 165    56   0.000    0.00       0    0.00
 2008 166    57   0.000    0.00       0    0.00
 2008 167    58   0.000    0.00       0    0.00
 2008 168    59   0.000    0.00       0    0.00
 2008 169    60   0.000    0.00       0    0.00
 2008 170    61   0.000    0.00       0    0.00
 2008 171    62   0.000    0.00       0    0.00
 2008 172    63   0.000    0.00       0    0.00
 2008 173    64   0.000    0.00       0    0.00
 2008 174    65   0.000    0.00       0    0.00
 2008 175    66   0.000    0.00       0    0.00
 2008 176    67   0.000    0.00       0    0.00
 2008 177    68   0.000    0.00       0    0.00
 2008 178    69   0.000    0.00       0    0.00
 2008 179    70   0.000    0.00       0    0.00
 2008 180    71   0.000    0.00       0    0.00
 2008 181    72   0.000    0.00       0    0.00
 2008 182    73   0.000    0.00       0    0.00
 2008 183    74   0.000    0.00       0    0.00
 2008 184    75   0.000    0.00       0    0.00
 2008 185    76   0.000    0.00       0    0.00
 2008 186    77   0.000    0.00       0    0.00
 2008 187    78   0.000    0.00       0    0.00
 2008 188    79   0.000    0.00       0    0.00
 2008 189    80   0.000    0.00       0    0.00
 2008 190    81   0.000    0.00       0    0.00
 2008 191    82   0.000    0.00       0    0.00
 2008 192    83   0.000    0.00       0    0.00
 2008 193    84   0.000    0.00       0    0.00
 2008 194    85   0.000    0.00       0    0.00
 2008 195    86   0.000    0.00       0    0.00
 2008 196    87   0.000    0.00       0    0.00
 2008 197    88   0.000    0.00       0    0.00
 2008 198    89   0.000    0.00       0    0.00
 2008 199    90   0.000    0.00       0    0.00
 2008 200    91   0.000    0.00       0    0.00
 2008 201    92   0.000    0.00       0    0.00
 2008 202    93   0.000    0.00       0    0.00
 2008 203    94   0.000    0.00       0    0.00
 2008 204    95   0.000    0.00       0    0.00
 2008 205    96   0.000    0.00       0    0.00
 2008 206    97   0.000    0.00       0    0.00
 2008 207    98   0.000    0.00       0    0.00
 2008 208    99   0.000    0.00       0    0.00
 2008 209   100   0.000    0.00       0    0.00
 2008 210   101   0.000    0.00       0    0.00
 2008 211   102   0.000    0.00       0    0.00
 2008 212   103   0.000    0.00       0    0.00
 2008 213   104   0.000    0.00       0    0.00
 2008 214   105   0.000    0.00       0    0.00
 2008 215   106   0.000    0.00       0    0.00
 2008 216   107   0.000    0.00       0    0.00
 2008 217   108   0.000    0.00       0    0.00
 2008 218   109   0.000    0.00       0    0.00
 2008 219   110   0.000    0.00       0    0.00
 2008 220   111   0.000    0.00       0    0.00
 2008 221   112   0.000    0.00       0    0.00
 2008 222   113   0.000    0.00       0    0.00
 2008 223   114   0.000    0.00       0    0.00
 2008 224   115   0.000    0.00       0    0.00
 2008 225   116   0.000    0.00       0    0.00
 2008 226   117   0.000    0.00       0    0.00
 2008 227   118   0.000    0.00       0    0.00
 2008 228   119   0.000    0.00       0    0.00
 2008 229   120   0.000    0.00       0    0.00
 2008 230   121   0.000    0.00       0    0.00
 2008 231   122   0.000    0.00       0    0.00
 2008 232   123   0.000    0.00       0    0.00
 2008 233   124   0.000    0.00       0    0.00
 2008 234   125   0.000    0.00       0    0.00
 2008 235   126   0.000    0.00       0    0.00
 2008 236   127   0.000    0.00       0    0.00
 2008 237   128   0.000    0.00       0    0.00
 2008 238   129   0.000    0.00       0    0.00
 2008 239   130   0.000    0.00       0    0.00
 2008 240   131   0.000    0.00       0    0.00
 2008 241   132   0.000    0.00       0    0.00
 2008 242   133   0.000    0.00       0    0.00
 2008 243   134   0.000    0.00       0    0.00
 2008 244   135   0.000    0.00       0    0.00
 2008 245   136   0.000    0.00       0    0.00
 2008 246   137   0.000    0.00       0    0.00
 2008 247   138   0.000    0.00       0    0.00
 2008 248   139   0.000    0.00       0    0.00
 2008 249   140   0.000    0.00       0    0.00
 2008 250   141   0.000    0.00       0    0.00
 2008 251   142   0.000    0.00       0    0.00
 2008 252   143   0.000    0.00       0    0.00
 2008 253   144   0.000    0.00       0    0.00
 2008 254   145   0.000    0.00       0    0.00
 2008 255   146   0.000    0.00       0    0.00
 2008 256   147   0.000    0.00       0    0.00
