*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2008 111     2     0    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2008 112     3     1    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2008 113     4     2    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2008 114     5     3    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2008 115     6     4    1.5    0.0    1.5   0.00   4.40    0.0    0.8    0.8    4.4   4.40   2.20    0.00    0.00
 2008 116     7     5    1.5    0.0    1.5   0.00   4.40    0.0    0.8    0.8    4.4   4.40   2.18    0.00    0.00
 2008 117     8     6    1.5    0.0    1.5   0.00   4.40    0.0    0.8    0.8    4.4   4.40   2.11    0.00    0.00
 2008 118     9     7    1.5    0.0    1.5   0.00   4.40    0.0    0.8    0.8    4.4   4.40   2.06    0.00    0.00
 2008 119    10     8    1.5    0.0    1.5   0.00   4.40    0.0    0.8    0.8    4.4   4.40   1.98    0.00    0.00
 2008 120    11     9    1.5    0.0    1.5   0.00   4.40    0.0    0.8    0.8    4.4   4.40   1.88    0.00    0.00
 2008 121    12    10    1.5    0.0    1.5   0.00   4.40    0.0    0.8    0.8    4.4   4.40   1.71    0.00    0.00
 2008 122    13    11    1.5    0.0    1.5   0.00   4.40    0.0    0.8    0.8    4.4   4.40   1.48    0.00    0.00
 2008 123    14    12    1.5    0.0    1.5   0.00   4.21    0.0    0.8    0.7    4.2   4.21   1.36    0.00    0.00
 2008 124    15    13    1.5    0.0    1.5   0.00   3.49    0.0    0.9    0.6    3.5   3.49   1.33    0.00    0.00
 2008 125    16    14    1.8    0.0    1.8   0.00   3.54    0.3    1.2    0.6    3.5   3.54   1.19    0.00    0.00
 2008 126    17    15    2.1    0.0    2.1   0.00   3.40    0.5    1.5    0.6    3.4   3.40   1.10    0.00    0.00
 2008 127    18    16    2.5    0.0    2.5   0.00   3.34    0.9    1.9    0.6    3.3   3.34   1.12    0.00    0.01
 2008 128    19    17    2.9    0.0    2.9   0.00   3.40    1.5    2.3    0.6    3.4   3.40   1.21    0.00    0.01
 2008 129    20    18    3.4    0.0    3.4   0.00   3.62    2.1    2.7    0.6    3.6   3.62   1.35    0.00    0.01
