*SOM N DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                                                                                                                                                                                                                                                                                                                Cumul.
!               <---- SOM N in top layers ----> <---------------- Total Soil Organic Nitrogen ----------------> <-------- Active Soil Organic Nitrogen (SOM1) --------> <---- Intermediate Soil Organic N (SOM2) -----> <------- Passive Soil Organic N (SOM3) -------> <----------------- Litter Nitrogen -------------------> <------------- Metabolic Litter Nitrogen -------------> <------------ Structural Litter Nitrogen ------------->  Res. N
!               20cm-kg  20cm-% 40cm-kg  40cm-%   Total Surface    Soil     0-5    5-15   15-30   30-53  53-100 Surface    Soil     0-5    5-15   15-30   30-53  53-100    Soil     0-5    5-15   15-30   30-53  53-100    Soil     0-5    5-15   15-30   30-53  53-100 Surface    Soil     0-5    5-15   15-30   30-53  53-100 Surface    Soil     0-5    5-15   15-30   30-53  53-100 Surface    Soil     0-5    5-15   15-30   30-53  53-100 (kg/ha)
@YEAR DOY   DAS  SNS20D  SN%20D  SNS40D  SN%40D    SOND    SN0D    SNTD    SN1D    SN2D    SN3D    SN4D   SN5+D   S1N0D   S1NTD   S1N1D   S1N2D   S1N3D   S1N4D  S1N5+D   S2NTD   S2N1D   S2N2D   S2N3D   S2N4D  S2N5+D   S3NTD   S3N1D   S3N2D   S3N3D   S3N4D  S3N5+D    LN0D    LNTD    LN1D    LN2D    LN3D    LN4D   LN5+D   MEN0D   MENTD   MEN1D   MEN2D   MEN3D   MEN4D  MEN5+D   STN0D   STNTD   STN1D   STN2D   STN3D   STN4D  STN5+D   RESNC
 2008 109     0    4657   0.159    5253   0.180   27460       0   27460    1164    2329    3495    6724   13747       0     274      43      87     130       5      10    3065     484     968    1452      53     109   24116     637    1274    1912    6665   13628    0.00    4.50    0.67    1.06    1.10    0.95    0.72    0.00    4.11    0.61    0.97    1.00    0.87    0.66    0.00    0.39    0.06    0.09    0.10    0.08    0.06       0
 2008 110     1    4656   0.159    5252   0.180   27459       0   27459    1164    2329    3495    6724   13747       0     274      43      86     130       5      10    3065     483     967    1452      53     109   24116     637    1274    1912    6665   13627    0.00    4.35    0.63    1.03    1.06    0.92    0.70    0.00    3.96    0.57    0.94    0.97    0.84    0.64    0.00    0.39    0.06    0.09    0.10    0.08    0.06       0
 2008 111     2    4655   0.159    5252   0.180   27457       0   27457    1164    2329    3494    6724   13747       0     274      43      86     130       5      10    3064     483     967    1452      53     109   24116     637    1274    1912    6665   13627    0.00    4.21    0.60    1.00    1.03    0.89    0.68    0.00    3.82    0.54    0.91    0.93    0.81    0.62    0.00    0.39    0.06    0.09    0.10    0.08    0.06       0
 2008 112     3    4655   0.159    5252   0.180   27456       0   27456    1164    2328    3494    6724   13747       0     273      43      86     129       5      10    3063     483     967    1451      53     109   24116     637    1274    1912    6665   13627    0.00    4.08    0.58    0.97    1.00    0.87    0.66    0.00    3.69    0.52    0.88    0.90    0.79    0.60    0.00    0.39    0.06    0.09    0.10    0.08    0.06       0
 2008 113     4    4653   0.159    5251   0.180   27454       0   27454    1163    2328    3493    6724   13746       0     272      43      86     129       5      10    3062     483     967    1451      53     109   24116     637    1274    1912    6665   13627    0.00    3.86    0.54    0.91    0.93    0.84    0.64    0.00    3.48    0.48    0.82    0.83    0.76    0.58    0.00    0.39    0.06    0.09    0.09    0.08    0.06       0
 2008 114     5    4652   0.159    5251   0.180   27452       0   27452    1163    2327    3492    6724   13746       0     272      43      86     128       5      10    3061     483     966    1450      53     109   24115     637    1274    1912    6665   13627    0.00    3.65    0.51    0.84    0.87    0.81    0.63    0.00    3.27    0.45    0.75    0.77    0.73    0.56    0.00    0.39    0.06    0.09    0.09    0.08    0.06       0
 2008 115     6    4651   0.159    5250   0.180   27450       0   27450    1163    2326    3491    6724   13746       0     271      43      85     128       5      10    3060     483     966    1450      53     109   24115     637    1274    1913    6665   13627    0.00    3.48    0.48    0.79    0.82    0.78    0.61    0.00    3.09    0.42    0.70    0.72    0.70    0.55    0.00    0.39    0.06    0.09    0.09    0.08    0.06       0
 2008 116     7    4650   0.159    5250   0.180   27449       0   27449    1162    2326    3491    6724   13746       0     270      42      85     128       5      10    3060     483     966    1450      53     109   24115     637    1274    1913    6665   13627    0.00    3.32    0.46    0.74    0.77    0.76    0.60    0.00    2.93    0.40    0.65    0.68    0.68    0.53    0.00    0.38    0.06    0.09    0.09    0.08    0.06       0
 2008 117     8    4649   0.159    5249   0.180   27447       0   27447    1162    2325    3490    6724   13746       0     270      42      85     127       5      10    3059     482     965    1449      53     109   24115     637    1274    1913    6665   13627    0.00    3.18    0.44    0.69    0.73    0.73    0.58    0.00    2.79    0.38    0.60    0.63    0.65    0.52    0.00    0.38    0.06    0.09    0.09    0.08    0.06       0
 2008 118     9    4648   0.159    5249   0.180   27445       0   27445    1162    2325    3489    6724   13746       0     269      42      85     127       5      10    3058     482     965    1449      53     109   24115     637    1274    1913    6665   13627    0.00    3.03    0.41    0.65    0.68    0.71    0.57    0.00    2.64    0.36    0.56    0.59    0.63    0.51    0.00    0.38    0.06    0.09    0.09    0.08    0.06       0
