*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
! TAV  =    27.7
! TAMP =     5.2
!               Temperature (oC) by soil depth (cm):
!               Surface     0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS    TS0D    TS1D    TS2D    TS3D    TS4D    TS5D    TS6D    
 2008 110     1    33.5    33.4    33.0    32.4    31.7    30.9    30.2
 2008 111     2    33.9    33.8    33.4    32.8    31.9    31.1    30.4
 2008 112     3    33.8    33.7    33.3    32.7    31.8    31.0    30.3
 2008 113     4    33.7    33.6    33.3    32.9    32.3    31.6    31.0
 2008 114     5    33.2    33.1    32.8    32.3    31.7    31.0    30.5
 2008 115     6    33.0    32.9    32.6    32.1    31.5    30.8    30.2
 2008 116     7    32.1    32.0    31.7    31.3    30.7    30.1    29.6
 2008 117     8    31.8    31.7    31.4    31.0    30.5    29.9    29.4
 2008 118     9    31.5    31.4    31.2    30.8    30.3    29.8    29.4
 2008 119    10    31.9    31.8    31.6    31.2    30.7    30.2    29.8
 2008 120    11    31.8    31.7    31.5    31.1    30.6    30.1    29.7
 2008 121    12    32.3    32.2    32.0    31.5    31.0    30.4    29.9
 2008 122    13    32.0    31.9    31.7    31.2    30.7    30.1    29.6
 2008 123    14    32.0    32.0    31.8    31.5    31.0    30.5    30.1
 2008 124    15    31.9    31.8    31.6    31.3    30.9    30.4    30.0
 2008 125    16    31.7    31.7    31.5    31.1    30.7    30.2    29.8
 2008 126    17    31.4    31.4    31.2    30.9    30.5    30.1    29.7
 2008 127    18    32.0    32.0    31.8    31.5    31.1    30.6    30.2
 2008 128    19    32.1    32.1    31.9    31.6    31.1    30.7    30.2
 2008 129    20    32.4    32.4    32.2    31.8    31.4    30.8    30.4
 2008 130    21    32.5    32.4    32.2    31.9    31.4    30.9    30.4
 2008 131    22    32.7    32.7    32.4    32.1    31.6    31.0    30.6
 2008 132    23    32.5    32.4    32.2    31.9    31.4    30.9    30.5
 2008 133    24    32.4    32.3    32.1    31.8    31.3    30.8    30.3
 2008 134    25    32.1    32.0    31.8    31.5    31.0    30.5    30.1
 2008 135    26    31.6    31.6    31.4    31.1    30.6    30.2    29.8
