*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    
 2008 109     0   290    35      0      0      0     0     0     0    0.00   0.0   0.0   0.00   0.290   0.290   0.290   0.290   0.290   0.290
 2008 110     1   289    34      0      0      0     0     0    50    0.00   0.0   0.0   0.00   0.270   0.289   0.290   0.290   0.290   0.290
 2008 111     2   288    33      0      0      0     0     0   100    0.00   0.0   0.0   0.00   0.251   0.287   0.289   0.290   0.290   0.290
 2008 112     3   308    53      0      0     22     0     0   100    0.00   0.0   0.0   0.00   0.363   0.376   0.331   0.290   0.290   0.290
 2008 113     4   302    47      0      0     22     0     0   100    0.00   0.0   0.0   0.00   0.309   0.337   0.327   0.297   0.287   0.288
 2008 114     5   298    43      0      0     22     0     0   100    0.00   0.0   0.0   0.00   0.296   0.328   0.323   0.294   0.285   0.286
 2008 115     6   297    42      0      0     22     0     0   100    0.00   0.0   0.0   0.00   0.275   0.326   0.322   0.294   0.285   0.286
 2008 116     7   295    40      0      0     22     0     0   100    0.00   0.0   0.0   0.00   0.256   0.325   0.322   0.294   0.285   0.286
 2008 117     8   302    47      0      0     36     0     0   100    0.00   0.0   0.0   0.00   0.352   0.343   0.331   0.294   0.282   0.284
 2008 118     9   309    54      0      0     46     0     0   100    0.00   0.0   0.0   0.00   0.363   0.365   0.344   0.305   0.280   0.282
 2008 119    10   305    50      0      0     46     0     0   100    0.00   0.0   0.0   0.00   0.323   0.338   0.334   0.317   0.279   0.281
 2008 120    11   300    45      0      0     46     0     0   100    0.00   0.0   0.0   0.00   0.300   0.327   0.330   0.314   0.277   0.279
 2008 121    12   299    44      0      0     46     0     0   100    0.00   0.0   0.0   0.00   0.278   0.324   0.329   0.314   0.277   0.279
 2008 122    13   324    69      0      0     78     0     0   100    0.00   0.0   0.0   0.00   0.354   0.365   0.371   0.346   0.296   0.277
 2008 123    14   319    64      0      0     78     0     0   100    0.00   0.0   0.0   0.00   0.317   0.337   0.344   0.336   0.323   0.276
 2008 124    15   316    61      0      0     78     0     0   100    0.00   0.0   0.0   0.00   0.302   0.330   0.335   0.334   0.325   0.275
 2008 125    16   325    70      0      0     93     0     0   100    0.00   0.0   0.0   0.00   0.354   0.364   0.345   0.337   0.331   0.273
 2008 126    17   333    78      0      0    104     0     0   100    0.00   0.0   0.0   0.00   0.365   0.371   0.355   0.343   0.338   0.279
 2008 127    18   328    73      0      0    104     0     0   100    0.00   0.0   0.0   0.00   0.322   0.339   0.338   0.335   0.335   0.303
 2008 128    19   322    67      0      0    104     0     0   100    0.00   0.0   0.0   0.00   0.295   0.324   0.331   0.331   0.333   0.302
 2008 129    20   321    66      0      0    104     0     0   100    0.00   0.0   0.0   0.00   0.274   0.320   0.329   0.331   0.333   0.302
 2008 130    21   319    64      0      0    104     0     0   100    0.00   0.0   0.0   0.00   0.255   0.317   0.328   0.330   0.333   0.302
 2008 131    22   324    69      0      0    111     0     0   100    0.00   0.0   0.0   0.00   0.343   0.332   0.326   0.330   0.333   0.302
 2008 132    23   320    65      0      0    111     0     0   100    0.00   0.0   0.0   0.00   0.311   0.324   0.320   0.326   0.330   0.301
 2008 133    24   318    63      0      0    112     0     0   100    0.00   0.0   0.0   0.00   0.308   0.320   0.319   0.325   0.330   0.301
 2008 134    25   316    61      0      0    112     0     0   100    0.00   0.0   0.0   0.00   0.284   0.316   0.317   0.325   0.330   0.301
 2008 135    26   314    59      0      0    112     0     0   100    0.00   0.0   0.0   0.00   0.264   0.313   0.315   0.323   0.329   0.301
 2008 136    27   312    57      0      0    112     0     0   100    0.00   0.0   0.0   0.00   0.246   0.309   0.313   0.322   0.329   0.301
 2008 137    28   311    56      0      0    112     0     0   100    0.00   0.0   0.0   0.00   0.230   0.307   0.312   0.321   0.328   0.301
 2008 138    29   348    93      0      0    154     0     0   100    0.00   0.0   0.0   0.00   0.370   0.371   0.374   0.354   0.343   0.316
 2008 139    30   336    81      0      6    154     0     0   100    0.00   0.0   0.0   0.00   0.321   0.337   0.343   0.338   0.335   0.333
 2008 140    31   332    77      0      6    154     0     0   100    0.00   0.0   0.0   0.00   0.306   0.328   0.332   0.335   0.333   0.334
 2008 141    32   328    73      0      6    154     0     0   100    0.00   0.0   0.0   0.00   0.283   0.323   0.328   0.332   0.332   0.333
 2008 142    33   325    70      0      6    154     0     0   100    0.00   0.0   0.0   0.00   0.263   0.317   0.324   0.329   0.330   0.332
 2008 143    34   322    67      0      6    154     0     0   100    0.00   0.0   0.0   0.00   0.245   0.313   0.320   0.326   0.328   0.331
 2008 144    35   329    74      0      6    165     0     0   100    0.00   0.0   0.0   0.00   0.363   0.338   0.324   0.323   0.326   0.330
 2008 145    36   328    73      0      6    168     0     0   100    0.00   0.0   0.0   0.00   0.354   0.336   0.330   0.321   0.324   0.328
 2008 146    37   324    69      0      6    168     0     0   100    0.00   0.0   0.0   0.00   0.326   0.328   0.329   0.319   0.323   0.327
 2008 147    38   320    65      0      6    168     0     0   100    0.00   0.0   0.0   0.00   0.296   0.320   0.324   0.317   0.321   0.326
 2008 148    39   341    86      0      6    194     0     0   100    0.00   0.0   0.0   0.00   0.370   0.367   0.364   0.338   0.328   0.323
 2008 149    40   348    93      0      6    204     0     0   100    0.00   0.0   0.0   0.00   0.374   0.372   0.364   0.347   0.340   0.331
 2008 150    41   336    81      0     14    204     0     0   100    0.00   0.0   0.0   0.00   0.334   0.340   0.339   0.335   0.334   0.334
 2008 151    42   332    77      0     14    204     0     0   100    0.00   0.0   0.0   0.00   0.326   0.331   0.332   0.333   0.333   0.334
 2008 152    43   328    73      0     14    204     0     0   100    0.00   0.0   0.0   0.00   0.299   0.325   0.328   0.330   0.331   0.332
 2008 153    44   324    69      0     14    204     0     0   100    0.00   0.0   0.0   0.00   0.277   0.318   0.323   0.326   0.329   0.330
 2008 154    45   374   119      0     41    287     0     0    92    0.00   0.0   0.0   0.00   0.377   0.370   0.371   0.373   0.374   0.375
 2008 155    46   348    93      0     64    287     0     0    97    0.00   0.0   0.0   0.00   0.345   0.344   0.346   0.348   0.349   0.350
 2008 156    47   338    83      0     72    287     0     0    99    0.00   0.0   0.0   0.00   0.333   0.335   0.336   0.338   0.339   0.340
 2008 157    48   335    80      0     73    291     0     0   100    0.00   0.0   0.0   0.00   0.360   0.335   0.331   0.332   0.334   0.336
 2008 158    49   332    77      0     73    291     0     0   100    0.00   0.0   0.0   0.00   0.335   0.330   0.331   0.330   0.332   0.334
 2008 159    50   329    74      0     73    292     0     0   100    0.00   0.0   0.0   0.00   0.328   0.325   0.327   0.328   0.330   0.332
 2008 160    51   323    68      0     73    292     0     0   100    0.00   0.0   0.0   0.00   0.300   0.318   0.321   0.323   0.326   0.329
 2008 161    52   319    64      0     73    292     0     0   100    0.00   0.0   0.0   0.00   0.283   0.312   0.316   0.319   0.323   0.326
 2008 162    53   314    59      0     73    292     0     0   100    0.00   0.0   0.0   0.00   0.268   0.307   0.311   0.316   0.319   0.323
 2008 163    54   309    54      0     73    292     0     0   100    0.00   0.0   0.0   0.00   0.252   0.301   0.306   0.311   0.315   0.319
 2008 164    55   313    58      0     73    300     0     0   100    0.00   0.0   0.0   0.00   0.357   0.319   0.301   0.307   0.312   0.316
 2008 165    56   374   119      0     85    377     0     0    93    0.00   0.0   0.0   0.49   0.365   0.374   0.377   0.377   0.377   0.369
 2008 166    57   377   122      0    105    401     0     0    91    0.00   0.0   0.0   0.00   0.380   0.375   0.376   0.377   0.377   0.378
 2008 167    58   361   106      0    118    403     0     0    93    0.00   0.0   0.0   0.00   0.361   0.352   0.355   0.357   0.364   0.369
 2008 168    59   341    86      0    133    403     0     0    98    0.00   0.0   0.0   0.00   0.337   0.336   0.338   0.340   0.344   0.346
 2008 169    60   337    82      0    136    404     0     0    99    0.00   0.0   0.0   0.00   0.341   0.334   0.334   0.336   0.338   0.341
 2008 170    61   334    79      0    137    404     0     0   100    0.00   0.0   0.0   0.00   0.331   0.331   0.332   0.333   0.336   0.336
 2008 171    62   332    77      0    137    404     0     0   100    0.00   0.0   0.0   0.00   0.327   0.328   0.329   0.331   0.334   0.334
 2008 172    63   327    72      0    137    404     0     0   100    0.00   0.0   0.0   0.00   0.309   0.321   0.324   0.327   0.330   0.331
 2008 173    64   322    67      0    137    404     0     0   100    0.00   0.0   0.0   0.00   0.294   0.316   0.318   0.323   0.326   0.328
 2008 174    65   317    62      0    137    404     0     0   100    0.00   0.0   0.0   0.00   0.282   0.310   0.314   0.319   0.322   0.324
 2008 175    66   313    58      0    137    405     0     0   100    0.00   0.0   0.0   0.00   0.281   0.305   0.309   0.314   0.318   0.321
 2008 176    67   316    61      0    137    410     0     0   100    0.00   0.0   0.0   0.00   0.350   0.315   0.307   0.312   0.316   0.319
 2008 177    68   313    58      0    137    411     0     0   100    0.00   0.0   0.0   0.00   0.329   0.321   0.304   0.310   0.314   0.316
 2008 178    69   310    55      0    137    411     0     0   100    0.00   0.0   0.0   0.00   0.320   0.314   0.301   0.307   0.311   0.314
 2008 179    70   307    52      0    137    412     0     0   100    0.00   0.0   0.0   0.00   0.307   0.307   0.299   0.305   0.309   0.312
 2008 180    71   306    51      0    137    414     0     0   100    0.00   0.0   0.0   0.00   0.335   0.310   0.296   0.302   0.306   0.309
 2008 181    72   302    47      0    137    414     0     0   100    0.00   0.0   0.0   0.00   0.305   0.302   0.293   0.299   0.303   0.307
 2008 182    73   299    44      0    137    414     0     0   100    0.00   0.0   0.0   0.00   0.295   0.298   0.291   0.298   0.302   0.305
 2008 183    74   299    44      0    137    417     0     0   100    0.00   0.0   0.0   0.00   0.330   0.297   0.289   0.295   0.299   0.303
 2008 184    75   295    40      0    137    417     0     0   100    0.00   0.0   0.0   0.00   0.298   0.293   0.287   0.293   0.297   0.301
 2008 185    76   306    51      0    137    431     0     0   100    0.00   0.0   0.0   0.00   0.378   0.351   0.304   0.291   0.295   0.299
