*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                    NO3 (ppm) by soil depth (cm):                   NH4 (ppm) by soil depth (cm):
!                                                     0-5    5-15   15-30   30-53   53-77  77-100     0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS  NAPC  NI#M    NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDFC
 2009 103     0     0     0    37.6   28.7    8.9    1.93    1.93    1.93    1.93    1.93    1.93    0.60    0.60    0.60    0.60    0.60    0.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 2009 104     1     0     0    38.4   30.5    7.8    2.07    2.07    2.06    2.06    2.05    2.05    0.79    0.59    0.59    0.48    0.49    0.49    0.96    1.88    0.00    0.17    0.00    0.79    0.00    0.00    0.00
 2009 105     2     0     0    39.1   32.2    6.9    1.54    2.52    2.23    2.16    2.15    2.14    0.88    0.57    0.57    0.38    0.39    0.40    1.86    3.58    0.00    0.34    0.00    1.52    0.00    0.00    0.00
 2009 106     3     0     0    40.6   33.5    7.0    1.62    2.55    2.40    2.24    2.23    2.22    1.24    0.98    0.59    0.31    0.32    0.33    3.65    4.88    0.00    0.66    0.00    2.99    0.00    0.00    0.00
 2009 107     4     0     0    41.9   35.1    6.8    2.52    2.72    2.49    2.28    2.28    2.27    1.38    1.16    0.60    0.25    0.26    0.27    5.30    6.46    0.00    0.96    0.00    4.34    0.00    0.00    0.00
 2009 108     5     0     0    43.2   36.7    6.5    1.52    2.76    3.10    2.43    2.33    2.33    1.40    1.29    0.60    0.20    0.21    0.22    6.87    8.03    0.00    1.26    0.00    5.61    0.00    0.00    0.00
 2009 109     6     0     0    45.3   37.7    7.6    2.30    2.75    3.10    2.52    2.35    2.35    1.71    1.56    0.99    0.16    0.17    0.18    9.51    9.06    0.00    1.76    0.00    7.75    0.00    0.00    0.00
 2009 110     7     0     0    47.4   39.5    7.9    3.34    3.08    3.27    2.52    2.37    2.37    1.70    1.65    1.19    0.14    0.14    0.15   12.07   10.85    0.00    2.27    0.00    9.80    0.00    0.00    0.00
 2009 111     8     0     0    49.3   41.5    7.9    2.71    3.65    3.69    2.64    2.40    2.41    1.59    1.68    1.33    0.11    0.11    0.12   14.59   12.81    0.00    2.79    0.00   11.79    0.00    0.00    0.00
 2009 112     9     0     0    51.4   42.7    8.7    3.75    3.71    3.79    2.68    2.40    2.41    1.85    1.87    1.57    0.10    0.09    0.10   17.22   14.07    0.00    3.36    0.00   13.86    0.00    0.00    0.00
 2009 113    10     0     0    53.3   44.9    8.4    5.11    4.08    4.07    2.67    2.40    2.42    1.75    1.80    1.58    0.09    0.07    0.08   19.60   16.24    0.00    3.90    0.00   15.70    0.00    0.00    0.00
 2009 114    11     0     0    55.0   47.0    8.0    2.57    4.20    4.88    3.23    2.41    2.43    1.58    1.72    1.58    0.08    0.06    0.07   21.87   18.37    0.00    4.43    0.00   17.44    0.00    0.00    0.00
 2009 115    12     0     0    56.7   48.0    8.7    3.48    4.16    4.73    3.42    2.44    2.43    1.83    1.89    1.73    0.09    0.05    0.06   24.16   19.38    0.00    4.98    0.00   19.18    0.00    0.00    0.00
 2009 116    13     0     0    58.6   49.5    9.1    4.68    4.41    4.77    3.46    2.45    2.43    1.77    2.01    1.85    0.10    0.04    0.05   26.70   20.91    0.00    5.61    0.00   21.09    0.00    0.00    0.00
 2009 117    14     0     0    60.5   51.9    8.6    6.10    4.84    5.11    3.44    2.44    2.42    1.71    1.87    1.77    0.11    0.03    0.04   29.17   23.23    0.00    6.24    0.00   22.93    0.00    0.00    0.00
 2009 118    15     0     0    62.2   54.0    8.2    6.61    5.29    5.53    3.47    2.45    2.43    1.59    1.75    1.70    0.11    0.03    0.03   31.48   25.38    0.00    6.84    0.00   24.64    0.00    0.00    0.00
 2009 119    16     0     0    63.8   56.0    7.7    7.10    5.70    5.94    3.49    2.46    2.44    1.45    1.63    1.64    0.12    0.02    0.03   33.69   27.42    0.00    7.43    0.00   26.25    0.02    0.00    0.00
 2009 120    17     0     0    65.0   57.7    7.3    7.55    6.01    6.29    3.52    2.46    2.44    1.28    1.52    1.57    0.12    0.02    0.02   35.82   29.38    0.00    8.01    0.00   27.81    0.32    0.00    0.00
 2009 121    18     0     0    66.2   59.4    6.9    7.99    6.30    6.63    3.55    2.46    2.45    1.12    1.41    1.51    0.13    0.02    0.02   37.89   31.26    0.00    8.58    0.00   29.31    0.59    0.00    0.00
 2009 122    19     0     0    67.5   61.0    6.5    8.39    6.60    6.98    3.57    2.47    2.45    0.95    1.32    1.45    0.13    0.02    0.02   39.89   33.07    0.00    9.14    0.00   30.75    0.79    0.00    0.00
 2009 123    20     0     0    68.5   62.4    6.1    8.74    6.83    7.27    3.59    2.47    2.46    0.80    1.24    1.40    0.13    0.01    0.01   41.77   34.75    0.00    9.68    0.00   32.10    1.15    0.00    0.00
 2009 124    21    40     3   109.4   63.7   45.8    9.06    7.05    7.55    3.62    2.47    2.46   54.34    1.17    1.35    0.13    0.01    0.01   43.57   36.33    0.00   10.19    0.00   33.37    1.45    0.00    0.00
 2009 125    22    40     3   110.3   75.7   34.5   23.25    7.54    7.86    3.64    2.48    2.46   39.51    1.11    1.30    0.13    0.01    0.01   45.58   48.59    0.00   11.00    0.00   34.58    1.80    0.00    0.00
 2009 126    23    40     3   111.4   84.5   26.9   33.51    7.78    8.15    3.67    2.48    2.46   29.32    1.10    1.27    0.14    0.01    0.01   47.60   57.44    0.00   11.81    0.00   35.79    1.91    0.00    0.00
 2009 127    24    40     3   112.2   90.9   21.2   40.81    7.98    8.41    3.69    2.48    2.47   21.91    1.08    1.23    0.14    0.01    0.01   49.48   64.11    0.00   12.54    0.00   36.94    2.26    0.00    0.00
 2009 128    25    40     3   112.0   95.2   16.8   45.74    8.09    8.58    3.70    2.48    2.47   16.21    1.05    1.19    0.14    0.01    0.01   51.30   69.33    0.00   13.26    0.00   38.04    3.51    0.00    0.00
 2009 129    26    40     3   112.4   98.7   13.7   49.21    8.41    8.77    3.71    2.49    2.47   12.13    1.02    1.15    0.14    0.01    0.01   53.01   73.46    0.00   13.91    0.00   39.10    4.22    0.00    0.00
 2009 130    27    40     3   112.9  101.5   11.4   51.90    8.56    8.97    3.72    2.49    2.47    9.31    0.99    1.12    0.14    0.01    0.01   54.70   76.61    0.00   14.59    0.00   40.10    4.66    0.00    0.00
 2009 131    28    40     3   113.6  103.9    9.7   54.08    8.73    9.19    3.75    2.49    2.47    7.17    0.96    1.09    0.14    0.01    0.01   56.28   79.26    0.00   15.22    0.00   41.07    4.89    0.00    0.00
 2009 132    29    40     3   113.4  105.1    8.3   55.49    8.75    9.27    3.73    2.49    2.47    5.45    0.92    1.05    0.14    0.01    0.01   57.81   81.56    0.00   15.81    0.00   42.00    6.04    0.00    0.00
 2009 133    30    40     3   114.3  107.1    7.2   56.96    8.93    9.50    3.76    2.49    2.48    4.16    0.88    1.02    0.14    0.01    0.01   59.25   83.56    0.00   16.35    0.00   42.90    6.05    0.00    0.00
 2009 134    31    40     3   114.0  107.7    6.3   58.13    8.86    9.47    3.72    2.49    2.48    3.15    0.83    0.98    0.13    0.01    0.01   60.63   85.31    0.00   16.86    0.00   43.77    7.26    0.00    0.00
 2009 135    32    40     3   114.5  109.0    5.5   59.10    8.97    9.63    3.73    2.49    2.48    2.34    0.79    0.94    0.13    0.01    0.01   61.98   86.93    0.00   17.34    0.00   44.64    7.62    0.00    0.00
 2009 136    33    40     3   115.0  110.1    4.9   59.87    9.08    9.80    3.74    2.49    2.48    1.72    0.74    0.90    0.13    0.01    0.01   63.26   88.37    0.00   17.79    0.00   45.48    7.89    0.00    0.00
 2009 137    34    40     3   115.2  110.8    4.4   60.47    9.13    9.88    3.73    2.49    2.48    1.27    0.70    0.87    0.13    0.01    0.01   64.46   89.63    0.00   18.20    0.00   46.27    8.51    0.00    0.00
 2009 138    35    40     3   115.5  111.5    4.0   60.95    9.19    9.97    3.73    2.49    2.48    0.92    0.66    0.83    0.13    0.01    0.01   65.61   90.79    0.00   18.57    0.00   47.03    9.01    0.00    0.00
 2009 139    36    40     3   115.7  112.0    3.7   61.33    9.24   10.06    3.73    2.49    2.48    0.67    0.62    0.80    0.12    0.01    0.01   66.68   91.83    0.00   18.92    0.00   47.76    9.50    0.00    0.00
 2009 140    37    40     3   116.1  112.6    3.5   61.65    9.31   10.18    3.74    2.50    2.49    0.53    0.58    0.77    0.12    0.01    0.01   67.87   92.77    0.00   19.39    0.00   48.48    9.81    0.00    0.00
 2009 141    38    40     3   116.3  113.1    3.3   61.92    9.35   10.26    3.73    2.50    2.49    0.42    0.54    0.74    0.12    0.01    0.01   68.99   93.66    0.00   19.82    0.00   49.17   10.27    0.00    0.00
 2009 142    39    40     3   116.2  113.1    3.1   62.17    9.34   10.25    3.70    2.49    2.49    0.33    0.51    0.72    0.12    0.01    0.01   70.04   94.49    0.00   20.21    0.00   49.83   11.07    0.00    0.00
 2009 143    40    40     3   116.5  113.5    2.9   62.40    9.39   10.32    3.70    2.49    2.49    0.26    0.48    0.69    0.12    0.01    0.01   71.02   95.28    0.00   20.56    0.00   50.46   11.44    0.00    0.00
 2009 144    41    40     3   116.6  113.8    2.8   10.03   26.40    7.26    8.27    3.96    2.49    0.20    0.44    0.67    0.12    0.01    0.01   71.94   96.03    0.00   20.88    0.00   51.05   11.91    0.00    0.00
 2009 145    42    40     3   117.7  113.9    3.8   12.33   23.02    8.19    7.94    4.56    2.59    0.55    0.54    0.89    0.13    0.03    0.01   74.06   96.33    0.00   21.70    0.00   52.36   12.13    0.00    0.00
 2009 146    43    40     3   119.2  114.4    4.8   14.02   21.30    8.49    7.66    4.72    3.02    0.85    0.67    1.08    0.14    0.06    0.01   76.41   96.83    0.00   22.55    0.00   53.86   12.13    0.00    0.00
 2009 147    44    40     3   119.3  114.0    5.2   17.43   19.92    8.49    7.43    4.70    3.02    1.00    0.73    1.13    0.15    0.08    0.02   78.95   97.99    0.00   23.44    0.00   55.51   13.69    0.00    0.00
 2009 148    45    40     3   118.3  113.0    5.3   20.76   18.40    8.41    7.21    4.62    3.01    1.04    0.74    1.12    0.14    0.09    0.04   81.15   99.29    0.00   24.19    0.00   56.96   16.12    0.00    0.00
 2009 149    46    40     3   117.3  112.0    5.3   20.94   17.98    8.45    7.08    4.58    3.01    1.01    0.75    1.10    0.13    0.10    0.04   83.14  100.59    0.00   24.85    0.00   58.29   18.45    0.00    0.00
 2009 150    47    40     3   116.3  111.1    5.2   21.14   17.60    8.49    6.95    4.54    3.00    0.99    0.74    1.06    0.13    0.11    0.05   85.02  101.89    0.00   25.46    0.00   59.56   20.70    0.00    0.00
 2009 151    48    40     3   116.3  111.2    5.1   21.63   17.41    8.61    6.88    4.53    3.01    0.94    0.73    1.03    0.13    0.11    0.06   86.76  103.15    0.00   26.02    0.00   60.73   21.90    0.00    0.00
 2009 152    49    80     4   154.9  109.9   44.9   22.11   16.93    8.57    6.72    4.47    3.00   54.55    0.70    0.99    0.12    0.12    0.06   88.35  104.36    0.00   26.53    0.00   61.82   24.39    0.00    0.00
 2009 153    50    80     4   154.2  119.2   35.0   35.55   16.66    8.62    6.62    4.45    3.00   41.34    0.68    0.95    0.12    0.12    0.06   89.82  115.20    0.00   27.07    0.00   62.75   25.93    0.00    0.00
 2009 154    51    80     4   154.1  126.6   27.5   45.72   16.50    8.72    6.57    4.44    3.01   31.40    0.66    0.92    0.12    0.12    0.07   91.19  123.57    0.00   27.56    0.00   63.63   26.96    0.00    0.00
 2009 155    52    80     4   153.6  132.0   21.6   53.71   16.29    8.77    6.49    4.42    3.01   23.65    0.63    0.88    0.11    0.12    0.07   92.50  130.31    0.00   28.00    0.00   64.50   28.26    0.00    0.00
 2009 156    53    80     4   154.1  137.0   17.0   59.87   16.28    8.93    6.49    4.43    3.02   17.71    0.60    0.85    0.11    0.12    0.07   93.75  135.68    0.00   28.41    0.00   65.34   28.64    0.00    0.00
 2009 157    54    80     4   154.6  141.0   13.6   64.52   16.28    9.10    6.49    4.45    3.03   13.29    0.57    0.82    0.11    0.13    0.07   94.92  139.89    0.00   28.78    0.00   66.14   28.89    0.00    0.00
 2009 158    55    80     4   154.5  143.4   11.1   68.00   16.16    9.16    6.44    4.44    3.04   10.03    0.55    0.79    0.11    0.13    0.07   96.03  143.18    0.00   29.13    0.00   66.90   29.81    0.00    0.00
 2009 159    56    80     4   154.4  145.2    9.1   70.70   16.06    9.23    6.39    4.44    3.04    7.57    0.52    0.76    0.10    0.12    0.07   97.09  145.86    0.00   29.46    0.00   67.63   30.64    0.00    0.00
 2009 160    57    80     4   154.4  146.7    7.7   72.76   15.98    9.32    6.36    4.44    3.05    5.74    0.49    0.73    0.10    0.12    0.07   98.13  148.05    0.00   29.78    0.00   68.35   31.31    0.00    0.00
 2009 161    58    80     4   154.6  148.1    6.5   74.38   15.94    9.42    6.35    4.45    3.06    4.34    0.46    0.70    0.10    0.12    0.07   99.12  149.89    0.00   30.09    0.00   69.04   31.75    0.00    0.00
 2009 162    59    80     4   144.9  139.2    5.7    4.13   35.78   10.76    6.21    6.07    4.69    3.35    0.43    0.68    0.10    0.12    0.07  100.07  151.38    0.00   30.38    0.00   69.70   31.75   10.41    0.00
 2009 163    60    80     4   143.7  137.5    6.2    6.89   31.84   11.62    6.32    5.94    4.76    3.37    0.41    0.85    0.11    0.14    0.09  102.08  151.90    0.00   31.35    0.00   70.73   31.75   12.62    0.00
 2009 164    61    80     4   142.9  136.3    6.6    9.12   28.93   12.30    6.41    5.83    4.76    3.33    0.41    0.98    0.13    0.15    0.11  104.21  152.58    0.00   32.37    0.00   71.84   32.03   14.29    0.00
 2009 165    62    80     4   141.3  134.2    7.1   10.64   26.97   12.52    6.45    5.68    4.66    3.31    0.47    1.09    0.14    0.16    0.13  106.30  153.26    0.00   33.32    0.00   72.98   32.70   16.34    0.00
 2009 166    63    80     4   140.8  133.6    7.2    9.00   22.50   14.81    7.02    5.72    4.68    3.21    0.51    1.09    0.15    0.17    0.14  108.52  154.38    0.00   34.28    0.00   74.24   33.89   16.91    0.00
 2009 167    64    80     4   138.5  131.0    7.5   11.56   20.23   14.26    7.13    5.66    4.66    3.15    0.64    1.13    0.16    0.17    0.15  110.55  155.14    0.08   35.15    0.00   75.40   36.02   18.10    0.00
