*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D   VPDF   VPD
 2009 104     1    0.0   12.1   12.9   22.9   45.8   0.22   35.5   24.3   29.7   31.5   19.1   29.7   31.5  103.7  386.8   0.00   0.00
 2009 105     2   13.9   12.1   12.9   10.2   20.4   0.65   28.5   23.9   26.1   26.9   19.2   26.1   26.9  112.3  386.9   0.00   0.00
 2009 106     3    0.0   12.1   13.0   23.8   47.6   0.19   34.7   24.0   29.1   30.9   19.9   29.1   30.9  138.2  386.9   0.00   0.00
 2009 107     4    0.0   12.1   13.0   25.0   50.0   0.14   34.8   24.0   29.2   31.0   17.7   29.2   31.0  129.6  386.9   0.00   0.00
 2009 108     5   22.6   12.2   13.0   24.3   48.6   0.17   31.2   23.7   27.3   28.5   18.4   27.3   28.5  146.9  386.9   0.00   0.00
 2009 109     6    0.0   12.2   13.0   21.0   42.0   0.28   34.9   23.6   29.0   30.9   18.9   29.0   30.9  103.7  386.9   0.00   0.00
 2009 110     7    0.0   12.2   13.0   24.5   49.0   0.16   33.2   23.7   28.3   29.8   18.1   28.3   29.8  103.7  386.9   0.00   0.00
 2009 111     8   12.3   12.2   13.0   24.2   48.4   0.17   33.7   23.3   28.3   30.0   18.8   28.3   30.0  129.6  386.9   0.00   0.00
 2009 112     9    0.0   12.2   13.0   21.9   43.8   0.25   34.7   23.8   29.0   30.8   19.1   29.0   30.8  112.3  386.9   0.00   0.00
 2009 113    10    0.0   12.2   13.0   24.8   49.6   0.15   33.6   23.6   28.4   30.1   18.7   28.4   30.1  129.6  386.9   0.00   0.00
 2009 114    11   26.6   12.2   13.0   18.9   37.8   0.35   34.2   23.4   28.6   30.4   19.8   28.6   30.4  103.7  386.9   0.00   0.00
 2009 115    12    0.3   12.2   13.0   21.0   42.0   0.28   34.2   23.6   28.7   30.5   18.5   28.7   30.5  121.0  386.9   0.00   0.00
 2009 116    13    3.0   12.2   13.0   20.4   40.8   0.30   32.8   23.5   28.0   29.5   19.6   28.0   29.5  121.0  386.9   0.00   0.00
 2009 117    14    0.0   12.2   13.0   15.0   30.0   0.49   34.0   23.9   28.8   30.4   21.0   28.8   30.4  129.6  386.9   0.00   0.00
 2009 118    15    0.0   12.2   13.0   20.3   40.6   0.30   34.5   23.8   29.0   30.7   18.7   29.0   30.7  103.7  386.9   0.00   0.00
 2009 119    16    0.0   12.2   13.0   20.2   40.4   0.31   36.0   23.7   29.6   31.7   19.6   29.6   31.7  112.3  386.9   0.00   0.00
 2009 120    17    0.0   12.2   13.0   23.5   47.0   0.19   35.6   23.8   29.5   31.4   20.1   29.5   31.4  138.2  386.9   0.00   0.00
 2009 121    18    0.0   12.2   13.0   18.7   37.4   0.36   35.0   23.7   29.1   31.0   20.2   29.1   31.0  146.9  386.9   0.00   0.00
 2009 122    19    0.0   12.2   13.1   21.1   42.2   0.27   31.5   23.4   27.3   28.6   20.3   27.3   28.6  138.2  386.9   0.00   0.00
 2009 123    20    0.0   12.2   13.1   23.3   46.6   0.20   34.7   23.5   28.9   30.8   20.8   28.9   30.8  121.0  386.9   0.00   0.00
 2009 124    21    7.1   12.2   13.1   21.5   43.0   0.26   34.7   23.3   28.8   30.7   19.7   28.8   30.7  112.3  386.9   0.00   0.00
 2009 125    22    2.6   12.2   13.1   10.0   20.0   0.66   33.2   23.4   28.1   29.7   20.7   28.1   29.7  103.7  386.9   0.00   0.00
 2009 126    23    0.0   12.2   13.1   14.7   29.4   0.49   33.5   23.3   28.2   29.9   21.2   28.2   29.9  129.6  386.9   0.00   0.00
 2009 127    24    1.2   12.2   13.1   14.0   28.0   0.52   32.9   23.7   28.1   29.7   20.0   28.1   29.7  138.2  386.9   0.00   0.00
 2009 128    25    0.0   12.3   13.1   17.4   34.8   0.40   34.5   23.5   28.8   30.6   19.6   28.8   30.6  155.5  386.9   0.00   0.00
 2009 129    26    3.2   12.3   13.1   20.2   40.4   0.30   29.5   23.3   26.3   27.3   21.0   26.3   27.3  103.7  386.9   0.00   0.00
 2009 130    27    0.0   12.3   13.1    9.9   19.8   0.66   34.0   23.5   28.6   30.3   21.8   28.6   30.3   77.8  386.9   0.00   0.00
 2009 131    28    0.0   12.3   13.1   24.4   48.8   0.16   35.0   23.3   28.9   30.9   18.0   28.9   30.9   95.0  386.9   0.00   0.00
 2009 132    29    0.0   12.3   13.1   10.9   21.8   0.62   34.8   23.1   28.7   30.7   16.6   28.7   30.7  112.3  386.9   0.00   0.00
 2009 133    30    0.0   12.3   13.1   22.8   45.6   0.21   36.0   23.6   29.6   31.6   18.3   29.6   31.6  129.6  386.9   0.00   0.00
 2009 134    31    0.0   12.3   13.1   23.1   46.2   0.20   34.5   23.5   28.8   30.6   19.4   28.8   30.6  121.0  386.9   0.00   0.00
 2009 135    32    0.0   12.3   13.1   19.1   38.2   0.34   33.5   23.3   28.2   29.9   19.2   28.2   29.9  129.6  387.1   0.00   0.00
 2009 136    33    0.0   12.3   13.1   21.4   42.8   0.26   35.3   23.5   29.2   31.2   18.6   29.2   31.2  103.7  387.1   0.00   0.00
 2009 137    34    0.0   12.3   13.1   22.3   44.6   0.23   35.0   23.3   28.9   30.9   17.7   28.9   30.9   95.0  387.1   0.00   0.00
 2009 138    35    0.0   12.3   13.1   22.6   45.2   0.22   35.5   23.5   29.3   31.3   18.6   29.3   31.3  112.3  387.1   0.00   0.00
 2009 139    36    4.3   12.3   13.1   19.8   39.6   0.31   33.4   23.1   28.1   29.8   19.3   28.1   29.8   95.0  387.1   0.00   0.00
 2009 140    37    0.0   12.3   13.2   17.0   34.0   0.41   34.7   23.2   28.8   30.7   20.2   28.8   30.7  112.3  387.1   0.00   0.00
 2009 141    38    0.0   12.3   13.2   23.6   47.2   0.18   35.0   23.2   28.9   30.9   18.3   28.9   30.9  121.0  387.1   0.00   0.00
 2009 142    39    0.0   12.3   13.2   22.2   44.4   0.23   35.7   23.3   29.3   31.4   19.5   29.3   31.4  155.5  387.1   0.00   0.00
 2009 143    40    0.0   12.3   13.2   23.1   46.2   0.20   36.2   23.3   29.5   31.7   18.6   29.5   31.7  121.0  387.1   0.00   0.00
 2009 144    41   60.7   12.3   13.2   20.6   41.2   0.28   30.0   23.1   26.4   27.6   17.8   26.4   27.6  112.3  387.1   0.00   0.00
 2009 145    42    4.3   12.3   13.2   12.5   25.0   0.56   33.8   23.2   28.3   30.1   20.3   28.3   30.1  103.7  387.1   0.00   0.00
 2009 146    43    0.0   12.3   13.2   20.9   41.8   0.27   34.2   23.1   28.5   30.3   18.6   28.5   30.3  121.0  387.1   0.00   0.00
 2009 147    44    0.0   12.3   13.2   23.3   46.6   0.19   35.0   23.4   29.0   30.9   18.5   29.0   30.9  103.7  387.1   0.00   0.00
 2009 148    45    0.0   12.3   13.2   20.4   40.8   0.29   34.6   22.9   28.6   30.5   19.5   28.6   30.5  138.2  387.1   0.00   0.00
 2009 149    46    1.0   12.3   13.2   18.6   37.2   0.35   31.4   22.9   27.0   28.4   19.7   27.0   28.4  129.6  387.1   0.00   0.00
 2009 150    47    0.0   12.3   13.2   12.2   24.4   0.57   32.0   22.9   27.3   28.8   19.3   27.3   28.8  103.7  387.1   0.00   0.00
 2009 151    48    0.0   12.3   13.2   19.5   39.0   0.32   33.0   22.7   27.7   29.4   17.8   27.7   29.4   95.0  387.1   0.00   0.00
 2009 152    49    0.0   12.3   13.2   20.6   41.2   0.28   33.6   22.8   28.0   29.8   19.8   28.0   29.8  129.6  387.1   0.00   0.00
 2009 153    50    0.0   12.3   13.2   19.7   39.4   0.31   34.2   23.6   28.7   30.5   20.9   28.7   30.5  138.2  387.1   0.00   0.00
 2009 154    51    0.0   12.3   13.2   22.1   44.2   0.23   33.5   23.5   28.3   30.0   20.6   28.3   30.0  129.6  387.1   0.00   0.00
 2009 155    52    0.0   12.3   13.2   18.7   37.4   0.34   32.4   23.3   27.7   29.2   20.1   27.7   29.2  146.9  387.1   0.00   0.00
 2009 156    53    0.0   12.3   13.2   14.9   29.8   0.48   32.5   23.3   27.7   29.3   20.6   27.7   29.3   86.4  387.1   0.00   0.00
 2009 157    54    0.0   12.3   13.2   16.8   33.6   0.41   32.5   23.2   27.7   29.3   19.4   27.7   29.3  103.7  387.1   0.00   0.00
 2009 158    55    0.0   12.3   13.2   18.9   37.8   0.34   34.8   23.3   28.9   30.8   19.5   28.9   30.8   77.8  387.1   0.00   0.00
 2009 159    56    0.0   12.3   13.2   20.7   41.4   0.27   34.5   23.1   28.6   30.5   19.1   28.6   30.5  129.6  387.1   0.00   0.00
 2009 160    57    0.4   12.3   13.2   21.1   42.2   0.26   32.5   22.9   27.5   29.2   19.1   27.5   29.2  172.8  387.1   0.00   0.00
 2009 161    58    0.0   12.3   13.2   14.4   28.8   0.49   30.5   23.2   26.7   28.0   20.5   26.7   28.0  164.2  387.1   0.00   0.00
 2009 162    59  186.7   12.4   13.2   10.6   21.2   0.63   32.0   22.9   27.3   28.8   19.9   27.3   28.8  112.0  387.1   0.00   0.00
 2009 163    60    1.7   12.4   13.2   14.7   29.4   0.48   27.0   23.1   25.0   25.6   20.2   25.0   25.6   95.0  387.1   0.00   0.00
 2009 164    61    4.3   12.4   13.2    9.6   19.2   0.66   31.9   23.1   27.4   28.8   18.4   27.4   28.8   34.6  387.1   0.00   0.00
 2009 165    62    0.0   12.4   13.2   14.1   28.2   0.50   32.9   23.2   27.9   29.5   19.8   27.9   29.5   86.4  387.1   0.00   0.00
 2009 166    63   15.1   12.4   13.2   22.4   44.8   0.21   29.0   22.9   25.9   26.9   19.9   25.9   26.9  121.0  387.3   0.00   0.00
 2009 167    64    0.0   12.4   13.2   10.3   20.6   0.64   31.2   23.1   27.0   28.4   20.2   27.0   28.4  129.6  387.3   0.00   0.00
 2009 168    65    0.5   12.4   13.2   13.8   27.6   0.51   32.9   23.1   27.8   29.5   19.5   27.8   29.5  103.7  387.3   0.00   0.00
 2009 169    66    0.0   12.4   13.2   22.1   44.2   0.22   32.7   23.0   27.7   29.3   17.7   27.7   29.3   77.8  387.3   0.00   0.00
 2009 170    67   24.9   12.4   13.2   17.6   35.2   0.38   31.6   23.1   27.2   28.6   19.9   27.2   28.6  138.2  387.3   0.00   0.00
 2009 171    68    0.0   12.4   13.2   15.8   31.6   0.44   27.5   23.1   25.2   26.0   20.4   25.2   26.0  146.9  387.3   0.00   0.00
 2009 172    69    0.0   12.4   13.2    9.6   19.2   0.66   32.5   23.0   27.6   29.2   19.8   27.6   29.2   69.1  387.3   0.00   0.00
 2009 173    70    6.0   12.4   13.2   17.6   35.2   0.38   32.8   22.8   27.6   29.3   18.6   27.6   29.3   43.2  387.3   0.00   0.00
 2009 174    71   13.4   12.4   13.2   19.5   39.0   0.31   29.1   22.9   25.9   26.9   19.7   25.9   26.9  103.7  387.3   0.00   0.00
 2009 175    72    0.6   12.4   13.2    9.8   19.6   0.65   30.4   23.1   26.6   27.9   20.2   26.6   27.9  138.2  387.3   0.00   0.00
 2009 176    73   14.3   12.4   13.2   11.5   23.0   0.60   30.5   23.1   26.7   27.9   19.9   26.7   27.9  155.5  387.3   0.00   0.00
 2009 177    74    2.0   12.4   13.2   11.5   23.0   0.60   30.5   22.9   26.6   27.9   21.0   26.6   27.9   86.4  387.3   0.00   0.00
 2009 178    75    0.0   12.4   13.2   13.8   27.6   0.51   26.5   22.9   24.6   25.2   20.2   24.6   25.2  129.6  387.3   0.00   0.00
 2009 179    76   12.2   12.4   13.2    9.6   19.2   0.66   28.9   22.7   25.7   26.7   19.7   25.7   26.7  146.9  387.3   0.00   0.00
 2009 180    77    0.5   12.4   13.2   11.0   22.0   0.61   29.5   22.9   26.1   27.2   19.7   26.1   27.2  138.2  387.3   0.00   0.00
 2009 181    78    0.2   12.4   13.2   14.7   29.4   0.48   29.7   22.6   26.0   27.2   19.0   26.0   27.2  129.6  387.3   0.00   0.00
 2009 182    79    0.0   12.4   13.2   14.4   28.8   0.49   31.5   22.7   27.0   28.4   18.9   27.0   28.4  129.6  387.3   0.00   0.00
 2009 183    80    0.0   12.4   13.2   18.8   37.6   0.34   32.7   22.6   27.5   29.2   17.7   27.5   29.2  121.0  387.3   0.00   0.00
 2009 184    81    0.0   12.3   13.2   20.5   41.0   0.28   31.1   22.7   26.8   28.2   18.9   26.8   28.2  112.3  387.3   0.00   0.00
 2009 185    82    0.0   12.3   13.2   14.4   28.8   0.49   31.3   22.5   26.8   28.2   18.9   26.8   28.2  138.2  387.3   0.00   0.00
 2009 186    83    0.0   12.3   13.2   20.2   40.4   0.29   31.3   22.6   26.8   28.3   19.8   26.8   28.3  138.2  387.3   0.00   0.00
 2009 187    84    3.9   12.3   13.2   16.3   32.6   0.43   32.0   22.5   27.1   28.7   20.0   27.1   28.7  155.5  387.3   0.00   0.00
 2009 188    85    0.0   12.3   13.2   15.8   31.6   0.45   27.8   22.4   25.0   25.9   19.9   25.0   25.9  155.5  387.3   0.00   0.00
 2009 189    86    1.9   12.3   13.2    9.7   19.4   0.66   28.9   22.4   25.5   26.6   20.1   25.5   26.6  138.2  387.3   0.00   0.00
 2009 190    87    0.9   12.3   13.2   10.1   20.2   0.65   28.5   22.3   25.3   26.3   19.7   25.3   26.3  103.7  387.3   0.00   0.00
 2009 191    88    2.9   12.3   13.2   11.2   22.4   0.61   28.5   22.4   25.3   26.4   20.7   25.3   26.4  198.7  387.3   0.00   0.00
 2009 192    89    0.0   12.3   13.2   10.7   21.4   0.63   28.5   22.8   25.6   26.5   17.5   25.6   26.5  164.2  387.3   0.00   0.00
 2009 193    90    0.0   12.3   13.2   12.6   25.2   0.56   30.7   22.4   26.4   27.8   15.7   26.4   27.8  129.6  387.3   0.00   0.00
 2009 194    91    0.0   12.3   13.2   16.9   33.8   0.41   29.7   22.4   25.9   27.1   16.4   25.9   27.1  146.9  387.3   0.00   0.00
 2009 195    92    0.0   12.3   13.2   12.2   24.4   0.57   31.5   22.6   26.9   28.4   19.0   26.9   28.4  146.9  387.3   0.00   0.00
 2009 196    93    0.0   12.3   13.2   22.3   44.6   0.22   32.0   22.4   27.0   28.6   16.0   27.0   28.6  138.2  387.5   0.00   0.00
 2009 197    94    0.0   12.3   13.2   20.1   40.2   0.30   29.5   22.5   25.9   27.1   15.8   25.9   27.1  129.6  387.5   0.00   0.00
 2009 198    95    0.0   12.3   13.2    9.9   19.8   0.65   29.9   22.6   26.1   27.3   18.8   26.1   27.3  198.7  387.5   0.00   0.00
 2009 199    96    0.0   12.3   13.2   10.5   21.0   0.63   29.9   22.6   26.1   27.3   18.6   26.1   27.3  181.4  387.5   0.00   0.00
 2009 200    97    0.0   12.3   13.2   20.4   40.8   0.29   32.5   22.6   27.4   29.0   17.3   27.4   29.0  146.9  387.5   0.00   0.00
 2009 201    98    0.0   12.3   13.2   19.5   39.0   0.32   31.5   22.2   26.7   28.2   17.3   26.7   28.2  112.3  387.5   0.00   0.00
 2009 202    99    0.0   12.3   13.2   15.3   30.6   0.47   31.3   22.5   26.7   28.2   19.1   26.7   28.2  155.5  387.5   0.00   0.00
 2009 203   100    0.0   12.3   13.2   19.0   38.0   0.34   31.0   22.6   26.7   28.1   18.4   26.7   28.1  172.8  387.5   0.00   0.00
 2009 204   101    0.0   12.3   13.2   13.5   27.0   0.53   32.3   22.5   27.2   28.9   17.8   27.2   28.9  146.9  387.5   0.00   0.00
 2009 205   102   13.2   12.3   13.2   15.0   30.0   0.48   32.3   22.2   27.1   28.8   18.4   27.1   28.8  155.5  387.5   0.00   0.00
 2009 206   103    0.0   12.3   13.2   12.0   24.0   0.58   28.7   22.0   25.2   26.4   17.2   25.2   26.4  190.1  387.5   0.00   0.00
 2009 207   104    0.5   12.3   13.2   12.0   24.0   0.58   29.1   22.2   25.5   26.7   15.1   25.5   26.7  164.2  387.5   0.00   0.00
 2009 208   105    0.0   12.3   13.1   10.2   20.4   0.65   27.5   22.2   24.8   25.6   19.0   24.8   25.6  164.2  387.5   0.00   0.00
 2009 209   106    0.0   12.3   13.1    9.8   19.6   0.66   27.5   22.0   24.7   25.6   17.4   24.7   25.6  172.8  387.5   0.00   0.00
