*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2009 156     0   0.000    0.00       0    0.00
 2009 157     1   0.000    0.00       0    0.00
 2009 158     2   0.000    0.00       0    0.00
 2009 159     3   0.000    0.00       0    0.00
 2009 160     4   0.000    0.00       0    0.00
 2009 161     5   0.000    0.00       0    0.00
 2009 162     6   0.000    0.00       0    0.00
 2009 163     7   0.000    0.00       0    0.00
 2009 164     8   0.000    0.00       0    0.00
 2009 165     9   0.000    0.00       0    0.00
 2009 166    10   0.000    0.00       0    0.00
 2009 167    11   0.000    0.00       0    0.00
 2009 168    12   0.000    0.00       0    0.00
 2009 169    13   0.000    0.00       0    0.00
 2009 170    14   0.000    0.00       0    0.00
 2009 171    15   0.000    0.00       0    0.00
 2009 172    16   0.000    0.00       0    0.00
 2009 173    17   0.000    0.00       0    0.00
 2009 174    18   0.000    0.00       0    0.00
 2009 175    19   0.000    0.00       0    0.00
 2009 176    20   0.000    0.00       0    0.00
 2009 177    21   0.000    0.00       0    0.00
 2009 178    22   0.000    0.00       0    0.00
 2009 179    23   0.000    0.00       0    0.00
 2009 180    24   0.000    0.00       0    0.00
 2009 181    25   0.000    0.00       0    0.00
 2009 182    26   0.000    0.00       0    0.00
 2009 183    27   0.000    0.00       0    0.00
 2009 184    28   0.000    0.00       0    0.00
 2009 185    29   0.000    0.00       0    0.00
 2009 186    30   0.000    0.00       0    0.00
 2009 187    31   0.000    0.00       0    0.00
 2009 188    32   0.000    0.00       0    0.00
 2009 189    33   0.000    0.00       0    0.00
 2009 190    34   0.000    0.00       0    0.00
 2009 191    35   0.000    0.00       0    0.00
 2009 192    36   0.000    0.00       0    0.00
 2009 193    37   0.000    0.00       0    0.00
 2009 194    38   0.000    0.00       0    0.00
 2009 195    39   0.000    0.00       0    0.00
 2009 196    40   0.000    0.00       0    0.00
 2009 197    41   0.000    0.00       0    0.00
 2009 198    42   0.000    0.00       0    0.00
 2009 199    43   0.000    0.00       0    0.00
 2009 200    44   0.000    0.00       0    0.00
 2009 201    45   0.000    0.00       0    0.00
 2009 202    46   0.000    0.00       0    0.00
 2009 203    47   0.000    0.00       0    0.00
 2009 204    48   0.000    0.00       0    0.00
 2009 205    49   0.000    0.00       0    0.00
 2009 206    50   0.000    0.00       0    0.00
 2009 207    51   0.000    0.00       0    0.00
 2009 208    52   0.000    0.00       0    0.00
 2009 209    53   0.000    0.00       0    0.00
 2009 210    54   0.000    0.00       0    0.00
 2009 211    55   0.000    0.00       0    0.00
 2009 212    56   0.000    0.00       0    0.00
 2009 213    57   0.000    0.00       0    0.00
 2009 214    58   0.000    0.00       0    0.00
 2009 215    59   0.000    0.00       0    0.00
 2009 216    60   0.000    0.00       0    0.00
 2009 217    61   0.000    0.00       0    0.00
 2009 218    62   0.000    0.00       0    0.00
 2009 219    63   0.000    0.00       0    0.00
 2009 220    64   0.000    0.00       0    0.00
 2009 221    65   0.000    0.00       0    0.00
 2009 222    66   0.000    0.00       0    0.00
 2009 223    67   0.000    0.00       0    0.00
 2009 224    68   0.000    0.00       0    0.00
 2009 225    69   0.000    0.00       0    0.00
 2009 226    70   0.000    0.00       0    0.00
 2009 227    71   0.000    0.00       0    0.00
 2009 228    72   0.000    0.00       0    0.00
 2009 229    73   0.000    0.00       0    0.00
 2009 230    74   0.000    0.00       0    0.00
 2009 231    75   0.000    0.00       0    0.00
 2009 232    76   0.000    0.00       0    0.00
 2009 233    77   0.000    0.00       0    0.00
 2009 234    78   0.000    0.00       0    0.00
 2009 235    79   0.000    0.00       0    0.00
 2009 236    80   0.000    0.00       0    0.00
 2009 237    81   0.000    0.00       0    0.00
 2009 238    82   0.000    0.00       0    0.00
 2009 239    83   0.000    0.00       0    0.00
 2009 240    84   0.000    0.00       0    0.00
 2009 241    85   0.000    0.00       0    0.00
 2009 242    86   0.000    0.00       0    0.00
 2009 243    87   0.000    0.00       0    0.00
 2009 244    88   0.000    0.00       0    0.00
 2009 245    89   0.000    0.00       0    0.00
 2009 246    90   0.000    0.00       0    0.00
 2009 247    91   0.000    0.00       0    0.00
 2009 248    92   0.000    0.00       0    0.00
 2009 249    93   0.000    0.00       0    0.00
 2009 250    94   0.000    0.00       0    0.00
 2009 251    95   0.000    0.00       0    0.00
 2009 252    96   0.000    0.00       0    0.00
 2009 253    97   0.000    0.00       0    0.00
 2009 254    98   0.000    0.00       0    0.00
 2009 255    99   0.000    0.00       0    0.00
 2009 256   100   0.000    0.00       0    0.00
 2009 257   101   0.000    0.00       0    0.00
 2009 258   102   0.000    0.00       0    0.00
 2009 259   103   0.000    0.00       0    0.00
 2009 260   104   0.000    0.00       0    0.00
 2009 261   105   0.000    0.00       0    0.00
 2009 262   106   0.000    0.00       0    0.00
 2009 263   107   0.000    0.00       0    0.00
 2009 264   108   0.000    0.00       0    0.00
 2009 265   109   0.000    0.00       0    0.00
 2009 266   110   0.000    0.00       0    0.00
 2009 267   111   0.000    0.00       0    0.00
 2009 268   112   0.000    0.00       0    0.00
 2009 269   113   0.000    0.00       0    0.00
 2009 270   114   0.000    0.00       0    0.00
 2009 271   115   0.000    0.00       0    0.00
 2009 272   116   0.000    0.00       0    0.00
 2009 273   117   0.000    0.00       0    0.00
 2009 274   118   0.000    0.00       0    0.00
 2009 275   119   0.000    0.00       0    0.00
 2009 276   120   0.000    0.00       0    0.00
 2009 277   121   0.000    0.00       0    0.00
 2009 278   122   0.000    0.00       0    0.00
 2009 279   123   0.000    0.00       0    0.00
 2009 280   124   0.000    0.00       0    0.00
 2009 281   125   0.000    0.00       0    0.00
 2009 282   126   0.000    0.00       0    0.00
 2009 283   127   0.000    0.00       0    0.00
 2009 284   128   0.000    0.00       0    0.00
 2009 285   129   0.000    0.00       0    0.00
 2009 286   130   0.000    0.00       0    0.00
 2009 287   131   0.000    0.00       0    0.00
 2009 288   132   0.000    0.00       0    0.00
 2009 289   133   0.000    0.00       0    0.00
 2009 290   134   0.000    0.00       0    0.00
 2009 291   135   0.000    0.00       0    0.00
 2009 292   136   0.000    0.00       0    0.00
 2009 293   137   0.000    0.00       0    0.00
 2009 294   138   0.000    0.00       0    0.00
 2009 295   139   0.000    0.00       0    0.00
 2009 296   140   0.000    0.00       0    0.00
 2009 297   141   0.000    0.00       0    0.00
 2009 298   142   0.000    0.00       0    0.00
 2009 299   143   0.000    0.00       0    0.00
 2009 300   144   0.000    0.00       0    0.00
 2009 301   145   0.000    0.00       0    0.00
 2009 302   146   0.000    0.00       0    0.00
 2009 303   147   0.000    0.00       0    0.00
 2009 304   148   0.000    0.00       0    0.00
 2009 305   149   0.000    0.00       0    0.00
 2009 306   150   0.000    0.00       0    0.00
 2009 307   151   0.000    0.00       0    0.00
 2009 308   152   0.000    0.00       0    0.00
