*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2009 163     7     0    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2009 164     8     1    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2009 165     9     2    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2009 166    10     3    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2009 167    11     4    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2009 168    12     5    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   2.20    0.00    0.00
 2009 169    13     6    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   2.17    0.00    0.00
 2009 170    14     7    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   2.11    0.00    0.00
 2009 171    15     8    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   2.06    0.00    0.00
 2009 172    16     9    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   1.93    0.00    0.00
 2009 173    17    10    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   1.79    0.00    0.00
 2009 174    18    11    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   1.62    0.00    0.00
 2009 175    19    12    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   1.41    0.00    0.00
 2009 176    20    13    1.1    0.0    1.1   0.00   3.69    0.0    0.6    0.5    3.7   3.69   1.37    0.00    0.00
 2009 177    21    14    1.1    0.0    1.1   0.00   3.26    0.0    0.7    0.4    3.3   3.26   1.18    0.00    0.00
 2009 178    22    15    1.4    0.0    1.4   0.00   3.39    0.3    0.9    0.4    3.4   3.39   1.11    0.00    0.00
 2009 179    23    16    1.5    0.0    1.5   0.00   3.17    0.5    1.1    0.4    3.2   3.17   1.20    0.00    0.00
 2009 180    24    17    2.2    0.0    2.2   0.00   3.80    1.2    1.8    0.5    3.8   3.80   1.18    0.00    0.01
 2009 181    25    18    2.6    0.0    2.6   0.00   3.73    1.7    2.1    0.5    3.7   3.73   1.26    0.00    0.01
 2009 182    26    19    2.9    0.0    2.9   0.00   3.62    2.0    2.4    0.4    3.6   3.62   1.15    0.00    0.01
 2009 183    27    20    3.2    0.0    3.2   0.00   3.55    2.5    2.8    0.4    3.6   3.55   1.29    0.00    0.01
 2009 184    28    21    3.7    0.0    3.7   0.00   3.50    3.2    3.3    0.4    3.5   3.50   1.26    0.00    0.01
 2009 185    29    22    4.3    0.0    4.3   0.00   3.45    3.9    3.9    0.4    3.5   3.45   1.22    0.00    0.02
 2009 186    30    23    5.0    0.0    5.0   0.00   3.42    4.7    4.6    0.5    3.4   3.42   1.20    0.00    0.02
 2009 187    31    24    5.7    0.0    5.7   0.00   3.35    5.5    5.2    0.5    3.3   3.35   1.21    0.00    0.03
 2009 188    32    25    6.5    0.0    6.5   0.00   3.30    6.4    5.9    0.5    3.3   3.30   1.20    0.00    0.03
 2009 189    33    26    7.2    0.0    7.2   0.00   3.26    7.1    6.6    0.6    3.3   3.26   1.10    0.00    0.04
 2009 190    34    27    8.0    0.0    8.0   0.00   3.22    8.3    7.3    0.7    3.2   3.22   1.25    0.00    0.05
 2009 191    35    28    8.7    0.0    8.7   0.00   3.19    8.8    7.9    0.8    3.2   3.19   1.08    0.00    0.05
 2009 192    36    29    9.6    0.0    9.6   0.00   3.15   10.2    8.7    0.9    3.2   3.15   1.24    0.00    0.06
 2009 193    37    30   10.5    0.0   10.5   0.00   3.12   11.6    9.5    1.0    3.1   3.12   1.24    0.00    0.07
 2009 194    38    31   11.6    0.0   11.6   0.00   3.08   12.9   10.4    1.2    3.1   3.08   1.21    0.00    0.08
 2009 195    39    32   12.7    0.0   12.7   0.00   3.04   13.7   11.2    1.5    3.0   3.04   1.07    0.00    0.10
 2009 196    40    33   13.9    0.0   13.9   0.00   3.01   15.4   12.2    1.7    3.0   3.01   1.15    0.00    0.11
 2009 197    41    34   15.4    0.0   15.4   0.00   2.97   17.2   13.3    2.1    3.0   2.97   1.18    0.00    0.12
 2009 198    42    35   16.8    0.0   16.8   0.00   2.93   19.1   14.3    2.5    2.9   2.93   1.18    0.00    0.14
 2009 199    43    36   18.4    0.0   18.4   0.00   2.90   20.4   15.4    3.0    2.9   2.90   1.08    0.00    0.15
 2009 200    44    37   20.1    0.0   20.1   0.00   2.86   22.3   16.5    3.5    2.9   2.86   1.10    0.00    0.17
 2009 201    45    38   22.0    0.0   22.0   0.00   2.83   24.8   17.8    4.2    2.8   2.83   1.17    0.00    0.19
 2009 202    46    39   24.1    0.0   24.1   0.00   2.79   27.2   19.2    5.0    2.8   2.79   1.15    0.00    0.21
 2009 203    47    40   26.4    0.0   26.4   0.00   2.76   29.7   20.6    5.8    2.8   2.76   1.13    0.00    0.23
 2009 204    48    41   30.0    0.0   30.0   0.00   2.72   33.2   21.4    8.7    2.7   2.72   1.09    0.00    0.25
 2009 205    49    42   33.6    0.0   33.6   0.00   2.68   36.9   22.1   11.5    2.7   2.68   1.09    0.00    0.27
 2009 206    50    43   35.3    0.0   35.3   0.00   2.65   38.6   22.4   12.9    2.6   2.65   1.08    0.00    0.29
 2009 207    51    44   38.7    0.0   38.7   0.00   2.61   42.2   23.0   15.7    2.6   2.61   1.09    0.00    0.31
 2009 208    52    45   42.2    0.0   42.2   0.00   2.58   45.7   23.6   18.5    2.6   2.58   1.09    0.00    0.34
 2009 209    53    46   44.7    0.0   44.7   0.00   2.55   48.2   24.0   20.6    2.5   2.55   1.08    0.00    0.36
 2009 210    54    47   46.0    0.0   46.0   0.00   2.52   49.6   24.2   21.8    2.5   2.52   1.08    0.00    0.38
 2009 211    55    48   49.8    0.0   49.8   0.00   2.50   53.6   24.9   24.8    2.5   2.50   1.10    0.00    0.41
 2009 212    56    49   50.9    0.0   50.9   0.00   2.46   54.7   25.0   25.9    2.5   2.46   1.08    0.00    0.43
 2009 213    57    50   51.9    0.0   51.9   0.00   2.43   55.8   25.0   26.9    2.4   2.43   1.07    0.00    0.45
 2009 214    58    51   55.3    0.0   55.3   0.00   2.43   59.3   25.9   29.4    2.4   2.43   1.09    0.00    0.48
 2009 215    59    52   57.0    0.0   57.0   0.00   2.39   61.0   26.1   30.8    2.4   2.39   1.08    0.00    0.50
 2009 216    60    53   58.9    0.0   58.9   0.00   2.36   63.0   26.6   32.3    2.4   2.36   1.08    0.00    0.53
 2009 217    61    54   61.5    0.0   61.5   0.00   2.37   65.8   27.5   34.0    2.4   2.37   1.09    0.00    0.55
 2009 218    62    55   61.8    0.0   61.8   0.00   2.31   66.1   27.4   34.5    2.3   2.31   1.08    0.00    0.58
 2009 219    63    56   62.7    0.0   62.7   0.00   2.28   67.0   27.5   35.2    2.3   2.28   1.08    0.00    0.60
 2009 220    64    57   65.3    0.0   65.3   0.00   2.32   69.8   28.9   36.4    2.3   2.32   1.09    0.00    0.63
 2009 221    65    58   65.3    0.0   65.3   0.00   2.30   69.8   28.3   37.0    2.3   2.30   1.09    0.00    0.63
 2009 222    66    59   65.3    0.0   65.3   0.00   2.27   69.8   27.5   37.8    2.3   2.27   1.07    0.00    0.63
 2009 223    67    60   65.3    0.0   65.3   0.00   2.25   69.8   26.9   38.4    2.3   2.25   1.06    0.00    0.63
 2009 224    68    61   65.3    0.0   65.3   0.00   2.24   69.8   26.3   39.0    2.2   2.24   1.05    0.00    0.63
 2009 225    69    62   65.3    0.0   65.3   0.00   2.24   69.8   25.8   39.5    2.2   2.24   1.05    0.00    0.63
 2009 226    70    63   65.3    0.0   65.3   0.00   2.25   69.8   25.3   39.9    2.2   2.25   1.04    0.00    0.63
 2009 227    71    64   65.3    0.0   65.3   0.00   2.26   69.8   24.9   40.4    2.3   2.26   1.04    0.00    0.63
 2009 228    72    65   65.3    0.0   65.3   0.00   2.26   69.8   24.3   41.0    2.3   2.26   1.03    0.00    0.63
 2009 229    73    66   65.3    0.0   65.3   0.00   2.27   69.8   23.8   41.5    2.3   2.27   1.03    0.00    0.63
 2009 230    74    67   65.3    1.4   63.9   1.71   2.22   69.8   23.3   40.6    2.2   2.22   1.00    0.00    0.63
 2009 231    75    68   65.3    2.9   62.4   1.72   2.17   69.8   22.8   39.7    2.2   2.17   0.95    0.00    0.63
 2009 232    76    69   65.3    4.3   61.0   1.72   2.12   69.8   22.2   38.7    2.1   2.12   0.92    0.00    0.63
 2009 233    77    70   65.3    5.7   59.5   1.72   2.07   69.8   21.7   37.8    2.1   2.07   0.92    0.00    0.63
 2009 234    78    71   65.3    7.2   58.1   1.72   2.02   69.8   21.2   36.9    2.0   2.02   0.89    0.00    0.63
 2009 235    79    72   65.3    8.6   56.7   1.72   1.97   69.8   20.7   36.0    2.0   1.97   0.85    0.00    0.63
 2009 236    80    73   65.3   10.0   55.3   1.72   1.92   69.8   20.2   35.1    1.9   1.92   0.83    0.00    0.63
 2009 237    81    74   65.3   11.5   53.8   1.72   1.87   69.8   19.6   34.2    1.9   1.87   0.80    0.00    0.63
 2009 238    82    75   65.3   12.9   52.4   1.72   1.82   69.8   19.1   33.3    1.8   1.82   0.79    0.00    0.63
 2009 239    83    76   65.3   14.3   50.9   1.72   1.77   69.8   18.6   32.4    1.8   1.77   0.77    0.00    0.63
 2009 240    84    77   65.3   15.6   49.7   1.73   1.73   69.8   18.1   31.6    1.7   1.73   0.74    0.00    0.63
 2009 241    85    78   65.3   17.0   48.3   1.73   1.68   69.8   17.6   30.7    1.7   1.68   0.74    0.00    0.63
