*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                    NO3 (ppm) by soil depth (cm):                   NH4 (ppm) by soil depth (cm):
!                                                     0-5    5-15   15-30   30-60   60-90  90-120     0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS  NAPC  NI#M    NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDFC
 2009 156     0     0     0    45.2   33.3   12.0    1.67    1.67    1.67    1.67    1.67    1.67    0.60    0.60    0.60    0.60    0.60    0.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 2009 157     1     0     0    48.5   36.6   11.9    1.43    2.07    1.85    1.84    1.83    1.82    1.16    1.04    1.03    0.44    0.45    0.45    3.62    3.34    0.00    0.32    0.00    3.30    0.00    0.00    0.00
 2009 158     2     0     0    52.3   39.9   12.4    1.68    2.41    2.14    1.96    1.95    1.94    1.82    1.58    1.32    0.32    0.34    0.35    7.79    6.61    0.00    0.70    0.00    7.09    0.00    0.00    0.00
 2009 159     3     0     0    55.8   43.3   12.6    2.87    2.80    2.46    2.02    2.02    2.01    2.22    1.93    1.47    0.24    0.26    0.27   11.69   10.01    0.00    1.06    0.00   10.63    0.00    0.00    0.00
 2009 160     4     0     0    59.1   46.6   12.5    3.53    3.32    2.85    2.08    2.08    2.07    2.37    2.15    1.57    0.19    0.20    0.21   15.29   13.37    0.00    1.42    0.00   13.87    0.00    0.00    0.00
 2009 161     5     0     0    62.0   49.8   12.2    4.22    3.88    3.26    2.13    2.13    2.12    2.36    2.28    1.63    0.15    0.16    0.17   18.63   16.62    0.00    1.76    0.00   16.87    0.00    0.00    0.00
 2009 162     6     0     0    64.9   53.1   11.8    2.01    4.22    4.76    2.20    2.17    2.17    2.26    2.34    1.66    0.12    0.13    0.14   21.85   19.85    0.00    2.11    0.00   19.73    0.00    0.00    0.00
 2009 163     7     0     0    68.9   55.8   13.1    2.12    4.04    5.12    2.56    2.19    2.19    2.57    2.56    2.07    0.09    0.11    0.12   26.38   22.60    0.00    2.62    0.00   23.76    0.00    0.00    0.00
 2009 164     8    39     1   111.7   58.9   52.9    3.21    4.15    5.12    2.94    2.20    2.21   49.75    2.70    2.31    0.08    0.09    0.10   30.70   25.66    0.00    3.13    0.00   27.57    0.00    0.00    0.00
 2009 165     9    39     1   115.5   72.2   43.4   15.63    4.65    5.59    3.13    2.20    2.21   37.72    2.80    2.51    0.07    0.08    0.08   35.25   38.99    0.00    3.86    0.00   31.39    0.00    0.00    0.00
 2009 166    10    39     1   119.0   81.2   37.8   22.69    5.53    5.80    3.36    2.20    2.21   30.73    2.84    2.64    0.07    0.07    0.07   39.40   48.00    0.00    4.53    0.00   34.86    0.00    0.00    0.00
 2009 167    11    39     1   122.3   89.5   32.9   30.84    6.03    6.15    3.33    2.19    2.21   24.47    2.90    2.73    0.06    0.06    0.06   43.41   56.29    0.00    5.21    0.00   38.20    0.00    0.00    0.00
 2009 168    12    39     1   125.5   96.6   28.9   36.30    6.63    6.74    3.34    2.21    2.23   19.53    2.93    2.79    0.06    0.05    0.06   47.29   63.47    0.00    5.89    0.00   41.41    0.00    0.00    0.00
 2009 169    13    39     1   128.8  103.2   25.5   40.90    7.27    7.36    3.35    2.22    2.24   15.47    2.93    2.82    0.06    0.05    0.05   51.26   70.09    0.00    6.60    0.00   44.66    0.00    0.00    0.00
 2009 170    14    39     1   131.9  109.2   22.7   44.69    7.93    8.01    3.37    2.23    2.25   12.19    2.90    2.81    0.06    0.05    0.05   55.18   76.11    0.00    7.32    0.00   47.86    0.00    0.00    0.00
 2009 171    15    39     1   135.2  115.0   20.2   47.95    8.63    8.70    3.38    2.24    2.26    9.41    2.85    2.78    0.06    0.04    0.05   59.20   81.90    0.00    8.07    0.00   51.13    0.00    0.00    0.00
 2009 172    16    39     1   138.4  120.4   18.1   16.08   18.03   12.33    4.60    2.44    2.27    7.21    2.77    2.72    0.06    0.04    0.04   63.20   87.24    0.00    8.84    0.00   54.36    0.00    0.00    0.00
 2009 173    17    39     1   141.4  124.5   16.9   19.64   15.67   12.03    5.13    3.08    2.27    6.31    2.73    2.60    0.06    0.04    0.04   67.08   91.37    0.00    9.74    0.00   57.34    0.00    0.00    0.00
 2009 174    18    39     1   144.7  128.9   15.8   25.26   15.08   12.03    5.23    3.14    2.26    5.36    2.63    2.54    0.06    0.04    0.04   71.32   95.79    0.00   10.67    0.00   60.65    0.00    0.00    0.00
 2009 175    19    39     1   147.8  133.0   14.9   31.25   14.92   12.02    5.14    3.11    2.25    4.53    2.56    2.48    0.05    0.04    0.04   75.32   99.86    0.00   11.55    0.00   63.77    0.00    0.00    0.00
 2009 176    20    39     1   150.8  136.7   14.1   32.65   15.49   12.63    5.16    3.12    2.26    3.82    2.50    2.44    0.05    0.04    0.04   79.17  103.65    0.00   12.42    0.00   66.76    0.00    0.00    0.00
 2009 177    21    39     1   153.7  140.4   13.3   33.90   16.07   13.25    5.17    3.13    2.27    3.22    2.43    2.38    0.05    0.05    0.03   82.98  107.34    0.00   13.30    0.00   69.68    0.00    0.00    0.00
 2009 178    22    39     1   156.5  143.9   12.6   34.99   16.63   13.85    5.18    3.14    2.27    2.70    2.35    2.31    0.05    0.05    0.03   86.71  110.89    0.00   14.21    0.00   72.50    0.04    0.00    0.00
 2009 179    23    39     1   159.0  147.0   11.9   35.89   17.11   14.42    5.19    3.16    2.28    2.27    2.27    2.25    0.05    0.05    0.03   90.30  114.20    0.00   15.12    0.00   75.18    0.25    0.00    0.00
 2009 180    24    39     1   161.3  149.9   11.4   22.44   22.84   15.92    5.33    3.17    2.29    1.96    2.19    2.18    0.06    0.05    0.03   93.76  117.27    0.00   16.04    0.00   77.73    0.49    0.00    0.00
 2009 181    25    39     1   163.3  152.1   11.2   20.59   22.24   16.71    5.73    3.31    2.30    2.12    2.11    2.11    0.06    0.05    0.03   97.68  120.13    0.00   17.21    0.00   80.47    1.23    0.00    0.00
 2009 182    26    39     1   165.4  154.5   11.0   24.43   22.19   16.69    5.63    3.29    2.29    2.22    2.04    2.03    0.06    0.05    0.03  101.48  122.98    0.00   18.36    0.00   83.11    1.68    0.00    0.00
 2009 183    27    39     1   167.7  156.9   10.9   27.52   22.08   16.79    5.58    3.28    2.29    2.28    2.03    1.98    0.06    0.05    0.03  105.17  125.62    0.00   19.48    0.00   85.68    1.98    0.00    0.00
 2009 184    28    39     1   169.5  158.9   10.6   33.94   21.24   16.29    5.49    3.26    2.28    2.25    1.98    1.92    0.06    0.05    0.03  108.59  128.20    0.00   20.54    0.00   88.04    2.53    0.00    0.00
 2009 185    29    39     1   171.2  160.9   10.3   34.62   21.49   16.65    5.49    3.27    2.28    2.12    1.93    1.88    0.06    0.05    0.03  111.89  130.76    0.00   21.54    0.00   90.35    3.16    0.00    0.00
 2009 186    30    39     1   172.7  162.7   10.0   35.26   21.72   17.00    5.48    3.28    2.29    1.96    1.87    1.83    0.06    0.05    0.03  115.08  133.27    0.00   22.54    0.00   92.54    3.85    0.00    0.00
 2009 187    31    39     1   174.0  164.4    9.6   35.88   21.93   17.32    5.48    3.29    2.30    1.77    1.81    1.77    0.06    0.05    0.03  118.18  135.74    0.00   23.53    0.00   94.65    4.67    0.00    0.00
 2009 188    32    39     1   175.2  166.2    9.1   29.87   25.47   17.65    5.46    3.30    2.31    1.56    1.73    1.70    0.06    0.05    0.03  121.27  138.26    0.00   24.55    0.00   96.72    5.49    0.00    0.00
 2009 189    33    39     1   176.7  167.8    8.9   29.62   26.07   17.98    5.45    3.31    2.31    1.74    1.66    1.62    0.06    0.05    0.03  124.90  140.78    0.00   25.78    0.00   99.12    6.42    0.00    0.00
 2009 190    34    39     1   178.3  169.6    8.7   15.28   24.15   22.21    6.72    3.31    2.31    1.86    1.60    1.55    0.06    0.05    0.03  128.35  143.17    0.00   26.98    0.00  101.37    7.05    0.00    0.00
 2009 191    35    39     1   179.3  170.4    8.9   15.90   21.21   21.77    7.78    3.51    2.31    2.01    1.64    1.55    0.05    0.05    0.03  131.79  145.20    0.00   28.17    0.00  103.63    8.33    0.00    0.00
 2009 192    36    39     1   180.9  171.7    9.1    7.12   13.66   20.71   10.86    5.03    2.51    2.15    1.70    1.55    0.05    0.05    0.03  134.92  147.06    0.00   29.20    0.00  105.72    8.82    0.00    0.00
 2009 193    37    39     1   181.4  171.9    9.5    8.81   12.12   17.26   10.71    5.84    3.83    2.24    1.82    1.59    0.05    0.05    0.03  137.60  148.54    0.00   29.98    0.00  107.62   10.22    0.00    0.00
 2009 194    38    39     1   182.2  172.4    9.8   11.66   12.09   16.09   10.51    6.01    4.09    2.31    1.90    1.61    0.05    0.05    0.04  140.57  150.39    0.00   30.76    0.00  109.81   11.56    0.02    0.00
 2009 195    39    39     1   182.8  172.8   10.0    7.50   11.35   16.16   11.12    6.30    4.17    2.29    1.97    1.67    0.05    0.05    0.04  143.55  152.30    0.00   31.51    0.00  112.04   12.94    0.22    0.00
 2009 196    40    39     1   181.2  170.9   10.3    7.60   10.20   14.56   11.11    6.80    4.45    2.38    2.04    1.69    0.05    0.05    0.04  146.24  154.00    0.07   32.19    0.00  114.05   13.74    3.02    0.00
 2009 197    41    39     1   181.6  171.1   10.5    6.30    9.85   14.41   11.35    6.94    4.53    2.38    2.07    1.75    0.05    0.05    0.05  149.23  156.03    0.08   32.86    0.00  116.37   15.36    3.31    0.00
 2009 198    42    39     1   181.6  170.9   10.7    7.11    9.58   13.94   11.35    7.04    4.58    2.42    2.09    1.78    0.05    0.05    0.05  152.15  158.06    0.11   33.52    0.00  118.63   17.23    3.65    0.00
 2009 199    43    39     1   181.4  170.6   10.7    4.97    8.30   13.49   11.74    7.44    4.75    2.39    2.10    1.81    0.05    0.05    0.05  155.16  160.24    0.14   34.17    0.00  120.99   19.07    4.36    0.00
 2009 200    44    39     1   177.5  166.5   10.9    5.21    7.45   11.91   11.26    7.76    5.11    2.45    2.16    1.83    0.05    0.05    0.05  157.83  162.08    0.32   34.74    0.00  123.09   20.38    8.85    0.00
 2009 201    45    39     1   176.9  165.9   11.0    6.14    7.49   11.56   11.07    7.78    5.17    2.41    2.15    1.88    0.05    0.05    0.06  160.74  164.27    0.37   35.29    0.00  125.45   22.25    9.80    0.00
 2009 202    46    39     1   176.8  165.8   11.1    7.72    7.95   11.63   10.80    7.63    5.11    2.36    2.16    1.91    0.05    0.05    0.06  163.74  166.54    0.37   35.85    0.00  127.89   24.79    9.80    0.00
 2009 203    47    85     2   222.7  165.8   56.9    8.22    8.26   11.85   10.65    7.54    5.06   57.67    2.14    1.91    0.05    0.05    0.06  166.60  168.86    0.37   36.40    0.00  130.20   27.21    9.80    0.00
 2009 204    48    85     2   222.3  176.2   46.1   20.67    8.59   12.11   10.53    7.46    5.03   44.76    2.10    1.89    0.04    0.05    0.06  169.35  181.13    0.37   37.07    0.00  132.28   29.69    9.80    0.00
 2009 205    49    85     2   220.8  183.7   37.1   30.52    8.88   12.31   10.36    7.35    4.97   34.22    2.03    1.85    0.04    0.05    0.06  172.02  191.47    0.37   37.73    0.00  134.29   33.21    9.80    0.00
 2009 206    50    85     2   219.1  189.3   29.8   38.45    9.16   12.50   10.17    7.22    4.90   25.74    1.94    1.79    0.04    0.05    0.06  174.64  200.33    0.37   38.37    0.00  136.27   36.90    9.80    0.00
 2009 207    51    85     2   219.3  194.6   24.7   44.26    9.51   12.80   10.09    7.17    4.88   19.90    1.86    1.73    0.04    0.05    0.06  177.17  207.21    0.37   38.99    0.00  138.18   38.57    9.80    0.00
 2009 208    52    85     2   217.5  196.8   20.7   35.27   16.28   12.94    9.89    7.04    4.81   15.61    1.76    1.65    0.04    0.05    0.06  179.59  212.74    0.37   39.60    0.00  139.99   42.16    9.80    0.00
 2009 209    53    85     2   216.0  198.6   17.4   36.46   17.47   13.13    9.73    6.94    4.75   11.93    1.73    1.58    0.04    0.05    0.06  182.44  217.82    0.37   40.38    0.00  142.06   45.68    9.80    0.00
 2009 210    54    85     2   215.5  200.6   15.0   34.80   19.46   13.75    9.57    6.84    4.70    9.24    1.70    1.51    0.04    0.05    0.06  185.25  222.14    0.37   41.16    0.00  144.08   48.23    9.80    0.00
 2009 211    55    85     2   216.1  202.7   13.4   35.43   19.90   14.42    9.48    6.79    4.68    7.46    1.69    1.47    0.04    0.05    0.05  187.98  225.60    0.37   41.95    0.00  146.03   49.58    9.80    0.00
 2009 212    56    85     2   213.9  201.9   12.0   38.81   19.46   14.23    9.23    6.64    4.60    6.03    1.65    1.42    0.04    0.05    0.05  190.64  228.65    0.37   42.74    0.00  147.90   53.63    9.80    0.00
 2009 213    57    85     2   214.6  203.5   11.0   16.80   22.28   18.96    9.95    6.62    4.59    5.01    1.63    1.39    0.04    0.05    0.05  193.09  231.28    0.37   43.47    0.00  149.63   54.71    9.80    0.00
 2009 214    58    85     2   215.1  204.4   10.7   15.95   19.55   18.33   11.54    6.58    4.58    4.64    1.63    1.38    0.04    0.05    0.05  195.66  233.16    0.37   44.44    0.00  151.22   55.79    9.80    0.00
 2009 215    59    85     2   213.3  203.1   10.2    7.24   12.35   18.42   13.74    7.99    4.51    4.08    1.62    1.38    0.04    0.05    0.05  198.34  235.29    0.37   45.38    0.00  152.97   59.34    9.80    0.00
 2009 216    60    85     2   213.2  203.0   10.2    7.27   11.03   16.43   13.78    8.82    5.06    3.84    1.70    1.39    0.04    0.05    0.05  200.68  236.86    0.37   46.11    0.00  154.57   61.02    9.80    0.00
 2009 217    61    85     2   208.9  198.9   10.0    8.00   10.37   14.89   13.16    9.03    5.51    3.51    1.73    1.42    0.04    0.05    0.05  203.23  238.79    0.37   46.81    0.00  156.43   63.01   13.94    0.00
 2009 218    62    85     2   207.9  197.9   10.0    9.45   10.46   14.50   12.94    8.95    5.53    3.21    1.76    1.47    0.04    0.05    0.06  205.99  240.83    0.38   47.49    0.00  158.51   65.77   14.27    0.00
 2009 219    63    85     2   209.7  199.7   10.0   10.71   10.83   14.71   12.88    8.93    5.53    2.98    1.80    1.53    0.04    0.05    0.06  208.80  242.92    0.38   48.17    0.00  160.63   66.12   14.27    0.00
 2009 220    64    85     2   210.7  200.8    9.9   11.40   11.12   14.95   12.83    8.90    5.52    2.75    1.81    1.56    0.04    0.05    0.06  211.46  244.97    0.38   48.85    0.00  162.61   67.04   14.27    0.00
 2009 221    65    85     2   209.7  200.1    9.6    6.62   11.66   15.66   13.12    8.78    5.46    2.49    1.78    1.56    0.05    0.05    0.06  213.93  246.97    0.38   49.50    0.00  164.43   69.83   14.27    0.00
 2009 222    66    85     2   211.3  201.7    9.7    6.71   10.92   15.15   13.27    9.24    5.65    2.49    1.78    1.57    0.05    0.05    0.06  216.49  248.79    0.38   50.20    0.00  166.29   69.83   14.52    0.00
 2009 223    67    85     2   213.3  203.6    9.7    7.92   11.22   15.50   13.21    9.21    5.65    2.41    1.81    1.59    0.05    0.05    0.06  219.10  250.72    0.38   50.88    0.00  168.22   69.83   14.52    0.00
 2009 224    68    85     2   215.2  205.6    9.6    5.43   10.65   16.08   13.82    9.32    5.65    2.34    1.81    1.58    0.05    0.05    0.05  221.76  252.74    0.38   51.59    0.00  170.17   69.83   14.52    0.00
 2009 225    69    85     2   216.5  207.0    9.6    5.88    9.92   15.17   13.92    9.82    5.94    2.34    1.80    1.56    0.05    0.04    0.05  224.42  254.70    0.38   52.34    0.00  172.08   69.83   15.12    0.00
 2009 226    70    85     2   218.6  209.1    9.5    5.57    9.91   15.43   14.16    9.93    5.95    2.26    1.80    1.58    0.05    0.04    0.05  227.25  256.83    0.38   53.07    0.00  174.18   69.83   15.12    0.00
 2009 227    71    85     2   219.7  210.3    9.5    5.82    9.63   15.06   14.20   10.16    6.16    2.25    1.79    1.57    0.05    0.04    0.05  229.95  258.83    0.38   53.79    0.00  176.15   69.83   15.97    0.00
 2009 228    72    85     2   221.8  212.3    9.5    5.66    9.85   15.39   14.40   10.15    6.16    2.19    1.80    1.58    0.05    0.04    0.05  232.70  260.89    0.38   54.50    0.00  178.19   69.83   15.97    0.00
 2009 229    73    85     2   223.7  214.2    9.5    6.32    9.89   15.35   14.48   10.35    6.16    2.16    1.80    1.59    0.05    0.04    0.05  235.33  262.84    0.40   55.21    0.00  180.12   69.83   15.97    0.00
 2009 230    74    85     2   225.5  216.1    9.4    4.41    9.40   15.67   14.86   10.58    6.25    2.13    1.81    1.58    0.05    0.04    0.05  237.86  264.72    0.41   55.87    0.00  181.99   69.83   15.97    0.00
 2009 231    75    85     2   225.3  215.8    9.4    4.74    8.79   14.73   14.74   10.89    6.63    2.16    1.80    1.57    0.05    0.04    0.05  240.24  266.45    0.43   56.53    0.00  183.71   69.83   17.94    0.00
 2009 232    76    85     2   227.2  217.7    9.4    5.83    9.07   14.90   14.79   10.85    6.63    2.12    1.80    1.58    0.05    0.04    0.05  242.78  268.36    0.43   57.17    0.00  185.62   69.83   17.94    0.00
 2009 233    77    85     2   229.1  219.7    9.4    4.59    8.98   15.26   15.28   10.82    6.62    2.08    1.80    1.58    0.05    0.04    0.05  245.31  270.31    0.43   57.81    0.00  187.50   69.83   17.94    0.00
 2009 234    78    85     2   230.1  220.8    9.4    4.69    8.46   14.47   15.15   11.40    6.95    2.12    1.78    1.57    0.05    0.04    0.05  247.74  272.10    0.43   58.46    0.00  189.28   69.83   18.65    0.00
 2009 235    79    85     2   231.4  222.0    9.3    2.83    6.44   13.71   15.75   12.09    7.27    2.07    1.78    1.58    0.05    0.04    0.05  250.29  274.03    0.43   59.09    0.00  191.20   69.83   19.32    0.00
 2009 236    80    85     2   226.7  217.2    9.4    3.28    5.96   12.01   14.82   12.31    7.96    2.10    1.81    1.59    0.05    0.04    0.05  252.58  275.68    0.43   59.63    0.00  192.95   69.83   25.74    0.00
 2009 237    81    85     2   227.7  218.2    9.5    4.10    6.17   11.77   14.67   12.43    8.09    2.06    1.80    1.62    0.05    0.04    0.05  255.09  277.65    0.43   60.15    0.00  194.94   69.83   26.71    0.00
 2009 238    82    85     2   229.7  220.2    9.5    5.17    6.71   12.09   14.61   12.39    8.08    2.02    1.80    1.65    0.05    0.04    0.05  257.64  279.63    0.43   60.68    0.00  196.97   69.83   26.71    0.00
