*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:33
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D   VPDF   VPD
 2009 157     1    9.0   12.7   13.6   11.4   22.8   0.62   35.2   18.5   26.7   29.6    3.9   26.7   29.6  190.1  387.1   0.00   0.00
 2009 158     2    0.0   12.7   13.6   22.9   45.8   0.24   34.2   21.5   27.7   29.9    7.7   27.7   29.9  138.2  387.1   0.00   0.00
 2009 159     3    0.0   12.7   13.6   10.1   20.2   0.66   35.0   23.5   29.1   31.1    6.3   29.1   31.1   95.0  387.1   0.00   0.00
 2009 160     4    0.0   12.7   13.6   11.7   23.4   0.61   35.8   23.5   29.5   31.6    1.2   29.5   31.6  233.3  387.1   0.00   0.00
 2009 161     5    0.0   12.7   13.6   15.8   31.6   0.47   38.2   26.2   32.1   34.2   -6.5   32.1   34.2   77.8  387.1   0.00   0.00
 2009 162     6   28.0   12.7   13.6    7.6   15.2   0.75   33.5   23.8   28.5   30.2   12.4   28.5   30.2  276.5  387.1   0.00   0.00
 2009 163     7    9.0   12.7   13.6   17.3   34.7   0.42   30.2   21.0   25.5   27.1    5.0   25.5   27.1  164.2  387.1   0.00   0.00
 2009 164     8    0.0   12.7   13.6   18.5   37.1   0.38   33.0   21.5   27.1   29.1    8.4   27.1   29.1  198.7  387.1   0.00   0.00
 2009 165     9   12.0   12.7   13.6   22.2   44.5   0.26   29.0   22.0   25.4   26.6   12.0   25.4   26.6   95.0  387.1   0.00   0.00
 2009 166    10    0.0   12.7   13.6   18.5   37.1   0.38   31.5   20.8   26.0   27.9    3.5   26.0   27.9  164.2  387.3   0.00   0.00
 2009 167    11    0.0   12.7   13.6   21.1   42.1   0.30   33.0   24.5   28.7   30.1   10.4   28.7   30.1  285.1  387.3   0.00   0.00
 2009 168    12    1.0   12.7   13.6   20.8   41.6   0.31   34.2   22.5   28.3   30.3   13.0   28.3   30.3  233.3  387.3   0.00   0.00
 2009 169    13    0.0   12.7   13.6   20.2   40.3   0.33   35.0   22.5   28.6   30.8   10.6   28.6   30.8   60.5  387.3   0.00   0.00
