*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D   TRWUD
 2010 150     1  24.39  36.90  22.00  6.986  0.000  6.986  0.837  0.000  0.837  0.000  0.000    6.99    0.84    0.00    0.84    0.00    0.00   0.701   0.089   0.027   0.013   0.005   0.002   0.000
 2010 151     2  20.94  36.00  25.25  5.790  0.000  5.790  5.613  0.000  5.613  0.000  0.000   12.78    6.45    0.00    6.45    0.00    0.00   1.525   1.159   0.927   0.946   0.589   0.466   0.000
 2010 152     3   9.45  36.40  18.50  2.781  0.000  2.781  2.781  0.000  2.781  0.000  0.000   15.56    9.23    0.00    9.23    0.00    0.00   0.801   0.572   0.475   0.479   0.253   0.200   0.000
 2010 153     4  17.79  35.25  23.50  5.025  0.000  5.025  5.025  0.000  5.025  0.000  0.000   20.58   14.26    0.00   14.26    0.00    0.00   1.319   0.991   0.838   0.975   0.517   0.385   0.000
 2010 154     5  22.99  34.50  25.00  6.234  0.000  6.234  5.723  0.000  5.723  0.000  0.000   26.81   19.98    0.00   19.98    0.00    0.00   1.392   1.119   0.957   1.153   0.647   0.455   0.000
 2010 155     6  13.90  33.80  24.50  3.662  0.000  3.662  0.972  0.000  0.972  0.000  0.000   30.48   20.95    0.00   20.95    0.00    0.00   0.793   0.117   0.036   0.018   0.005   0.002   0.000
 2010 156     7  20.44  33.75  24.25  5.316  0.009  5.306  0.909  0.009  0.900  0.000  0.000   35.79   21.86    0.01   21.85    0.00    0.00   0.722   0.116   0.036   0.018   0.005   0.002   0.001
 2010 157     8  25.92  35.50  23.50  6.913  0.023  6.890  0.857  0.023  0.833  0.000  0.000   42.71   22.72    0.03   22.68    0.00    0.00   0.656   0.116   0.036   0.018   0.005   0.002   0.002
 2010 158     9  23.54  37.40  21.50  6.785  0.036  6.750  1.047  0.036  1.011  0.000  0.000   49.49   23.76    0.07   23.69    0.00    0.00   0.831   0.119   0.036   0.018   0.005   0.002   0.004
 2010 159    10  22.78  36.25  23.00  6.619  0.048  6.570  5.784  0.048  5.737  0.000  0.000   56.11   29.55    0.12   29.43    0.00    0.00   1.480   1.105   0.924   1.138   0.639   0.451   0.005
 2010 160    11  21.59  34.25  25.45  5.787  0.054  5.732  5.787  0.054  5.732  0.000  0.000   61.90   35.33    0.17   35.16    0.00    0.00   1.566   1.173   0.906   1.073   0.598   0.416   0.005
 2010 161    12   9.42  25.00  19.50  2.313  0.027  2.285  2.313  0.027  2.285  0.000  0.000   64.21   37.65    0.20   37.45    0.00    0.00   0.677   0.466   0.356   0.406   0.228   0.152   0.003
 2010 162    13  25.57  29.50  22.00  6.798  0.112  6.685  6.327  0.112  6.215  0.000  0.000   71.01   43.97    0.31   43.66    0.00    0.00   1.675   1.201   0.986   1.177   0.735   0.440   0.011
 2010 163    14  24.67  34.50  23.00  6.617  0.154  6.462  6.042  0.154  5.888  0.000  0.000   77.63   50.02    0.46   49.55    0.00    0.00   1.439   1.121   0.957   1.158   0.777   0.436   0.015
 2010 164    15  18.59  35.50  25.20  5.126  0.163  4.961  1.156  0.163  0.993  0.000  0.000   82.75   51.17    0.63   50.55    0.00    0.00   0.814   0.117   0.036   0.018   0.006   0.002   0.016
 2010 165    16  24.21  35.45  23.50  6.505  0.271  6.230  1.184  0.271  0.913  0.000  0.000   89.26   52.36    0.90   51.46    0.00    0.00   0.734   0.116   0.036   0.018   0.006   0.002   0.027
 2010 166    17  24.20  34.00  25.00  6.273  0.342  5.926  1.177  0.342  0.835  0.000  0.000   95.53   53.53    1.24   52.29    0.00    0.00   0.658   0.115   0.036   0.018   0.006   0.002   0.034
 2010 167    18  26.12  34.75  25.00  6.752  0.458  6.289  1.221  0.458  0.763  0.000  0.000  102.28   54.75    1.70   53.06    0.00    0.00   0.588   0.113   0.036   0.018   0.006   0.002   0.046
 2010 168    19   9.41  31.80  20.50  2.268  0.188  2.078  1.265  0.188  1.077  0.000  0.000  104.55   56.02    1.89   54.13    0.00    0.00   0.895   0.119   0.036   0.018   0.006   0.002   0.019
 2010 169    20  21.67  31.25  23.50  5.781  0.533  5.243  5.776  0.533  5.243  0.000  0.000  110.33   61.80    2.42   59.38    0.00    0.00   1.391   0.978   0.824   1.003   0.670   0.376   0.053
 2010 170    21  24.33  34.50  23.25  6.468  0.689  5.771  1.782  0.689  1.093  0.000  0.000  116.80   63.58    3.11   60.47    0.00    0.00   0.914   0.117   0.036   0.018   0.006   0.002   0.069
 2010 171    22  24.33  35.00  24.50  6.466  0.795  5.662  1.786  0.795  0.992  0.000  0.000  123.26   65.36    3.90   61.46    0.00    0.00   0.815   0.115   0.035   0.018   0.006   0.002   0.079
 2010 172    23  23.44  35.50  25.00  6.345  0.903  5.433  1.892  0.903  0.989  0.000  0.000  129.61   67.26    4.81   62.45    0.00    0.00   0.814   0.113   0.035   0.018   0.006   0.002   0.090
 2010 173    24  18.71  34.75  22.00  4.866  0.797  4.063  1.783  0.797  0.986  0.000  0.000  134.48   69.04    5.60   63.43    0.00    0.00   0.814   0.111   0.035   0.018   0.006   0.002   0.080
 2010 174    25  20.04  34.75  21.50  5.135  0.944  4.182  1.839  0.944  0.895  0.000  0.000  139.61   70.88    6.55   64.33    0.00    0.00   0.726   0.109   0.034   0.018   0.006   0.002   0.094
 2010 175    26  22.69  35.50  25.50  6.091  1.242  4.832  6.074  1.242  4.832  0.000  0.000  145.70   76.95    7.79   69.16    0.00    0.00   1.219   0.971   0.762   0.923   0.616   0.341   0.124
 2010 176    27   9.40  34.00  18.50  2.473  0.562  1.901  2.462  0.562  1.901  0.000  0.000  148.17   79.41    8.35   71.06    0.00    0.00   0.499   0.374   0.296   0.355   0.243   0.135   0.056
 2010 177    28  20.18  34.50  22.50  5.350  1.330  4.003  5.333  1.330  4.003  0.000  0.000  153.52   84.75    9.68   75.07    0.00    0.00   1.027   0.763   0.627   0.760   0.528   0.298   0.133
 2010 178    29  12.95  31.25  21.00  3.249  0.887  2.352  3.239  0.887  2.352  0.000  0.000  156.77   87.99   10.57   77.42    0.00    0.00   0.630   0.472   0.364   0.426   0.293   0.166   0.089
 2010 179    30  24.32  31.50  23.25  6.433  1.901  4.519  6.420  1.901  4.519  0.000  0.000  163.21   94.41   12.47   81.94    0.00    0.00   1.171   0.883   0.697   0.826   0.574   0.369   0.190
 2010 180    31  22.85  33.75  23.50  5.987  1.913  4.062  5.975  1.913  4.062  0.000  0.000  169.19  100.38   14.38   86.00    0.00    0.00   1.042   0.764   0.620   0.745   0.521   0.369   0.191
 2010 181    32  17.83  33.50  21.50  4.624  1.591  3.016  4.607  1.591  3.016  0.000  0.000  173.82  104.99   15.97   89.01    0.00    0.00   0.749   0.552   0.465   0.569   0.399   0.282   0.159
 2010 182    33  16.79  33.50  20.00  4.247  1.561  2.663  2.662  1.561  1.102  0.000  0.000  178.06  107.65   17.53   90.12    0.00    0.00   0.920   0.119   0.036   0.018   0.007   0.003   0.156
 2010 183    34  17.09  31.50  22.00  4.249  1.661  2.559  2.659  1.661  0.999  0.000  0.000  182.31  110.31   19.20   91.11    0.00    0.00   0.820   0.116   0.035   0.018   0.007   0.003   0.166
 2010 184    35  16.80  31.25  21.50  4.114  1.723  2.378  2.627  1.723  0.904  0.000  0.000  186.43  112.94   20.92   92.02    0.00    0.00   0.728   0.114   0.035   0.018   0.007   0.003   0.172
 2010 185    36  24.79  33.50  21.50  6.170  2.730  3.416  3.547  2.730  0.817  0.000  0.000  192.60  116.48   23.65   92.84    0.00    0.00   0.645   0.111   0.034   0.018   0.007   0.003   0.273
 2010 186    37  21.25  35.25  23.50  5.481  2.563  2.889  3.291  2.563  0.727  0.000  0.000  198.08  119.77   26.21   93.56    0.00    0.00   0.560   0.107   0.033   0.018   0.007   0.003   0.256
 2010 187    38  19.77  35.00  22.45  4.972  2.457  2.478  3.121  2.457  0.664  0.000  0.000  203.05  122.89   28.67   94.23    0.00    0.00   0.501   0.104   0.032   0.017   0.006   0.003   0.246
 2010 188    39  18.44  33.00  22.40  4.526  2.362  2.137  2.974  2.362  0.612  0.000  0.000  207.58  125.87   31.03   94.84    0.00    0.00   0.453   0.101   0.032   0.017   0.006   0.003   0.236
 2010 189    40  18.45  33.50  24.25  4.599  2.526  2.057  3.092  2.526  0.566  0.000  0.000  212.18  128.96   33.56   95.41    0.00    0.00   0.412   0.097   0.031   0.017   0.006   0.003   0.253
 2010 190    41  19.20  34.00  21.50  4.710  2.656  2.042  3.178  2.654  0.524  0.000  0.000  216.89  132.14   36.21   95.93    0.00    0.00   0.374   0.094   0.030   0.017   0.006   0.003   0.265
 2010 191    42  16.98  34.00  19.50  4.101  2.351  1.722  3.153  2.351  0.802  0.000  0.000  220.99  135.29   38.56   96.73    0.00    0.00   0.656   0.091   0.029   0.016   0.006   0.003   0.235
 2010 192    43  21.44  34.50  21.00  5.437  3.179  2.222  5.401  3.179  2.222  0.000  0.000  226.42  140.69   41.74   98.95    0.00    0.00   0.631   0.417   0.314   0.379   0.278   0.203   0.318
 2010 193    44  12.83  31.75  20.50  3.212  1.936  1.269  3.206  1.936  1.269  0.000  0.000  229.64  143.90   43.68  100.22    0.00    0.00   0.365   0.268   0.194   0.202   0.140   0.100   0.194
 2010 194    45  26.06  32.00  21.50  6.595  4.019  2.555  6.575  4.019  2.555  0.000  0.000  236.23  150.47   47.69  102.78    0.00    0.00   0.657   0.492   0.403   0.458   0.313   0.233   0.402
 2010 195    46  21.31  33.50  22.50  5.421  3.370  2.022  5.392  3.370  2.022  0.000  0.000  241.65  155.86   51.06  104.80    0.00    0.00   0.488   0.373   0.314   0.376   0.263   0.208   0.337
