*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-60   60-90  90-120
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    
 2010 149     0   228    89      0      0      0     0     0     0    0.00   0.0   0.0   0.00   0.190   0.190   0.190   0.190   0.190   0.190
 2010 150     1   227    88      0      0      0     0     0    60    0.00   0.0   0.0   0.00   0.176   0.189   0.190   0.190   0.190   0.190
 2010 151     2   272   132      0      0     50     0     0   120    0.00   0.0   0.0   0.00   0.309   0.316   0.294   0.225   0.188   0.188
 2010 152     3   272   133      0      0     53     0     0   120    0.00   0.0   0.0   0.00   0.288   0.283   0.280   0.249   0.187   0.188
 2010 153     4   267   128      0      0     53     0     0   120    0.00   0.0   0.0   0.00   0.238   0.253   0.256   0.246   0.205   0.186
 2010 154     5   261   122      0      0     53     0     0   120    0.00   0.0   0.0   0.00   0.210   0.239   0.245   0.245   0.203   0.185
 2010 155     6   260   121      0      0     53     0     0   120    0.00   0.0   0.0   0.00   0.195   0.238   0.245   0.245   0.203   0.185
 2010 156     7   259   120      0      0     53     0     0   120    0.00   0.0   0.0   0.00   0.180   0.237   0.245   0.245   0.203   0.185
 2010 157     8   258   119      0      0     53     0     0   120    0.00   0.0   0.0   0.00   0.167   0.236   0.245   0.244   0.203   0.185
 2010 158     9   264   125      0      0     60     0     0   120    0.00   0.0   0.0   0.00   0.254   0.247   0.244   0.244   0.203   0.185
 2010 159    10   258   119      0      0     60     0     0   120    0.00   0.0   0.0   0.00   0.221   0.237   0.238   0.241   0.201   0.183
 2010 160    11   276   137      0      0     84     0     0   120    0.00   0.0   0.0   0.00   0.307   0.305   0.266   0.249   0.204   0.182
 2010 161    12   282   143      0      0     92     0     0   120    0.00   0.0   0.0   0.00   0.325   0.292   0.272   0.255   0.215   0.182
 2010 162    13   276   136      0      0     92     0     0   120    0.00   0.0   0.0   0.00   0.245   0.254   0.252   0.248   0.239   0.180
 2010 163    14   269   130      0      0     92     0     0   120    0.00   0.0   0.0   0.00   0.215   0.239   0.245   0.245   0.237   0.179
 2010 164    15   268   129      0      0     92     0     0   120    0.00   0.0   0.0   0.00   0.197   0.237   0.245   0.245   0.237   0.179
 2010 165    16   267   128      0      0     92     0     0   120    0.00   0.0   0.0   0.00   0.180   0.235   0.244   0.245   0.237   0.179
 2010 166    17   266   127      0      0     92     0     0   120    0.00   0.0   0.0   0.00   0.165   0.232   0.243   0.245   0.237   0.179
 2010 167    18   265   126      0      0     92     0     0   120    0.00   0.0   0.0   0.00   0.151   0.229   0.242   0.244   0.237   0.179
 2010 168    19   275   136      0      0    104     0     0   120    0.00   0.0   0.0   0.00   0.296   0.254   0.249   0.244   0.237   0.179
 2010 169    20   270   131      0      0    104     0     0   120    0.00   0.0   0.0   0.00   0.237   0.239   0.242   0.246   0.236   0.177
 2010 170    21   268   129      0      0    104     0     0   120    0.00   0.0   0.0   0.00   0.215   0.236   0.241   0.245   0.236   0.177
 2010 171    22   266   127      0      0    104     0     0   120    0.00   0.0   0.0   0.00   0.195   0.232   0.239   0.245   0.236   0.177
 2010 172    23   266   127      0      0    106     0     0   120    0.00   0.0   0.0   0.00   0.215   0.229   0.237   0.244   0.236   0.177
 2010 173    24   264   125      0      0    106     0     0   120    0.00   0.0   0.0   0.00   0.195   0.225   0.235   0.244   0.235   0.177
 2010 174    25   263   123      0      0    106     0     0   120    0.00   0.0   0.0   0.00   0.177   0.221   0.233   0.243   0.235   0.177
 2010 175    26   285   145      0      0    134     0     0   120    0.00   0.0   0.0   0.00   0.310   0.305   0.262   0.249   0.239   0.176
 2010 176    27   282   143      0      0    134     0     0   120    0.00   0.0   0.0   0.00   0.262   0.266   0.251   0.247   0.248   0.187
 2010 177    28   278   139      0      0    135     0     0   120    0.00   0.0   0.0   0.00   0.243   0.249   0.247   0.248   0.246   0.186
 2010 178    29   300   161      0      0    160     0     0   120    0.00   0.0   0.0   0.00   0.324   0.320   0.277   0.256   0.252   0.192
 2010 179    30   293   154      0      0    160     0     0   120    0.00   0.0   0.0   0.00   0.250   0.264   0.252   0.248   0.248   0.227
 2010 180    31   293   153      0      0    165     0     0   120    0.00   0.0   0.0   0.00   0.270   0.254   0.249   0.247   0.248   0.226
 2010 181    32   288   149      0      0    165     0     0   120    0.00   0.0   0.0   0.00   0.238   0.242   0.243   0.246   0.247   0.225
 2010 182    33   285   146      0      0    165     0     0   120    0.00   0.0   0.0   0.00   0.216   0.238   0.240   0.244   0.246   0.225
 2010 183    34   283   143      0      0    165     0     0   120    0.00   0.0   0.0   0.00   0.196   0.233   0.237   0.243   0.246   0.225
 2010 184    35   280   141      0      0    165     0     0   120    0.00   0.0   0.0   0.00   0.178   0.229   0.234   0.241   0.245   0.225
 2010 185    36   276   137      0      0    165     0     0   120    0.00   0.0   0.0   0.00   0.159   0.222   0.229   0.238   0.244   0.224
 2010 186    37   273   134      0      0    165     0     0   120    0.00   0.0   0.0   0.00   0.146   0.216   0.224   0.236   0.243   0.224
 2010 187    38   270   131      0      0    165     0     0   120    0.00   0.0   0.0   0.00   0.135   0.210   0.219   0.233   0.241   0.223
 2010 188    39   267   128      0      0    165     0     0   120    0.00   0.0   0.0   0.00   0.126   0.205   0.215   0.230   0.240   0.223
 2010 189    40   264   125      0      0    165     0     0   120    0.00   0.0   0.0   0.00   0.118   0.199   0.210   0.228   0.239   0.222
 2010 190    41   261   122      0      0    165     0     0   120    0.00   0.0   0.0   0.00   0.110   0.193   0.205   0.225   0.237   0.222
 2010 191    42   265   125      0      0    172     0     0   120    0.00   0.0   0.0   0.00   0.237   0.188   0.201   0.222   0.236   0.221
 2010 192    43   289   150      0      0    202     0     0   120    0.00   0.0   0.0   0.00   0.321   0.314   0.253   0.226   0.234   0.220
 2010 193    44   308   169      0      0    224     0     0   120    0.00   0.0   0.0   0.00   0.328   0.321   0.299   0.254   0.243   0.219
 2010 194    45   300   161      0      1    224     0     0   120    0.00   0.0   0.0   0.00   0.260   0.266   0.260   0.245   0.246   0.247
 2010 195    46   295   156      0      1    224     0     0   120    0.00   0.0   0.0   0.00   0.238   0.246   0.246   0.244   0.246   0.247
 2010 196    47   290   151      0      1    224     0     0   120    0.00   0.0   0.0   0.00   0.213   0.239   0.240   0.241   0.245   0.246
 2010 197    48   287   148      0      1    225     0     0   120    0.00   0.0   0.0   0.00   0.220   0.232   0.234   0.238   0.243   0.246
 2010 198    49   283   144      0      1    225     0     0   120    0.00   0.0   0.0   0.00   0.198   0.226   0.229   0.234   0.241   0.245
 2010 199    50   278   139      0      1    225     0     0   120    0.00   0.0   0.0   0.00   0.176   0.218   0.223   0.230   0.239   0.244
 2010 200    51   276   137      0      1    228     0     0   120    0.00   0.0   0.0   0.00   0.213   0.210   0.216   0.226   0.237   0.243
 2010 201    52   273   134      0      1    228     0     0   120    0.00   0.0   0.0   0.00   0.194   0.206   0.212   0.224   0.236   0.242
 2010 202    53   268   129      0      1    228     0     0   120    0.00   0.0   0.0   0.00   0.172   0.198   0.206   0.220   0.234   0.241
 2010 203    54   283   144      0      1    248     0     0   120    0.00   0.0   0.0   0.00   0.327   0.268   0.226   0.216   0.231   0.240
 2010 204    55   318   179      0      1    286     0     0   120    0.00   0.0   0.0   0.00   0.333   0.323   0.319   0.256   0.244   0.239
 2010 205    56   320   181      0      1    290     0     0   120    0.00   0.0   0.0   0.00   0.318   0.293   0.293   0.264   0.256   0.251
 2010 206    57   302   163      0     14    290     0     0   120    0.00   0.0   0.0   0.00   0.263   0.258   0.259   0.250   0.249   0.249
 2010 207    58   296   157      0     16    290     0     0   120    0.00   0.0   0.0   0.00   0.244   0.246   0.247   0.247   0.247   0.248
 2010 208    59   335   196      0     20    338     0     0   119    0.00   0.0   0.0   0.00   0.327   0.320   0.321   0.274   0.264   0.257
 2010 209    60   310   170      0     42    338     0     0   120    0.00   0.0   0.0   0.00   0.271   0.271   0.273   0.256   0.253   0.251
 2010 210    61   336   197      0     47    373     0     0   118    0.00   0.0   0.0   0.00   0.330   0.322   0.323   0.272   0.265   0.259
 2010 211    62   325   186      0     54    374     0     0   118    0.00   0.0   0.0   0.00   0.284   0.282   0.288   0.268   0.267   0.264
 2010 212    63   320   181      0     61    382     0     0   118    0.00   0.0   0.0   0.00   0.324   0.274   0.271   0.261   0.263   0.263
 2010 213    64   343   204      0     71    420     0     0   117    0.00   0.0   0.0   0.00   0.325   0.319   0.320   0.280   0.273   0.269
 2010 214    65   329   190      0     82    423     0     0   117    0.00   0.0   0.0   0.00   0.294   0.281   0.286   0.269   0.271   0.270
 2010 215    66   320   181      0     91    428     0     0   117    0.00   0.0   0.0   0.00   0.302   0.269   0.268   0.260   0.265   0.267
 2010 216    67   340   201      0    100    463     0     0   117    0.00   0.0   0.0   0.00   0.325   0.319   0.320   0.273   0.270   0.269
 2010 217    68   309   170      0    125    463     0     0   119    0.00   0.0   0.0   0.00   0.265   0.268   0.270   0.254   0.254   0.255
 2010 218    69   327   187      0    129    489     0     0   119    0.00   0.0   0.0   0.00   0.328   0.321   0.295   0.263   0.259   0.257
 2010 219    70   326   187      0    135    500     0     0   118    0.00   0.0   0.0   0.00   0.324   0.310   0.288   0.264   0.262   0.260
 2010 220    71   317   177      0    141    501     0     0   118    0.00   0.0   0.0   0.00   0.284   0.277   0.273   0.260   0.260   0.260
 2010 221    72   304   164      0    152    501     0     0   119    0.00   0.0   0.0   0.00   0.258   0.257   0.256   0.251   0.252   0.252
 2010 222    73   297   158      0    154    501     0     0   120    0.00   0.0   0.0   0.00   0.243   0.246   0.247   0.248   0.248   0.249
 2010 223    74   301   162      0    154    508     0     0   120    0.00   0.0   0.0   0.00   0.304   0.259   0.250   0.249   0.246   0.248
 2010 224    75   296   157      0    155    508     0     0   120    0.00   0.0   0.0   0.00   0.261   0.247   0.245   0.246   0.247   0.247
 2010 225    76   291   151      0    155    508     0     0   120    0.00   0.0   0.0   0.00   0.240   0.241   0.239   0.241   0.243   0.245
 2010 226    77   368   229      0    168    601     0     0   116    0.00   0.0   0.0   0.00   0.332   0.323   0.324   0.325   0.299   0.277
 2010 227    78   322   182      0    209    601     0     0   119    0.00   0.0   0.0   0.00   0.271   0.272   0.273   0.275   0.266   0.258
 2010 228    79   302   162      0    223    601     0     0   120    0.00   0.0   0.0   0.00   0.242   0.249   0.251   0.254   0.252   0.250
 2010 229    80   331   192      0    227    639     0     0   119    0.00   0.0   0.0   0.00   0.327   0.321   0.312   0.268   0.261   0.256
 2010 230    81   306   167      0    247    639     0     0   120    0.00   0.0   0.0   0.00   0.267   0.270   0.268   0.252   0.251   0.250
 2010 231    82   296   157      0    251    639     0     0   120    0.00   0.0   0.0   0.00   0.241   0.249   0.250   0.245   0.247   0.247
 2010 232    83   290   151      0    251    639     0     0   120    0.00   0.0   0.0   0.00   0.225   0.240   0.242   0.240   0.243   0.244
 2010 233    84   307   168      0    251    660     0     0   120    0.00   0.0   0.0   0.00   0.332   0.301   0.266   0.249   0.245   0.242
 2010 234    85   299   160      0    255    660     0     0   120    0.00   0.0   0.0   0.00   0.270   0.263   0.251   0.246   0.246   0.247
 2010 235    86   293   154      0    255    660     0     0   120    0.00   0.0   0.0   0.00   0.242   0.247   0.244   0.244   0.244   0.244
 2010 236    87   291   151      0    255    661     0     0   120    0.00   0.0   0.0   0.00   0.233   0.246   0.241   0.242   0.243   0.243
 2010 237    88   286   147      0    255    661     0     0   120    0.00   0.0   0.0   0.00   0.211   0.241   0.237   0.239   0.240   0.241
 2010 238    89   305   166      0    255    685     0     0   120    0.00   0.0   0.0   0.00   0.324   0.309   0.266   0.248   0.241   0.238
 2010 239    90   300   161      0    256    685     0     0   120    0.00   0.0   0.0   0.00   0.268   0.267   0.251   0.246   0.247   0.247
 2010 240    91   314   175      0    257    706     0     0   120    0.00   0.0   0.0   0.00   0.321   0.317   0.275   0.253   0.250   0.248
 2010 241    92   300   161      0    266    706     0     0   120    0.00   0.0   0.0   0.00   0.261   0.268   0.254   0.247   0.247   0.247
 2010 242    93   294   154      0    266    706     0     0   120    0.00   0.0   0.0   0.00   0.234   0.247   0.244   0.244   0.245   0.246
 2010 243    94   319   179      0    267    736     0     0   120    0.00   0.0   0.0   0.00   0.325   0.321   0.287   0.257   0.252   0.249
 2010 244    95   327   187      0    270    751     0     0   119    0.00   0.0   0.0   0.00   0.326   0.321   0.296   0.265   0.259   0.255
 2010 245    96   321   182      0    275    755     0     0   119    0.00   0.0   0.0   0.00   0.305   0.288   0.281   0.263   0.261   0.258
 2010 246    97   337   198      0    282    782     0     0   118    0.00   0.0   0.0   0.00   0.326   0.322   0.315   0.273   0.268   0.263
 2010 247    98   311   171      0    305    782     0     0   119    0.00   0.0   0.0   0.00   0.269   0.273   0.272   0.256   0.255   0.253
 2010 248    99   299   160      0    312    782     0     0   120    0.00   0.0   0.0   0.00   0.242   0.252   0.253   0.249   0.249   0.248
 2010 249   100   352   213      0    321    846     0     0   117    0.00   0.0   0.0   0.00   0.332   0.324   0.325   0.301   0.280   0.267
 2010 250   101   316   177      0    353    846     0     0   119    0.00   0.0   0.0   0.00   0.270   0.273   0.275   0.267   0.259   0.254
 2010 251   102   316   177      0    357    855     0     0   119    0.00   0.0   0.0   0.00   0.321   0.273   0.267   0.260   0.259   0.256
 2010 252   103   317   178      0    361    864     0     0   119    0.00   0.0   0.0   0.00   0.326   0.286   0.269   0.258   0.258   0.257
 2010 253   104   300   161      0    372    864     0     0   120    0.00   0.0   0.0   0.00   0.260   0.255   0.251   0.248   0.249   0.249
