*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2013 265     0   0.000    0.00       0    0.00
 2013 266     1   0.000    0.00       0    0.00
 2013 267     2   0.000    0.00       0    0.00
 2013 268     3   0.000    0.00       0    0.00
 2013 269     4   0.000    0.00       0    0.00
 2013 270     5   0.000    0.00       0    0.00
 2013 271     6   0.000    0.00       0    0.00
 2013 272     7   0.000    0.00       0    0.00
 2013 273     8   0.000    0.00       0    0.00
 2013 274     9   0.000    0.00       0    0.00
 2013 275    10   0.000    0.00       0    0.00
 2013 276    11   0.000    0.00       0    0.00
 2013 277    12   0.000    0.00       0    0.00
 2013 278    13   0.000    0.00       0    0.00
 2013 279    14   0.000    0.00       0    0.00
 2013 280    15   0.000    0.00       0    0.00
 2013 281    16   0.000    0.00       0    0.00
 2013 282    17   0.000    0.00       0    0.00
 2013 283    18   0.000    0.00       0    0.00
 2013 284    19   0.000    0.00       0    0.00
 2013 285    20   0.000    0.00       0    0.00
 2013 286    21   0.000    0.00       0    0.00
 2013 287    22   0.000    0.00       0    0.00
 2013 288    23   0.000    0.00       0    0.00
 2013 289    24   0.000    0.00       0    0.00
 2013 290    25   0.000    0.00       0    0.00
 2013 291    26   0.000    0.00       0    0.00
 2013 292    27   0.000    0.00       0    0.00
 2013 293    28   0.000    0.00       0    0.00
 2013 294    29   0.000    0.00       0    0.00
 2013 295    30   0.000    0.00       0    0.00
 2013 296    31   0.000    0.00       0    0.00
 2013 297    32   0.000    0.00       0    0.00
 2013 298    33   0.000    0.00       0    0.00
 2013 299    34   0.000    0.00       0    0.00
 2013 300    35   0.000    0.00       0    0.00
 2013 301    36   0.000    0.00       0    0.00
 2013 302    37   0.000    0.00       0    0.00
 2013 303    38   0.000    0.00       0    0.00
 2013 304    39   0.000    0.00       0    0.00
 2013 305    40   0.000    0.00       0    0.00
 2013 306    41   0.000    0.00       0    0.00
 2013 307    42   0.000    0.00       0    0.00
 2013 308    43   0.000    0.00       0    0.00
 2013 309    44   0.000    0.00       0    0.00
 2013 310    45   0.000    0.00       0    0.00
 2013 311    46   0.000    0.00       0    0.00
 2013 312    47   0.000    0.00       0    0.00
 2013 313    48   0.000    0.00       0    0.00
 2013 314    49   0.000    0.00       0    0.00
 2013 315    50   0.000    0.00       0    0.00
 2013 316    51   0.000    0.00       0    0.00
 2013 317    52   0.000    0.00       0    0.00
 2013 318    53   0.000    0.00       0    0.00
 2013 319    54   0.000    0.00       0    0.00
 2013 320    55   0.000    0.00       0    0.00
 2013 321    56   0.000    0.00       0    0.00
 2013 322    57   0.000    0.00       0    0.00
 2013 323    58   0.000    0.00       0    0.00
 2013 324    59   0.000    0.00       0    0.00
