*SOM N DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                                                                                                                                                                                                                                                                                                                Cumul.
!               <---- SOM N in top layers ----> <---------------- Total Soil Organic Nitrogen ----------------> <-------- Active Soil Organic Nitrogen (SOM1) --------> <---- Intermediate Soil Organic N (SOM2) -----> <------- Passive Soil Organic N (SOM3) -------> <----------------- Litter Nitrogen -------------------> <------------- Metabolic Litter Nitrogen -------------> <------------ Structural Litter Nitrogen ------------->  Res. N
!               20cm-kg  20cm-% 40cm-kg  40cm-%   Total Surface    Soil     0-5    5-15   15-30   30-53  53-100 Surface    Soil     0-5    5-15   15-30   30-53  53-100    Soil     0-5    5-15   15-30   30-53  53-100    Soil     0-5    5-15   15-30   30-53  53-100 Surface    Soil     0-5    5-15   15-30   30-53  53-100 Surface    Soil     0-5    5-15   15-30   30-53  53-100 Surface    Soil     0-5    5-15   15-30   30-53  53-100 (kg/ha)
@YEAR DOY   DAS  SNS20D  SN%20D  SNS40D  SN%40D    SOND    SN0D    SNTD    SN1D    SN2D    SN3D    SN4D   SN5+D   S1N0D   S1NTD   S1N1D   S1N2D   S1N3D   S1N4D  S1N5+D   S2NTD   S2N1D   S2N2D   S2N3D   S2N4D  S2N5+D   S3NTD   S3N1D   S3N2D   S3N3D   S3N4D  S3N5+D    LN0D    LNTD    LN1D    LN2D    LN3D    LN4D   LN5+D   MEN0D   MENTD   MEN1D   MEN2D   MEN3D   MEN4D  MEN5+D   STN0D   STNTD   STN1D   STN2D   STN3D   STN4D  STN5+D   RESNC
 2013 265     0    1980   0.071    2163   0.077   11186       0   11186     495     991    1488    2696    5516       0     116      18      37      55       2       4    1300     205     411     618      21      44    9765     271     542     814    2672    5467    0.00    4.50    0.67    1.06    1.10    0.95    0.72    0.00    4.11    0.61    0.97    1.00    0.87    0.66    0.00    0.39    0.06    0.09    0.10    0.08    0.06       0
 2013 266     1    1979   0.071    2163   0.077   11184       0   11184     495     991    1487    2696    5516       0     115      18      37      55       2       4    1299     205     411     618      21      44    9765     271     542     814    2672    5467    0.00    4.34    0.64    1.03    1.06    0.92    0.70    0.00    3.95    0.58    0.93    0.96    0.83    0.63    0.00    0.39    0.06    0.09    0.10    0.08    0.06       0
 2013 267     2    1978   0.071    2162   0.077   11183       0   11183     495     990    1487    2696    5516       0     115      18      36      54       2       4    1299     205     411     618      21      44    9765     271     542     814    2672    5467    0.00    4.18    0.62    0.99    1.02    0.88    0.67    0.00    3.79    0.56    0.90    0.92    0.80    0.61    0.00    0.39    0.06    0.09    0.10    0.08    0.06       0
 2013 268     3    1978   0.071    2162   0.077   11182       0   11182     494     990    1486    2696    5515       0     114      18      36      54       2       4    1299     205     411     617      21      44    9765     271     542     814    2672    5467    0.00    4.04    0.60    0.96    0.98    0.85    0.65    0.00    3.65    0.54    0.86    0.89    0.77    0.59    0.00    0.39    0.06    0.09    0.09    0.08    0.06       0
 2013 269     4    1977   0.071    2161   0.077   11180       0   11180     494     989    1485    2696    5515       0     113      18      36      54       2       4    1299     205     411     617      21      44    9765     271     542     814    2672    5467    0.00    3.91    0.58    0.92    0.95    0.82    0.63    0.00    3.52    0.53    0.83    0.86    0.74    0.56    0.00    0.39    0.06    0.09    0.09    0.08    0.06       0
 2013 270     5    1976   0.071    2161   0.077   11179       0   11179     494     989    1485    2696    5515       0     112      18      35      53       2       4    1298     205     411     617      21      44    9765     271     542     814    2672    5467    0.00    3.77    0.56    0.89    0.92    0.80    0.60    0.00    3.38    0.50    0.80    0.82    0.71    0.54    0.00    0.39    0.06    0.09    0.09    0.08    0.06       0
 2013 271     6    1976   0.071    2161   0.077   11178       0   11178     494     989    1484    2696    5515       0     112      18      35      53       2       4    1298     205     411     617      21      44    9765     271     542     814    2672    5467    0.00    3.63    0.54    0.86    0.88    0.77    0.58    0.00    3.24    0.48    0.77    0.79    0.68    0.52    0.00    0.39    0.06    0.09    0.09    0.08    0.06       0
 2013 272     7    1975   0.071    2160   0.077   11177       0   11177     494     988    1484    2696    5515       0     111      18      35      52       2       4    1298     205     411     617      21      44    9765     271     542     814    2672    5467    0.00    3.50    0.52    0.83    0.85    0.74    0.56    0.00    3.11    0.46    0.74    0.76    0.66    0.50    0.00    0.39    0.06    0.09    0.09    0.08    0.06       0
 2013 273     8    1974   0.071    2160   0.077   11175       0   11175     494     988    1483    2696    5515       0     110      17      35      52       2       4    1297     205     411     617      21      44    9765     271     542     814    2672    5467    0.00    3.36    0.49    0.80    0.82    0.71    0.54    0.00    2.97    0.43    0.71    0.73    0.63    0.48    0.00    0.38    0.06    0.09    0.09    0.08    0.06       0
 2013 274     9    1973   0.070    2160   0.077   11174       0   11174     493     987    1483    2696    5515       0     109      17      34      51       2       4    1297     205     411     617      21      44    9764     271     542     814    2672    5467    0.00    3.23    0.47    0.76    0.79    0.69    0.52    0.00    2.84    0.41    0.67    0.70    0.61    0.46    0.00    0.38    0.06    0.09    0.09    0.08    0.06       0
 2013 275    10    1973   0.070    2159   0.077   11173       0   11173     493     987    1482    2696    5515       0     108      17      34      51       2       4    1297     205     410     616      21      44    9764     271     542     814    2672    5467    0.00    3.10    0.45    0.73    0.76    0.66    0.50    0.00    2.71    0.39    0.64    0.66    0.58    0.44    0.00    0.38    0.06    0.09    0.09    0.08    0.06       0
 2013 276    11    1972   0.070    2159   0.077   11171       0   11171     493     986    1481    2696    5515       0     107      17      34      50       2       4    1297     205     410     616      21      44    9764     271     542     814    2672    5467    0.00    2.97    0.43    0.69    0.72    0.64    0.49    0.00    2.59    0.37    0.60    0.63    0.56    0.43    0.00    0.38    0.06    0.09    0.09    0.08    0.06       0
 2013 277    12    1971   0.070    2158   0.077   11170       0   11170     493     986    1480    2696    5515       0     106      17      33      50       2       4    1296     205     410     616      21      44    9764     271     542     814    2672    5467    0.00    2.85    0.41    0.66    0.69    0.62    0.47    0.00    2.47    0.35    0.57    0.59    0.54    0.41    0.00    0.38    0.06    0.09    0.09    0.08    0.06       0
 2013 278    13    1970   0.070    2158   0.077   11168       0   11168     493     986    1480    2696    5515       0     105      17      33      49       2       4    1296     205     410     616      21      44    9764     271     542     814    2672    5467    0.00    2.73    0.39    0.63    0.66    0.60    0.46    0.00    2.35    0.33    0.54    0.56    0.52    0.40    0.00    0.38    0.06    0.09    0.09    0.08    0.06       0
 2013 279    14    1969   0.070    2157   0.077   11167       0   11167     492     985    1479    2696    5515       0     104      16      33      49       2       4    1296     205     410     616      21      44    9764     271     542     814    2671    5467    0.00    2.62    0.37    0.60    0.63    0.58    0.44    0.00    2.25    0.32    0.51    0.53    0.50    0.38    0.00    0.38    0.06    0.09    0.09    0.08    0.06       0
 2013 280    15    1969   0.070    2157   0.077   11165       0   11165     492     985    1478    2695    5515       0     103      16      32      48       2       4    1296     205     410     616      21      44    9764     271     542     814    2671    5467    0.00    2.52    0.36    0.58    0.60    0.55    0.43    0.00    2.14    0.31    0.49    0.50    0.47    0.37    0.00    0.38    0.06    0.09    0.09    0.08    0.06       0
 2013 281    16    1968   0.070    2156   0.077   11164       0   11164     492     984    1478    2695    5514       0     102      16      32      48       2       4    1295     205     410     616      21      44    9764     271     542     814    2671    5467    0.00    2.42    0.35    0.55    0.57    0.53    0.42    0.00    2.04    0.29    0.46    0.48    0.45    0.36    0.00    0.38    0.06    0.09    0.09    0.08    0.06       0
 2013 282    17    1967   0.070    2156   0.077   11163       0   11163     492     984    1477    2695    5514       0     101      16      32      47       2       4    1295     205     410     615      21      43    9764     271     542     814    2671    5467    0.00    2.32    0.34    0.53    0.54    0.51    0.40    0.00    1.95    0.28    0.44    0.45    0.43    0.34    0.00    0.37    0.06    0.09    0.09    0.08    0.06       0
 2013 283    18    1966   0.070    2156   0.077   11161       0   11161     492     983    1476    2695    5514       0     100      16      31      47       2       4    1295     205     410     615      21      43    9764     271     542     814    2671    5467    0.00    2.23    0.33    0.50    0.51    0.49    0.39    0.00    1.85    0.28    0.41    0.42    0.41    0.33    0.00    0.37    0.06    0.09    0.09    0.08    0.06       0
 2013 284    19    1966   0.070    2155   0.077   11160       0   11160     492     983    1476    2695    5514       0      99      16      31      46       2       4    1295     205     410     615      21      43    9764     271     542     814    2671    5467    0.00    2.13    0.32    0.48    0.49    0.47    0.38    0.00    1.76    0.26    0.39    0.40    0.39    0.32    0.00    0.37    0.06    0.09    0.09    0.08    0.06       0
 2013 285    20    1965   0.070    2155   0.077   11158       0   11158     491     983    1475    2695    5514       0      98      16      31      46       2       4    1294     205     410     615      21      43    9764     271     542     814    2671    5466    0.00    2.04    0.30    0.46    0.46    0.46    0.37    0.00    1.67    0.25    0.37    0.37    0.38    0.31    0.00    0.37    0.06    0.09    0.09    0.08    0.06       0
 2013 286    21    1964   0.070    2154   0.077   11157       0   11157     491     982    1474    2695    5514       0      97      16      30      45       2       4    1294     205     410     615      21      43    9764     271     542     814    2671    5466    0.00    1.96    0.29    0.43    0.44    0.44    0.35    0.00    1.59    0.23    0.35    0.35    0.36    0.29    0.00    0.37    0.05    0.09    0.09    0.08    0.06       0
 2013 287    22    1963   0.070    2154   0.077   11156       0   11156     491     982    1474    2695    5514       0      96      15      30      45       2       4    1294     205     409     615      21      43    9764     271     542     814    2671    5466    0.00    1.88    0.27    0.41    0.42    0.42    0.34    0.00    1.51    0.22    0.33    0.33    0.35    0.28    0.00    0.37    0.05    0.09    0.09    0.08    0.06       0
 2013 288    23    1962   0.070    2153   0.077   11154       0   11154     491     981    1473    2695    5514       0      95      15      30      44       2       4    1293     205     409     615      21      43    9764     271     542     814    2671    5466    0.00    1.81    0.26    0.40    0.40    0.41    0.33    0.00    1.44    0.21    0.31    0.31    0.33    0.27    0.00    0.37    0.05    0.09    0.09    0.08    0.06       0
 2013 289    24    1962   0.070    2153   0.077   11153       0   11153     491     981    1472    2695    5514       0      95      15      29      44       2       4    1293     205     409     614      21      43    9763     271     542     814    2671    5466    0.00    1.74    0.25    0.38    0.38    0.40    0.33    0.00    1.37    0.20    0.29    0.30    0.32    0.27    0.00    0.37    0.05    0.09    0.09    0.08    0.06       0
 2013 290    25    1961   0.070    2153   0.077   11152       0   11152     490     981    1472    2695    5514       0      94      15      29      43       2       4    1293     205     409     614      21      43    9763     271     542     814    2671    5466    0.00    1.68    0.24    0.37    0.37    0.38    0.32    0.00    1.31    0.19    0.28    0.28    0.31    0.26    0.00    0.37    0.05    0.09    0.09    0.08    0.06       0
 2013 291    26    1960   0.070    2152   0.077   11150       0   11150     490     980    1471    2695    5514       0      93      15      29      43       2       4    1293     205     409     614      21      43    9763     271     542     814    2671    5466    0.00    1.63    0.24    0.35    0.36    0.37    0.31    0.00    1.26    0.18    0.27    0.27    0.29    0.25    0.00    0.37    0.05    0.09    0.09    0.08    0.06       0
 2013 292    27    1960   0.070    2152   0.077   11149       0   11149     490     980    1471    2695    5514       0      92      15      29      43       2       4    1292     205     409     614      21      43    9763     271     542     814    2671    5466    0.00    1.58    0.23    0.34    0.34    0.36    0.30    0.00    1.21    0.18    0.26    0.25    0.28    0.24    0.00    0.36    0.05    0.09    0.09    0.08    0.06       0
 2013 293    28    1959   0.070    2151   0.077   11148       0   11148     490     980    1470    2695    5514       0      91      15      28      42       2       4    1292     205     409     614      21      43    9763     271     542     814    2671    5466    0.00    1.53    0.23    0.33    0.33    0.34    0.29    0.00    1.16    0.17    0.25    0.24    0.27    0.23    0.00    0.36    0.05    0.09    0.09    0.08    0.06       0
 2013 294    29    1958   0.070    2151   0.077   11147       0   11147     490     979    1470    2695    5514       0      91      15      28      42       2       4    1292     204     409     614      21      43    9763     271     542     814    2671    5466    0.00    1.48    0.22    0.33    0.32    0.33    0.28    0.00    1.12    0.16    0.24    0.24    0.26    0.22    0.00    0.36    0.05    0.09    0.09    0.08    0.06       0
 2013 295    30    1958   0.070    2151   0.077   11146       0   11146     490     979    1469    2695    5513       0      90      14      28      42       2       4    1292     204     409     614      21      43    9763     271     542     814    2671    5466    0.00    1.45    0.21    0.32    0.32    0.32    0.27    0.00    1.08    0.16    0.24    0.23    0.25    0.22    0.00    0.36    0.05    0.09    0.09    0.08    0.06       0
 2013 296    31    1957   0.070    2150   0.077   11145       0   11145     490     979    1469    2695    5513       0      89      14      28      41       2       4    1291     204     409     614      21      43    9763     271     542     814    2671    5466    0.00    1.42    0.21    0.32    0.31    0.31    0.27    0.00    1.05    0.16    0.23    0.22    0.24    0.21    0.00    0.36    0.05    0.09    0.09    0.08    0.06       0
 2013 297    32    1957   0.070    2150   0.077   11144       0   11144     489     979    1468    2695    5513       0      89      14      28      41       2       4    1291     204     409     613      21      43    9763     271     542     814    2671    5466    0.00    1.39    0.21    0.31    0.31    0.30    0.26    0.00    1.03    0.15    0.23    0.22    0.23    0.20    0.00    0.36    0.05    0.09    0.09    0.08    0.06       0
 2013 298    33    1956   0.070    2150   0.077   11144       0   11144     489     978    1468    2695    5513       0      88      14      28      41       2       4    1291     204     409     613      21      43    9763     271     542     814    2671    5466    0.00    1.37    0.20    0.31    0.30    0.29    0.25    0.00    1.00    0.15    0.23    0.22    0.22    0.19    0.00    0.36    0.05    0.09    0.09    0.08    0.06       0
 2013 299    34    1956   0.070    2150   0.077   11143       0   11143     489     978    1468    2695    5513       0      88      14      28      41       2       4    1291     204     409     613      21      43    9763     271     542     814    2671    5466    0.00    1.35    0.20    0.31    0.30    0.29    0.25    0.00    0.98    0.14    0.23    0.22    0.21    0.19    0.00    0.36    0.05    0.09    0.09    0.08    0.06       0
 2013 300    35    1956   0.070    2150   0.077   11142       0   11142     489     978    1468    2695    5513       0      88      14      27      40       2       4    1291     204     409     613      21      43    9763     271     542     814    2671    5466    0.00    1.34    0.20    0.31    0.31    0.28    0.24    0.00    0.97    0.14    0.23    0.22    0.20    0.18    0.00    0.36    0.05    0.09    0.09    0.08    0.06       0
 2013 301    36    1955   0.070    2149   0.077   11142       0   11142     489     978    1467    2695    5513       0      87      14      27      40       2       4    1291     204     409     613      21      43    9763     271     542     814    2671    5466    0.00    1.33    0.20    0.32    0.31    0.27    0.24    0.00    0.97    0.15    0.23    0.22    0.20    0.18    0.00    0.36    0.05    0.09    0.09    0.08    0.06       0
