*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                    NO3 (ppm) by soil depth (cm):                   NH4 (ppm) by soil depth (cm):
!                                                     0-5    5-15   15-30   30-53   53-77  77-100     0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS  NAPC  NI#M    NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDFC
 2013 265     0     0     0     8.4    0.0    8.4    0.00    0.00    0.00    0.00    0.00    0.00    0.60    0.60    0.60    0.60    0.60    0.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 2013 266     1     0     0     9.8    1.1    8.7    0.08    0.08    0.08    0.08    0.08    0.08    0.84    0.81    0.81    0.53    0.53    0.53    1.53    1.11    0.00    0.18    0.00    1.36    0.00    0.00    0.00
 2013 267     2     0     0    11.0    2.2    8.8    0.18    0.18    0.18    0.15    0.15    0.15    1.01    0.99    0.99    0.47    0.47    0.47    3.00    2.23    0.00    0.34    0.00    2.66    0.00    0.00    0.00
 2013 268     3    18     1    30.3    3.3   27.0    0.29    0.31    0.31    0.21    0.21    0.21   26.86    1.14    1.14    0.42    0.43    0.43    4.40    3.34    0.00    0.50    0.00    3.90    0.00    0.00    0.00
 2013 269     4    18     1    31.4    6.2   25.2    2.93    0.45    0.45    0.26    0.26    0.26   24.32    1.26    1.27    0.38    0.38    0.38    5.76    6.28    0.00    0.67    0.00    5.08    0.00    0.00    0.00
 2013 270     5    18     1    32.6    9.6   23.0    6.30    0.60    0.61    0.31    0.31    0.31   21.16    1.37    1.38    0.34    0.34    0.34    7.20    9.74    0.00    0.87    0.00    6.33    0.00    0.00    0.00
 2013 271     6    18     1    33.8   12.7   21.1    9.25    0.78    0.80    0.35    0.36    0.36   18.43    1.46    1.47    0.31    0.31    0.31    8.66   12.94    0.00    1.06    0.00    7.60    0.00    0.00    0.00
 2013 272     7    18     1    35.0   15.6   19.4   10.46    1.63    1.01    0.40    0.40    0.40   16.12    1.53    1.55    0.28    0.28    0.28   10.14   15.88    0.00    1.25    0.00    8.89    0.00    0.00    0.00
 2013 273     8    18     1    36.4   18.7   17.7   12.29    2.34    1.22    0.44    0.44    0.44   13.64    1.61    1.61    0.25    0.25    0.25   11.72   19.01    0.00    1.46    0.00   10.26    0.00    0.00    0.00
 2013 274     9    18     1    37.6   21.3   16.3    8.62    4.37    2.20    0.46    0.47    0.47   11.75    1.68    1.66    0.23    0.23    0.23   13.21   21.65    0.00    1.66    0.00   11.55    0.00    0.00    0.00
