*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:34
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
! TAV  =    27.7
! TAMP =     5.2
!               Temperature (oC) by soil depth (cm):
!               Surface     0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS    TS0D    TS1D    TS2D    TS3D    TS4D    TS5D    TS6D    
 2013 266     1    25.7    25.7    25.7    25.7    25.7    25.7    25.8
 2013 267     2    25.4    25.4    25.4    25.4    25.4    25.5    25.6
 2013 268     3    25.5    25.5    25.5    25.5    25.6    25.6    25.7
 2013 269     4    25.7    25.7    25.7    25.7    25.7    25.7    25.8
 2013 270     5    26.4    26.4    26.4    26.3    26.3    26.3    26.3
 2013 271     6    27.3    27.3    27.2    27.1    27.0    26.9    26.8
 2013 272     7    27.0    27.0    26.9    26.8    26.7    26.7    26.6
 2013 273     8    26.4    26.4    26.4    26.3    26.3    26.3    26.3
 2013 274     9    26.2    26.2    26.2    26.1    26.1    26.1    26.1
 2013 275    10    25.7    25.7    25.6    25.6    25.6    25.6    25.7
 2013 276    11    25.0    25.0    25.0    25.0    25.1    25.1    25.2
 2013 277    12    25.3    25.3    25.3    25.3    25.4    25.4    25.5
 2013 278    13    25.9    25.9    25.9    25.8    25.8    25.8    25.9
 2013 279    14    26.5    26.5    26.4    26.4    26.3    26.3    26.3
 2013 280    15    26.9    26.9    26.9    26.8    26.7    26.6    26.5
 2013 281    16    27.8    27.7    27.6    27.5    27.4    27.2    27.1
 2013 282    17    28.7    28.6    28.5    28.4    28.1    27.9    27.7
 2013 283    18    28.6    28.6    28.5    28.3    28.1    27.8    27.7
 2013 284    19    28.1    28.1    28.0    27.8    27.7    27.5    27.3
 2013 285    20    27.8    27.8    27.7    27.6    27.4    27.2    27.1
 2013 286    21    27.6    27.6    27.5    27.4    27.2    27.1    27.0
 2013 287    22    27.3    27.3    27.3    27.1    27.0    26.9    26.8
 2013 288    23    27.9    27.9    27.8    27.6    27.5    27.3    27.2
 2013 289    24    28.6    28.6    28.5    28.3    28.0    27.8    27.6
 2013 290    25    29.1    29.0    28.9    28.7    28.4    28.1    27.9
 2013 291    26    29.3    29.3    29.1    28.9    28.6    28.3    28.0
