*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:35
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D   TRWUD
 2014 281     1  15.14  29.40  18.70  3.559  0.000  3.559  0.450  0.000  0.450  0.000  0.000    3.56    0.45    0.00    0.45    0.00    0.00   0.379   0.047   0.014   0.006   0.003   0.001   0.000
 2014 282     2  21.60  31.10  16.50  5.044  0.000  5.044  0.502  0.000  0.502  0.000  0.000    8.60    0.95    0.00    0.95    0.00    0.00   0.432   0.047   0.014   0.006   0.003   0.001   0.000
 2014 283     3  21.39  33.00  16.40  5.290  0.000  5.290  0.585  0.000  0.585  0.000  0.000   13.89    1.54    0.00    1.54    0.00    0.00   0.514   0.046   0.014   0.006   0.003   0.001   0.000
 2014 284     4  24.44  31.90  18.20  6.092  0.000  6.092  0.575  0.000  0.575  0.000  0.000   19.98    2.11    0.00    2.11    0.00    0.00   0.505   0.046   0.014   0.006   0.003   0.001   0.000
 2014 285     5  22.39  29.70  16.90  5.332  0.000  5.332  0.531  0.000  0.531  0.000  0.000   25.32    2.64    0.00    2.64    0.00    0.00   0.462   0.046   0.014   0.006   0.003   0.001   0.000
 2014 286     6  20.23  32.70  15.70  4.883  0.000  4.883  0.492  0.000  0.492  0.000  0.000   30.20    3.13    0.00    3.13    0.00    0.00   0.422   0.046   0.014   0.006   0.003   0.001   0.000
 2014 287     7  17.46  32.00  18.70  4.231  0.000  4.231  0.456  0.000  0.456  0.000  0.000   34.43    3.59    0.00    3.59    0.00    0.00   0.386   0.045   0.014   0.006   0.003   0.001   0.000
 2014 288     8  15.35  32.30  17.80  3.673  0.008  3.665  0.590  0.008  0.581  0.000  0.000   38.10    4.18    0.01    4.17    0.00    0.00   0.509   0.049   0.014   0.006   0.003   0.001   0.001
 2014 289     9  18.93  28.90  16.20  4.638  0.021  4.617  2.798  0.021  2.777  0.000  0.000   42.74    6.98    0.03    6.95    0.00    0.00   0.945   0.522   0.389   0.391   0.299   0.231   0.002
 2014 290    10  21.94  31.60  16.90  5.400  0.035  5.365  3.208  0.035  3.173  0.000  0.000   48.14   10.19    0.06   10.12    0.00    0.00   1.237   0.627   0.403   0.384   0.294   0.228   0.004
 2014 291    11  18.27  30.10  17.70  4.954  0.045  4.908  3.300  0.045  3.255  0.000  0.000   53.10   13.49    0.11   13.38    0.00    0.00   1.188   0.733   0.442   0.376   0.290   0.225   0.005
 2014 292    12  11.68  27.80  17.10  2.855  0.034  2.821  2.855  0.034  2.821  0.000  0.000   55.95   16.34    0.14   16.20    0.00    0.00   1.073   0.651   0.414   0.300   0.216   0.168   0.003
 2014 293    13   6.85  22.40  16.40  1.726  0.034  1.692  1.726  0.034  1.692  0.000  0.000   57.68   18.07    0.18   17.89    0.00    0.00   0.629   0.409   0.273   0.190   0.112   0.079   0.003
 2014 294    14  14.98  26.90  16.10  4.003  0.105  3.897  4.003  0.105  3.897  0.000  0.000   61.68   22.07    0.28   21.79    0.00    0.00   1.160   0.883   0.717   0.589   0.351   0.196   0.011
 2014 295    15  15.65  28.60  19.10  3.982  0.139  3.842  3.982  0.139  3.842  0.000  0.000   65.66   26.05    0.42   25.63    0.00    0.00   1.006   0.796   0.693   0.657   0.456   0.235   0.014
 2014 296    16  10.15  27.20  18.10  2.420  0.113  2.307  2.420  0.113  2.307  0.000  0.000   68.08   28.47    0.53   27.94    0.00    0.00   0.606   0.459   0.393   0.387   0.290   0.171   0.011
 2014 297    17  14.81  28.60  16.80  3.635  0.211  3.424  3.635  0.211  3.424  0.000  0.000   71.72   32.11    0.75   31.36    0.00    0.00   0.916   0.660   0.564   0.563   0.431   0.289   0.021
 2014 298    18  18.35  28.40  16.80  4.374  0.310  4.064  3.861  0.310  3.551  0.000  0.000   76.09   35.97    1.06   34.91    0.00    0.00   0.880   0.685   0.593   0.596   0.459   0.338   0.031
 2014 299    19  19.00  31.20  16.80  4.589  0.388  4.200  3.739  0.388  3.351  0.000  0.000   80.68   39.71    1.44   38.26    0.00    0.00   0.755   0.643   0.574   0.585   0.453   0.342   0.039
 2014 300    20  17.65  29.50  17.30  4.116  0.416  3.699  3.953  0.416  3.537  0.000  0.000   84.80   43.66    1.86   41.80    0.00    0.00   0.952   0.660   0.567   0.574   0.447   0.338   0.042
 2014 301    21  21.28  30.60  16.70  5.382  0.635  4.746  4.251  0.635  3.616  0.000  0.000   90.18   47.91    2.50   45.42    0.00    0.00   1.024   0.689   0.565   0.563   0.440   0.334   0.064
 2014 302    22  21.85  31.90  17.30  5.403  0.739  4.662  1.371  0.739  0.632  0.000  0.000   95.58   49.28    3.23   46.05    0.00    0.00   0.532   0.067   0.019   0.009   0.004   0.002   0.074
 2014 303    23   7.75  25.10  18.20  1.758  0.279  1.479  1.758  0.279  1.479  0.000  0.000   97.34   51.04    3.51   47.53    0.00    0.00   0.476   0.288   0.219   0.212   0.162   0.122   0.028
 2014 304    24  17.04  29.40  16.90  4.581  0.807  3.773  4.580  0.807  3.773  0.000  0.000  101.92   55.62    4.32   51.30    0.00    0.00   1.206   0.757   0.576   0.536   0.399   0.298   0.081
 2014 305    25  13.66  28.60  16.30  3.353  0.663  2.689  3.352  0.663  2.689  0.000  0.000  105.27   58.97    4.98   53.99    0.00    0.00   0.792   0.526   0.427   0.408   0.306   0.231   0.066
 2014 306    26  14.71  28.80  16.90  3.584  0.785  2.799  3.584  0.785  2.799  0.000  0.000  108.86   62.56    5.77   56.79    0.00    0.00   0.933   0.529   0.415   0.397   0.298   0.227   0.078
 2014 307    27  11.32  23.10  16.70  2.759  0.677  2.081  2.758  0.677  2.081  0.000  0.000  111.62   65.31    6.44   58.87    0.00    0.00   0.632   0.407   0.324   0.308   0.232   0.177   0.068
 2014 308    28  19.79  30.20  17.10  4.938  1.316  3.621  4.936  1.316  3.621  0.000  0.000  116.55   70.25    7.76   62.49    0.00    0.00   1.065   0.699   0.569   0.550   0.417   0.320   0.132
 2014 309    29  20.55  31.10  16.70  5.075  1.505  3.567  5.072  1.505  3.567  0.000  0.000  121.63   75.32    9.27   66.06    0.00    0.00   0.939   0.687   0.580   0.578   0.442   0.341   0.151
 2014 310    30  14.81  29.10  18.90  3.526  1.159  2.365  3.524  1.159  2.365  0.000  0.000  125.15   78.85   10.42   68.42    0.00    0.00   0.558   0.454   0.394   0.404   0.313   0.242   0.116
 2014 311    31   9.91  27.80  17.20  2.266  0.816  1.449  2.265  0.816  1.449  0.000  0.000  127.42   81.11   11.24   69.87    0.00    0.00   0.466   0.265   0.213   0.214   0.164   0.127   0.082
 2014 312    32  18.10  27.80  15.90  4.537  1.758  2.778  4.535  1.758  2.778  0.000  0.000  131.96   85.65   13.00   72.65    0.00    0.00   0.909   0.537   0.410   0.395   0.296   0.229   0.176
 2014 313    33  20.86  29.90  16.70  5.099  2.127  2.969  5.096  2.127  2.969  0.000  0.000  137.06   90.74   15.13   75.62    0.00    0.00   0.819   0.574   0.473   0.471   0.356   0.276   0.213
 2014 314    34  11.47  28.90  16.60  2.678  1.207  1.470  2.677  1.207  1.470  0.000  0.000  139.73   93.42   16.33   77.09    0.00    0.00   0.475   0.288   0.217   0.209   0.158   0.122   0.121
 2014 315    35  12.19  24.90  16.70  2.913  1.404  1.508  2.912  1.404  1.508  0.000  0.000  142.65   96.33   17.74   78.60    0.00    0.00   0.551   0.299   0.212   0.193   0.144   0.109   0.140
 2014 316    36  17.65  27.70  16.20  4.314  2.190  2.122  4.312  2.190  2.122  0.000  0.000  146.96  100.65   19.93   80.72    0.00    0.00   0.758   0.420   0.306   0.277   0.205   0.156   0.219
