*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:35
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2014 282     2     0    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2014 283     3     1    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2014 284     4     2    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2014 285     5     3    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2014 286     6     4    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 2014 287     7     5    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   2.20    0.00    0.00
 2014 288     8     6    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   2.16    0.00    0.00
 2014 289     9     7    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   2.06    0.00    0.00
 2014 290    10     8    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   1.91    0.00    0.00
 2014 291    11     9    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   1.76    0.00    0.00
 2014 292    12    10    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   1.65    0.00    0.00
 2014 293    13    11    1.1    0.0    1.1   0.00   4.40    0.0    0.5    0.5    4.4   4.40   1.55    0.00    0.00
 2014 294    14    12    1.1    0.0    1.1   0.00   3.84    0.0    0.6    0.5    3.8   3.84   1.45    0.00    0.00
 2014 295    15    13    1.2    0.0    1.2   0.00   3.40    0.1    0.8    0.4    3.4   3.40   1.12    0.00    0.00
 2014 296    16    14    1.5    0.0    1.5   0.00   3.48    0.4    1.1    0.4    3.5   3.48   1.11    0.00    0.00
 2014 297    17    15    1.8    0.0    1.8   0.00   3.46    0.7    1.4    0.4    3.5   3.46   1.17    0.00    0.00
 2014 298    18    16    2.2    0.0    2.2   0.00   3.46    1.2    1.7    0.4    3.5   3.46   1.26    0.00    0.00
 2014 299    19    17    2.6    0.0    2.6   0.00   3.40    1.6    2.2    0.4    3.4   3.40   1.25    0.00    0.01
 2014 300    20    18    3.1    0.0    3.1   0.00   3.42    2.2    2.7    0.4    3.4   3.42   1.24    0.00    0.01
 2014 301    21    19    3.7    0.0    3.7   0.00   3.39    3.0    3.2    0.4    3.4   3.39   1.29    0.00    0.01
 2014 302    22    20    4.3    0.0    4.3   0.00   3.35    3.8    3.9    0.4    3.3   3.35   1.28    0.00    0.01
 2014 303    23    21    5.1    0.0    5.1   0.00   3.49    4.5    4.7    0.4    3.5   3.49   1.10    0.00    0.02
 2014 304    24    22    5.8    0.0    5.8   0.00   3.40    5.4    5.4    0.4    3.4   3.40   1.22    0.00    0.02
 2014 305    25    23    6.7    0.0    6.7   0.00   3.42    6.3    6.3    0.4    3.4   3.42   1.17    0.00    0.03
 2014 306    26    24    7.6    0.0    7.6   0.00   3.59    7.5    7.1    0.4    3.6   3.59   1.24    0.00    0.03
 2014 307    27    25    8.2    0.0    8.2   0.00   3.47    8.1    7.8    0.4    3.5   3.47   1.14    0.00    0.04
 2014 308    28    26    9.1    0.0    9.1   0.00   3.28    9.3    8.6    0.4    3.3   3.28   1.24    0.00    0.04
 2014 309    29    27   12.2    0.0   12.2   0.00   3.79   12.8   11.7    0.5    3.8   3.79   1.23    0.00    0.05
 2014 310    30    28   13.7    0.0   13.7   0.00   3.72   14.3   13.3    0.5    3.7   3.72   1.15    0.00    0.06
 2014 311    31    29   15.0    0.0   15.0   0.00   3.61   15.6   14.6    0.5    3.6   3.61   1.10    0.00    0.07
 2014 312    32    30   16.6    0.0   16.6   0.00   3.56   17.8   16.1    0.5    3.6   3.56   1.23    0.00    0.08
 2014 313    33    31   18.6    0.0   18.6   0.00   3.51   20.3   18.1    0.5    3.5   3.51   1.24    0.00    0.09
 2014 314    34    32   20.6    0.0   20.6   0.00   3.48   22.1   20.0    0.5    3.5   3.48   1.11    0.00    0.11
 2014 315    35    33   22.4    0.0   22.4   0.00   3.44   24.2   21.7    0.6    3.4   3.44   1.14    0.00    0.12
 2014 316    36    34   24.5    0.0   24.5   0.00   3.41   26.9   23.7    0.7    3.4   3.41   1.20    0.00    0.14
 2014 317    37    35   27.0    0.0   27.0   0.00   3.37   29.4   26.1    0.9    3.4   3.37   1.12    0.00    0.16
 2014 318    38    36   29.6    0.0   29.6   0.00   3.34   32.1   28.4    1.2    3.3   3.34   1.11    0.00    0.17
 2014 319    39    37   32.4    0.0   32.4   0.00   3.31   35.0   30.9    1.5    3.3   3.31   1.09    0.00    0.19
 2014 320    40    38   35.3    0.0   35.3   0.00   3.27   38.2   33.3    1.9    3.3   3.27   1.13    0.00    0.21
 2014 321    41    39   38.2    0.0   38.2   0.00   3.24   42.1   35.8    2.4    3.2   3.24   1.21    0.00    0.23
 2014 322    42    40   41.4    0.0   41.4   0.00   3.21   44.9   38.3    3.1    3.2   3.21   1.08    0.00    0.26
 2014 323    43    41   43.7    0.0   43.7   0.00   3.17   47.1   40.1    3.6    3.2   3.17   1.08    0.00    0.28
 2014 324    44    42   46.6    0.0   46.6   0.00   3.15   50.3   42.2    4.3    3.1   3.15   1.09    0.00    0.30
 2014 325    45    43   49.6    0.0   49.6   0.00   3.12   53.7   44.5    5.2    3.1   3.12   1.11    0.00    0.33
 2014 326    46    44   53.2    0.0   53.2   0.00   3.08   58.2   47.0    6.2    3.1   3.08   1.18    0.00    0.35
 2014 327    47    45   56.9    0.0   56.9   0.00   3.05   61.8   49.5    7.5    3.0   3.05   1.11    0.00    0.38
 2014 328    48    46   60.9    0.0   60.9   0.00   3.02   66.7   52.0    8.9    3.0   3.02   1.17    0.00    0.41
 2014 329    49    47   65.4    0.0   65.4   0.00   2.98   71.1   54.7   10.7    3.0   2.98   1.10    0.00    0.44
 2014 330    50    48   68.9    0.0   68.9   0.00   2.95   74.5   56.8   12.2    3.0   2.95   1.08    0.00    0.48
 2014 331    51    49   71.9    0.0   71.9   0.00   2.92   77.6   58.4   13.5    2.9   2.92   1.08    0.00    0.51
