*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:35
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-53   53-77  77-100
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    
 2014 280     0   110    40      0      0      0     0     0     0    0.00   0.0   0.0   0.00   0.110   0.110   0.110   0.110   0.110   0.110
 2014 281     1   110    40      0      0      0     0     0    50    0.00   0.0   0.0   0.00   0.102   0.110   0.110   0.110   0.110   0.110
 2014 282     2   111    41      0      0      2     0     0   100    0.00   0.0   0.0   0.00   0.134   0.109   0.110   0.110   0.110   0.110
 2014 283     3   111    41      0      0      3     0     0   100    0.00   0.0   0.0   0.00   0.139   0.109   0.110   0.110   0.110   0.110
 2014 284     4   111    41      0      0      3     0     0   100    0.00   0.0   0.0   0.00   0.129   0.108   0.110   0.110   0.110   0.110
 2014 285     5   110    40      0      0      3     0     0   100    0.00   0.0   0.0   0.00   0.120   0.108   0.110   0.110   0.110   0.110
 2014 286     6   110    40      0      0      3     0     0   100    0.00   0.0   0.0   0.00   0.112   0.107   0.109   0.110   0.110   0.110
 2014 287     7   109    39      0      0      3     0     0   100    0.00   0.0   0.0   0.00   0.104   0.107   0.109   0.110   0.110   0.110
 2014 288     8   114    44      0      0      8     0     0   100    0.00   0.0   0.0   0.00   0.167   0.120   0.109   0.110   0.110   0.110
 2014 289     9   111    41      0      0      8     0     0   100    0.00   0.0   0.0   0.00   0.140   0.118   0.107   0.108   0.109   0.109
 2014 290    10   120    50      0      0     20     0     0   100    0.00   0.0   0.0   0.00   0.238   0.159   0.115   0.106   0.107   0.108
 2014 291    11   117    47      0      0     21     0     0   100    0.00   0.0   0.0   0.00   0.170   0.158   0.124   0.105   0.106   0.107
 2014 292    12   135    65      0      0     42     0     0   100    0.00   0.0   0.0   0.00   0.266   0.210   0.164   0.116   0.105   0.106
 2014 293    13   165    95      0      0     73     0     0   100    0.00   0.0   0.0   0.00   0.275   0.266   0.220   0.165   0.121   0.106
 2014 294    14   161    91      0      0     73     0     0   100    0.00   0.0   0.0   0.00   0.187   0.203   0.199   0.175   0.154   0.105
 2014 295    15   157    87      0      0     73     0     0   100    0.00   0.0   0.0   0.00   0.150   0.169   0.177   0.170   0.163   0.121
 2014 296    16   158    88      0      0     77     0     0   100    0.00   0.0   0.0   0.00   0.172   0.162   0.166   0.165   0.163   0.137
 2014 297    17   155    85      0      0     77     0     0   100    0.00   0.0   0.0   0.00   0.148   0.153   0.157   0.159   0.160   0.148
 2014 298    18   152    82      0      0     78     0     0   100    0.00   0.0   0.0   0.00   0.131   0.145   0.151   0.154   0.156   0.153
 2014 299    19   148    78      0      0     78     0     0   100    0.00   0.0   0.0   0.00   0.113   0.137   0.147   0.151   0.154   0.151
 2014 300    20   152    82      0      0     85     0     0   100    0.00   0.0   0.0   0.00   0.186   0.151   0.148   0.149   0.152   0.150
