*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.2.000 -release      OCT 15, 2021; 17:59:35
                                                                                
*RUN   1        :             CSM335_date_1 MZCER047 ITSA1301    1              
 MODEL          : MZCER047 - Maize                                              
 EXPERIMENT     : ITSA1301 SG CALIBRATION SETUP OF SORGHUM SOWING DATES         
 DATA PATH      :                                                               
 TREATMENT  1   :             CSM335_date_1 MZCER047                            
  
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D   VPDF   VPD
 2014 281     1    0.0   12.0   12.8   15.1   30.3   0.48   29.4   18.7   23.8   25.6   13.4   23.8   25.6   31.3  399.0   0.00   0.00
 2014 282     2    2.0   12.0   12.8   21.6   43.2   0.25   31.1   16.5   23.5   25.9   11.8   23.5   25.9   26.3  399.0   0.00   0.00
 2014 283     3    0.8   12.0   12.8   21.4   42.8   0.26   33.0   16.4   24.3   27.1   11.4   24.3   27.1   22.0  399.0   0.00   0.00
 2014 284     4    0.0   12.0   12.9   24.4   48.9   0.16   31.9   18.2   24.8   27.0    9.9   24.8   27.0   36.4  399.0   0.00   0.00
 2014 285     5    0.0   12.0   12.9   22.4   44.8   0.23   29.7   16.9   23.0   25.1    6.3   23.0   25.1   26.6  399.0   0.00   0.00
 2014 286     6    0.0   12.0   12.9   20.2   40.5   0.30   32.7   15.7   23.8   26.6    7.3   23.8   26.6   22.0  399.0   0.00   0.00
 2014 287     7    0.0   12.1   12.9   17.5   34.9   0.40   32.0   18.7   25.1   27.2   11.9   25.1   27.2   27.0  399.0   0.00   0.00
 2014 288     8    5.0   12.1   12.9   15.4   30.7   0.47   32.3   17.8   24.7   27.1   14.0   24.7   27.1   29.5  399.2   0.00   0.00
 2014 289     9    0.0   12.1   12.9   18.9   37.9   0.34   28.9   16.2   22.3   24.4   12.0   22.3   24.4   34.2  399.2   0.00   0.00
 2014 290    10   12.6   12.1   12.9   21.9   43.9   0.24   31.6   16.9   23.9   26.3   11.6   23.9   26.3   42.8  399.2   0.00   0.00
 2014 291    11    0.2   12.1   12.9   18.3   36.5   0.37   30.1   17.7   23.6   25.7   14.5   23.6   25.7   41.0  399.2   0.00   0.00
 2014 292    12   21.2   12.1   12.9   11.7   23.4   0.59   27.8   17.1   22.2   24.0   14.5   22.2   24.0   13.7  399.2   0.00   0.00
 2014 293    13   31.0   12.1   12.9    6.8   13.7   0.76   22.4   16.4   19.3   20.3   15.1   19.3   20.3   12.2  399.2   0.00   0.00
 2014 294    14    0.2   12.1   12.9   15.0   30.0   0.48   26.9   16.1   21.3   23.0   13.1   21.3   23.0    4.3  399.2   0.00   0.00
 2014 295    15    0.2   12.1   12.9   15.6   31.3   0.45   28.6   19.1   23.7   25.2   16.0   23.7   25.2   13.7  399.2   0.00   0.00
 2014 296    16    3.6   12.1   12.9   10.1   20.3   0.65   27.2   18.1   22.5   24.0   16.1   22.5   24.0    8.6  399.2   0.00   0.00
 2014 297    17    0.6   12.1   12.9   14.8   29.6   0.48   28.6   16.8   22.5   24.4   14.7   22.5   24.4   10.4  399.2   0.00   0.00
 2014 298    18    0.2   12.1   12.9   18.4   36.7   0.36   28.4   16.8   22.4   24.3   13.3   22.4   24.3   22.3  399.2   0.00   0.00
 2014 299    19    0.0   12.1   12.9   19.0   38.0   0.34   31.2   16.8   23.7   26.1   13.2   23.7   26.1   17.7  399.2   0.00   0.00
 2014 300    20    7.8   12.1   12.9   17.6   35.3   0.38   29.5   17.3   23.1   25.1   13.7   23.1   25.1   19.8  399.2   0.00   0.00
 2014 301    21    0.2   12.1   12.9   21.3   42.6   0.25   30.6   16.7   23.4   25.6   12.2   23.4   25.6   13.0  399.2   0.00   0.00
 2014 302    22    0.0   12.1   12.9   21.9   43.7   0.23   31.9   17.3   24.3   26.7   11.9   24.3   26.7   28.4  399.2   0.00   0.00
 2014 303    23   19.8   12.1   12.9    7.8   15.5   0.73   25.1   18.2   21.5   22.6   15.8   21.5   22.6   11.5  399.2   0.00   0.00
 2014 304    24    1.0   12.1   12.9   17.0   34.1   0.40   29.4   16.9   22.9   24.9   14.0   22.9   24.9   15.1  399.2   0.00   0.00
